DeviceId:CISME0006669c1a4f
Filename:/msc/Data/c1-2r1709_Oct15_1910.csv
pH Slope(m): 0.05897
pH Eo (b): -0.40960
cal. Buffer pH: 8.04100
cal. Buffer temp. 24.03778
Salinity: 35
O2 0 Phase: 60.42000
O2 0 Temp: 25.00000
O2 100 Phase: 27.28000
O2 100 Temp: 23.97000
O2 LED Current: 150.00000
O2 Pressure Cal: 976.00000
Total number of steps: 1
Step Number: 1
Time Threshold: 1200
O2 Threshold:   0
pH Threshold: 0.000
Flow Rate: 5000.000000
Light Level: 0.000000
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.03, ,116.8,231.2,8.1444,27.64, ,0.072518,0.6880,12.12,25.10,2113
1,0.05, ,116.3,230.3,8.1455,27.64, ,0.072581,0.6880,12.10,25.14,2116
1,0.07, ,116.6,231.0,8.1420,27.64, ,0.072370,0.6880,12.11,25.11,2114
1,0.08, ,116.0,229.6,8.1432,27.64, ,0.072444,0.6880,12.10,25.17,2113
1,0.10, ,115.6,228.9,8.1424,27.64, ,0.072396,0.6880,12.09,25.20,2116
1,0.12, ,116.3,230.3,8.1415,27.64, ,0.072342,0.6880,12.10,25.14,2114
1,0.13, ,116.1,229.8,8.1423,27.64, ,0.072392,0.6880,12.10,25.16,2118
1,0.15, ,115.8,229.4,8.1433,27.64, ,0.072451,0.6881,12.11,25.18,2119
1,0.17, ,116.1,229.9,8.1444,27.64, ,0.072517,0.6881,12.10,25.16,2116
1,0.18, ,116.6,231.0,8.1444,27.64, ,0.072514,0.6881,12.10,25.11,2116
1,0.20, ,116.1,229.9,8.1449,27.64, ,0.072544,0.6881,12.10,25.16,2115
1,0.22, ,116.4,230.5,8.1444,27.64, ,0.072517,0.6881,12.10,25.13,2117
1,0.23, ,116.3,230.3,8.1450,27.64, ,0.072552,0.6881,12.10,25.14,2116
1,0.25, ,116.3,230.3,8.1433,27.64, ,0.072449,0.6881,12.10,25.14,2117
