DeviceId:CISME0006669c1a4f
Filename:/msc/Data/d10algaeph_Oct25_1515.csv
pH Slope(m): 0.05897
pH Eo (b): -0.40960
cal. Buffer pH: 8.04100
cal. Buffer temp. 24.03778
Salinity: 35
O2 0 Phase: 60.42000
O2 0 Temp: 25.00000
O2 100 Phase: 27.28000
O2 100 Temp: 23.97000
O2 LED Current: 150.00000
O2 Pressure Cal: 976.00000
Total number of steps: 1
Step Number: 1
Time Threshold: 2400
O2 Threshold:   0
pH Threshold: 0.000
Flow Rate: 5348.000000
Light Level: 26.000000
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.03, ,122.1,241.0,8.1847,27.85, ,0.075033,0.6834,12.15,24.62,2057
1,0.05, ,122.3,241.4,8.1840,27.85, ,0.074993,0.6834,12.12,24.60,2057
1,0.07, ,122.5,241.7,8.1843,27.85, ,0.075008,0.6834,12.13,24.59,2056
1,0.08, ,122.0,240.7,8.1848,27.85, ,0.075038,0.6834,12.15,24.63,2063
1,0.10, ,122.1,241.0,8.1848,27.85, ,0.075041,0.6834,12.12,24.62,2061
1,0.12, ,122.3,241.4,8.1850,27.85, ,0.075049,0.6834,12.14,24.60,2061
1,0.13, ,121.7,240.2,8.1851,27.85, ,0.075055,0.6834,12.14,24.65,2060
1,0.15, ,121.9,240.5,8.1852,27.85, ,0.075065,0.6834,12.12,24.64,2064
1,0.17, ,122.1,241.0,8.1852,27.85, ,0.075061,0.6834,12.12,24.62,2060
1,0.18, ,122.0,240.7,8.1855,27.85, ,0.075083,0.6834,12.17,24.63,2064
1,0.20, ,121.7,240.2,8.1857,27.85, ,0.075089,0.6834,12.20,24.65,2062
1,0.22, ,122.0,240.7,8.1857,27.85, ,0.075090,0.6835,12.15,24.63,2064
1,0.23, ,122.1,241.0,8.1853,27.85, ,0.075065,0.6834,12.14,24.62,2062
1,0.25, ,122.0,240.7,8.1851,27.85, ,0.075058,0.6834,12.14,24.63,2065
1,0.27, ,121.7,240.2,8.1852,27.85, ,0.075061,0.6835,12.17,24.65,2064
1,0.28, ,121.2,239.3,8.1858,27.85, ,0.075096,0.6835,12.20,24.69,2069
1,0.30, ,122.1,241.0,8.1857,27.85, ,0.075091,0.6835,12.16,24.62,2068
