DeviceId:CISME0006669c1a4f
Filename:/msc/Data/d10algaere_Oct25_1556.csv
pH Slope(m): 0.05897
pH Eo (b): -0.40960
cal. Buffer pH: 8.04100
cal. Buffer temp. 24.03778
Salinity: 35
O2 0 Phase: 60.42000
O2 0 Temp: 25.00000
O2 100 Phase: 27.28000
O2 100 Temp: 23.97000
O2 LED Current: 150.00000
O2 Pressure Cal: 976.00000
Total number of steps: 1
Step Number: 1
Time Threshold: 2400
O2 Threshold:   0
pH Threshold: 0.000
Flow Rate: 5348.000000
Light Level: 0.000000
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.03, ,119.3,236.0,8.1827,27.72, ,0.074844,0.6863,12.03,24.87,2285
1,0.03, ,118.4,234.1,8.1838,27.72, ,0.074911,0.6863,11.99,24.95,2286
1,0.05, ,119.3,236.0,8.1844,27.72, ,0.074947,0.6863,12.00,24.87,2281
1,0.07, ,118.6,234.6,8.1844,27.72, ,0.074946,0.6863,12.01,24.93,2289
1,0.08, ,119.1,235.5,8.1839,27.72, ,0.074915,0.6863,12.01,24.89,2289
1,0.10, ,119.2,235.7,8.1835,27.72, ,0.074889,0.6863,12.01,24.88,2283
1,0.12, ,119.1,235.5,8.1834,27.72, ,0.074886,0.6863,12.02,24.89,2286
1,0.13, ,119.0,235.3,8.1837,27.72, ,0.074904,0.6863,12.02,24.90,2282
1,0.15, ,119.3,236.0,8.1833,27.72, ,0.074881,0.6863,12.00,24.87,2281
1,0.17, ,118.5,234.3,8.1834,27.72, ,0.074887,0.6863,12.00,24.94,2282
1,0.18, ,119.1,235.5,8.1839,27.72, ,0.074917,0.6863,12.00,24.89,2287
1,0.20, ,118.8,235.0,8.1831,27.72, ,0.074868,0.6863,12.02,24.91,2284
1,0.22, ,118.6,234.6,8.1828,27.72, ,0.074849,0.6863,12.02,24.93,2283
1,0.23, ,118.8,235.1,8.1834,27.72, ,0.074887,0.6863,12.01,24.91,2279
1,0.25, ,119.3,236.0,8.1842,27.72, ,0.074929,0.6864,12.01,24.87,2285
1,0.27, ,118.8,235.1,8.1826,27.72, ,0.074838,0.6864,12.00,24.91,2291
1,0.28, ,119.0,235.3,8.1825,27.72, ,0.074833,0.6864,12.01,24.90,2335
1,0.30, ,117.9,233.2,8.1817,27.72, ,0.074779,0.6864,12.02,24.99,2363
1,0.32, ,118.5,234.4,8.1823,27.72, ,0.074816,0.6864,12.00,24.94,2361
1,0.33, ,118.6,234.6,8.1829,27.72, ,0.074853,0.6864,12.03,24.93,2373
1,0.35, ,118.5,234.4,8.1831,27.71, ,0.074866,0.6864,12.00,24.94,2369
1,0.37, ,118.9,235.1,8.1832,27.71, ,0.074870,0.6864,12.00,24.91,2364
1,0.38, ,118.6,234.6,8.1829,27.71, ,0.074850,0.6864,12.00,24.93,2356
1,0.40, ,118.6,234.6,8.1829,27.71, ,0.074850,0.6864,12.03,24.93,2363
1,0.42, ,118.9,235.1,8.1822,27.71, ,0.074813,0.6864,12.03,24.91,2357
1,0.43, ,119.1,235.5,8.1827,27.71, ,0.074838,0.6864,12.01,24.89,2351
1,0.45, ,119.2,235.8,8.1824,27.71, ,0.074823,0.6864,12.01,24.88,2350
1,0.47, ,118.9,235.1,8.1824,27.71, ,0.074824,0.6864,12.04,24.91,2348
1,0.48, ,118.9,235.1,8.1827,27.71, ,0.074839,0.6864,12.02,24.91,2346
1,0.50, ,119.5,236.3,8.1826,27.71, ,0.074836,0.6864,12.02,24.86,2345
1,0.52, ,118.5,234.4,8.1822,27.71, ,0.074808,0.6864,12.00,24.94,2344
1,0.53, ,119.1,235.6,8.1827,27.71, ,0.074838,0.6865,11.99,24.89,2341
1,0.55, ,119.5,236.3,8.1828,27.71, ,0.074844,0.6865,12.00,24.86,2341
1,0.57, ,118.7,234.9,8.1828,27.71, ,0.074847,0.6865,12.01,24.92,2337
1,0.58, ,119.6,236.5,8.1827,27.71, ,0.074840,0.6865,12.01,24.85,2335
1,0.60, ,119.6,236.5,8.1827,27.71, ,0.074839,0.6865,12.01,24.85,2335
1,0.62, ,119.1,235.6,8.1825,27.71, ,0.074826,0.6865,12.01,24.89,2334
1,0.63, ,119.3,236.0,8.1824,27.71, ,0.074823,0.6865,12.00,24.87,2332
1,0.65, ,119.1,235.6,8.1823,27.71, ,0.074814,0.6865,12.00,24.89,2334
1,0.67, ,119.3,236.0,8.1821,27.71, ,0.074802,0.6865,12.01,24.87,2334
1,0.68, ,118.7,234.9,8.1822,27.71, ,0.074807,0.6865,12.01,24.92,2336
1,0.70, ,119.6,236.5,8.1822,27.71, ,0.074808,0.6865,12.02,24.85,2335
1,0.72, ,118.5,234.4,8.1821,27.71, ,0.074803,0.6865,12.00,24.94,2333
1,0.73, ,118.6,234.6,8.1819,27.71, ,0.074792,0.6865,12.04,24.93,2334
1,0.75, ,119.1,235.6,8.1818,27.71, ,0.074784,0.6865,12.02,24.89,2332
1,0.77, ,119.3,236.1,8.1824,27.71, ,0.074818,0.6865,12.02,24.87,2334
1,0.78, ,118.6,234.7,8.1823,27.71, ,0.074813,0.6865,12.02,24.93,2333
1,0.80, ,118.4,234.2,8.1822,27.71, ,0.074810,0.6865,12.00,24.95,2330
1,0.82, ,118.9,235.1,8.1824,27.71, ,0.074819,0.6865,12.01,24.91,2332
1,0.83, ,118.9,235.1,8.1824,27.71, ,0.074821,0.6866,12.02,24.91,2332
1,0.85, ,118.7,234.9,8.1825,27.71, ,0.074825,0.6866,12.01,24.92,2333
1,0.87, ,118.6,234.7,8.1827,27.71, ,0.074836,0.6866,12.01,24.93,2331
1,0.88, ,119.1,235.6,8.1826,27.71, ,0.074833,0.6866,12.02,24.89,2331
1,0.90, ,119.2,235.8,8.1825,27.71, ,0.074823,0.6866,12.01,24.88,2330
1,0.92, ,119.1,235.6,8.1823,27.71, ,0.074813,0.6866,12.02,24.89,2330
1,0.93, ,119.1,235.6,8.1827,27.71, ,0.074835,0.6866,12.03,24.89,2329
1,0.95, ,119.1,235.6,8.1824,27.71, ,0.074816,0.6866,12.03,24.89,2327
1,0.97, ,119.1,235.6,8.1824,27.71, ,0.074821,0.6866,12.02,24.89,2328
1,0.98, ,118.8,234.9,8.1826,27.71, ,0.074833,0.6866,12.04,24.92,2329
1,1.00, ,119.2,235.8,8.1830,27.70, ,0.074852,0.6866,12.03,24.88,2330
1,1.02, ,119.1,235.6,8.1827,27.70, ,0.074836,0.6866,12.02,24.89,2328
1,1.03, ,118.6,234.7,8.1829,27.70, ,0.074846,0.6866,12.02,24.93,2328
1,1.05, ,119.1,235.6,8.1826,27.70, ,0.074832,0.6866,12.00,24.89,2325
1,1.07, ,119.1,235.6,8.1828,27.70, ,0.074843,0.6866,11.99,24.89,2329
1,1.08, ,119.6,236.6,8.1831,27.70, ,0.074861,0.6866,11.99,24.85,2329
1,1.10, ,118.9,235.2,8.1831,27.70, ,0.074859,0.6866,12.01,24.91,2328
1,1.12, ,118.9,235.2,8.1830,27.70, ,0.074852,0.6866,12.01,24.91,2330
1,1.13, ,119.2,235.9,8.1829,27.70, ,0.074845,0.6867,12.02,24.88,2327
1,1.15, ,118.5,234.5,8.1828,27.70, ,0.074842,0.6867,12.02,24.94,2328
1,1.17, ,118.9,235.2,8.1828,27.70, ,0.074838,0.6867,12.01,24.91,2328
