DeviceId:CISME0006669c1e8a
Filename:/msc/Data/d10coralph_Oct25_1502.csv
pH Slope(m): 0.05897
pH Eo (b): -0.39247
cal. Buffer pH: 8.04100
cal. Buffer temp. 24.06105
Salinity: 35
O2 0 Phase: 60.42000
O2 0 Temp: 25.00000
O2 100 Phase: 27.38000
O2 100 Temp: 23.99000
O2 LED Current: 150.00000
O2 Pressure Cal: 976.00000
Total number of steps: 1
Step Number: 1
Time Threshold: 2400
O2 Threshold:   0
pH Threshold: 0.000
Flow Rate: 6262.000000
Light Level: 31.000000
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.03, ,115.3,227.5,8.0173,27.89, ,0.082205,0.6840,12.20,25.28,27446
1,0.05, ,115.2,227.2,7.9844,27.89, ,0.080242,0.6840,12.19,25.29,27531
1,0.07, ,115.2,227.2,7.9783,27.89, ,0.079875,0.6840,12.21,25.29,27704
1,0.08, ,115.2,227.2,7.9764,27.89, ,0.079762,0.6840,12.19,25.29,27895
1,0.10, ,115.3,227.5,7.9748,27.89, ,0.079668,0.6840,12.22,25.28,27756
1,0.12, ,115.2,227.2,7.9746,27.89, ,0.079655,0.6840,12.20,25.29,27722
1,0.13, ,115.2,227.2,7.9743,27.89, ,0.079638,0.6840,12.23,25.29,27776
1,0.15, ,115.3,227.5,7.9735,27.89, ,0.079588,0.6840,12.21,25.28,27814
1,0.17, ,115.2,227.2,7.9746,27.89, ,0.079658,0.6841,12.18,25.29,27842
1,0.18, ,115.3,227.5,7.9738,27.89, ,0.079608,0.6841,12.20,25.28,27818
1,0.20, ,115.5,227.7,7.9723,27.89, ,0.079515,0.6841,12.23,25.27,27823
1,0.22, ,115.5,227.7,7.9737,27.89, ,0.079599,0.6841,12.21,25.27,27788
1,0.23, ,115.3,227.5,7.9751,27.89, ,0.079686,0.6841,12.18,25.28,27417
1,0.25, ,115.5,227.7,7.9760,27.89, ,0.079740,0.6841,12.22,25.27,27319
1,0.27, ,115.5,227.7,7.9743,27.89, ,0.079635,0.6841,12.23,25.27,27228
1,0.28, ,115.2,227.3,7.9747,27.89, ,0.079659,0.6841,12.21,25.29,27562
1,0.30, ,115.3,227.5,7.9729,27.89, ,0.079552,0.6841,12.27,25.28,27613
1,0.32, ,115.6,227.9,7.9745,27.89, ,0.079651,0.6841,12.19,25.26,27402
1,0.33, ,115.5,227.7,7.9740,27.89, ,0.079619,0.6840,12.22,25.27,27833
1,0.35, ,115.5,227.7,7.9721,27.89, ,0.079504,0.6840,12.20,25.27,27868
1,0.37, ,115.3,227.5,7.9718,27.89, ,0.079489,0.6840,12.20,25.28,27749
1,0.38, ,115.5,227.7,7.9717,27.89, ,0.079483,0.6840,12.20,25.27,27756
1,0.40, ,115.3,227.5,7.9691,27.89, ,0.079324,0.6840,12.22,25.28,27645
1,0.42, ,115.5,227.7,7.9716,27.89, ,0.079476,0.6840,12.22,25.27,27647
1,0.43, ,115.5,227.7,7.9763,27.89, ,0.079760,0.6840,12.17,25.27,27684
1,0.45, ,115.3,227.5,7.9779,27.89, ,0.079854,0.6840,12.19,25.28,27620
1,0.47, ,115.3,227.5,7.9735,27.89, ,0.079592,0.6840,12.20,25.28,27615
1,0.48, ,115.5,227.7,7.9719,27.89, ,0.079493,0.6840,12.20,25.27,27617
1,0.50, ,115.5,227.7,7.9729,27.89, ,0.079552,0.6840,12.21,25.27,27563
1,0.52, ,115.3,227.5,7.9736,27.89, ,0.079594,0.6840,12.25,25.28,27528
1,0.53, ,115.5,227.7,7.9737,27.89, ,0.079600,0.6840,12.23,25.27,27512
1,0.55, ,115.3,227.5,7.9715,27.89, ,0.079471,0.6840,12.18,25.28,27365
1,0.57, ,115.6,227.9,7.9728,27.89, ,0.079548,0.6840,12.20,25.26,27373
1,0.58, ,115.6,227.9,7.9742,27.89, ,0.079632,0.6840,12.17,25.26,27877
1,0.60, ,115.3,227.5,7.9746,27.89, ,0.079657,0.6840,12.21,25.28,27898
1,0.62, ,115.5,227.7,7.9780,27.89, ,0.079857,0.6840,12.21,25.27,27775
1,0.63, ,115.6,227.9,7.9743,27.89, ,0.079636,0.6840,12.19,25.26,27738
1,0.65, ,115.5,227.7,7.9731,27.89, ,0.079566,0.6840,12.19,25.27,27752
1,0.67, ,115.5,227.7,7.9733,27.89, ,0.079575,0.6840,12.16,25.27,27784
1,0.68, ,115.4,227.7,7.9760,27.89, ,0.079741,0.6840,12.23,25.27,27827
1,0.70, ,115.4,227.7,7.9765,27.89, ,0.079767,0.6840,12.19,25.27,27826
1,0.72, ,115.6,227.9,7.9761,27.89, ,0.079749,0.6840,12.21,25.26,27840
1,0.73, ,115.4,227.7,7.9746,27.89, ,0.079656,0.6840,12.19,25.27,27849
1,0.75, ,115.3,227.5,7.9739,27.90, ,0.079616,0.6840,12.20,25.28,27842
1,0.77, ,115.4,227.7,7.9748,27.90, ,0.079667,0.6840,12.21,25.27,27827
1,0.78, ,115.3,227.4,7.9747,27.90, ,0.079665,0.6840,12.23,25.28,27833
1,0.80, ,115.3,227.4,7.9755,27.90, ,0.079710,0.6840,12.22,25.28,27443
1,0.82, ,115.2,227.2,7.9752,27.90, ,0.079695,0.6840,12.22,25.29,27673
1,0.83, ,115.3,227.4,7.9745,27.90, ,0.079651,0.6840,12.20,25.28,27731
1,0.85, ,115.3,227.4,7.9755,27.90, ,0.079713,0.6840,12.22,25.28,27752
1,0.87, ,115.2,227.2,7.9769,27.90, ,0.079795,0.6839,12.19,25.29,27696
1,0.88, ,115.2,227.2,7.9755,27.90, ,0.079713,0.6839,12.19,25.29,27643
1,0.90, ,115.3,227.4,7.9745,27.90, ,0.079653,0.6839,12.19,25.28,27654
1,0.92, ,115.2,227.2,7.9765,27.90, ,0.079771,0.6839,12.24,25.29,27663
1,0.93, ,115.2,227.2,7.9754,27.90, ,0.079703,0.6839,12.21,25.29,27731
1,0.95, ,115.2,227.2,7.9738,27.90, ,0.079613,0.6839,12.21,25.29,27659
1,0.97, ,115.3,227.4,7.9735,27.90, ,0.079591,0.6839,12.16,25.28,27706
1,0.98, ,115.2,227.2,7.9737,27.90, ,0.079602,0.6839,12.20,25.29,27683
1,1.00, ,115.3,227.4,7.9734,27.90, ,0.079587,0.6839,12.21,25.28,27526
1,1.02, ,115.3,227.4,7.9763,27.90, ,0.079760,0.6839,12.18,25.28,27469
1,1.03, ,115.4,227.7,7.9762,27.90, ,0.079755,0.6839,12.20,25.27,27445
1,1.05, ,115.3,227.4,7.9770,27.90, ,0.079801,0.6839,12.21,25.28,27417
1,1.07, ,115.4,227.7,7.9760,27.90, ,0.079742,0.6839,12.21,25.27,27483
1,1.08, ,115.4,227.7,7.9781,27.90, ,0.079866,0.6839,12.21,25.27,27506
1,1.10, ,115.6,227.9,7.9780,27.90, ,0.079859,0.6839,12.19,25.26,27516
1,1.12, ,115.4,227.7,7.9767,27.90, ,0.079782,0.6839,12.18,25.27,27520
1,1.13, ,115.7,228.1,7.9763,27.90, ,0.079760,0.6839,12.20,25.25,27506
1,1.15, ,115.6,227.9,7.9767,27.90, ,0.079782,0.6839,12.19,25.26,27474
1,1.17, ,115.6,227.9,7.9774,27.90, ,0.079828,0.6839,12.19,25.26,27573
1,1.18, ,115.6,227.9,7.9758,27.90, ,0.079727,0.6839,12.20,25.26,27283
1,1.20, ,115.6,227.9,7.9760,27.90, ,0.079739,0.6839,12.19,25.26,27295
1,1.22, ,115.6,227.9,7.9760,27.90, ,0.079742,0.6839,12.20,25.26,27343
1,1.23, ,115.4,227.7,7.9782,27.90, ,0.079873,0.6839,12.19,25.27,27350
1,1.25, ,115.7,228.1,7.9794,27.90, ,0.079947,0.6839,12.20,25.25,27344
1,1.27, ,115.7,228.1,7.9801,27.90, ,0.079987,0.6839,12.17,25.25,27354
1,1.28, ,115.6,227.9,7.9776,27.90, ,0.079837,0.6839,12.18,25.26,27720
1,1.30, ,115.7,228.1,7.9773,27.90, ,0.079822,0.6839,12.22,25.25,27697
1,1.32, ,115.7,228.1,7.9792,27.90, ,0.079934,0.6839,12.24,25.25,27669
1,1.33, ,115.6,227.9,7.9786,27.90, ,0.079900,0.6839,12.22,25.26,27605
1,1.35, ,115.4,227.6,7.9776,27.90, ,0.079836,0.6839,12.18,25.27,27627
1,1.37, ,115.4,227.6,7.9797,27.90, ,0.079966,0.6839,12.16,25.27,27648
1,1.38, ,115.6,227.9,7.9816,27.90, ,0.080079,0.6839,12.17,25.26,27626
1,1.40, ,115.7,228.1,7.9815,27.90, ,0.080074,0.6839,12.16,25.25,27327
1,1.42, ,115.6,227.9,7.9787,27.90, ,0.079902,0.6839,12.19,25.26,27247
1,1.43, ,115.6,227.9,7.9786,27.90, ,0.079898,0.6839,12.22,25.26,27315
1,1.45, ,115.4,227.6,7.9761,27.90, ,0.079747,0.6839,12.22,25.27,27324
1,1.47, ,115.4,227.6,7.9773,27.90, ,0.079823,0.6838,12.17,25.27,27419
1,1.48, ,115.7,228.1,7.9768,27.90, ,0.079790,0.6838,12.16,25.25,27468
1,1.50, ,115.6,227.9,7.9776,27.90, ,0.079842,0.6838,12.16,25.26,27499
1,1.52, ,115.7,228.1,7.9772,27.90, ,0.079813,0.6838,12.20,25.25,27502
1,1.53, ,115.7,228.1,7.9766,27.90, ,0.079778,0.6838,12.22,25.25,27534
1,1.55, ,115.5,227.8,7.9779,27.90, ,0.079859,0.6838,12.18,25.26,27557
1,1.57, ,115.7,228.1,7.9809,27.90, ,0.080036,0.6838,12.19,25.25,27345
1,1.58, ,115.7,228.1,7.9792,27.90, ,0.079937,0.6838,12.20,25.25,27582
1,1.60, ,115.7,228.1,7.9776,27.90, ,0.079839,0.6838,12.17,25.25,27450
1,1.62, ,115.4,227.6,7.9778,27.90, ,0.079852,0.6838,12.18,25.27,27251
1,1.63, ,115.5,227.8,7.9791,27.90, ,0.079931,0.6838,12.18,25.26,27548
1,1.65, ,115.4,227.6,7.9795,27.90, ,0.079953,0.6838,12.19,25.27,27575
1,1.67, ,115.4,227.6,7.9812,27.90, ,0.080056,0.6838,12.18,25.27,27617
1,1.68, ,115.3,227.4,7.9797,27.91, ,0.079964,0.6837,12.15,25.28,27732
1,1.70, ,115.4,227.6,7.9806,27.91, ,0.080022,0.6837,12.17,25.27,27641
1,1.72, ,115.3,227.4,7.9759,27.91, ,0.079737,0.6837,12.20,25.28,27658
1,1.73, ,115.4,227.6,7.9787,27.91, ,0.079909,0.6837,12.14,25.27,27546
1,1.75, ,115.1,226.9,7.9814,27.91, ,0.080068,0.6837,12.15,25.30,27635
1,1.77, ,115.2,227.1,7.9815,27.91, ,0.080072,0.6837,12.17,25.29,27494
1,1.78, ,115.2,227.1,7.9817,27.91, ,0.080087,0.6837,12.18,25.29,27571
1,1.80, ,115.2,227.1,7.9825,27.91, ,0.080136,0.6837,12.10,25.29,27550
1,1.82, ,115.2,227.1,7.9825,27.91, ,0.080136,0.6837,12.09,25.29,27545
1,1.83, ,115.3,227.4,7.9806,27.91, ,0.080021,0.6837,12.12,25.28,27547
1,1.85, ,115.3,227.4,7.9824,27.91, ,0.080130,0.6837,12.12,25.28,27532
1,1.87, ,115.2,227.1,7.9880,27.91, ,0.080464,0.6837,12.10,25.29,27565
1,1.88, ,115.2,227.1,7.9833,27.91, ,0.080184,0.6837,12.07,25.29,27591
1,1.90, ,115.1,226.9,7.9827,27.91, ,0.080149,0.6837,12.07,25.30,27605
1,1.92, ,115.2,227.1,7.9812,27.91, ,0.080058,0.6837,12.06,25.29,27596
1,1.93, ,115.2,227.1,7.9829,27.91, ,0.080161,0.6837,12.10,25.29,27561
1,1.95, ,115.3,227.3,7.9839,27.91, ,0.080219,0.6837,12.11,25.28,27535
1,1.97, ,115.2,227.1,7.9871,27.91, ,0.080413,0.6837,12.10,25.29,27541
1,1.98, ,115.2,227.1,7.9775,27.91, ,0.079836,0.6837,12.09,25.29,27504
1,2.00, ,115.0,226.7,7.9784,27.91, ,0.079892,0.6837,12.09,25.31,27385
1,2.02, ,115.2,227.1,7.9798,27.91, ,0.079976,0.6837,12.07,25.29,27393
1,2.03, ,115.1,226.9,7.9848,27.91, ,0.080275,0.6837,12.05,25.30,27382
1,2.05, ,115.1,226.9,7.9885,27.91, ,0.080496,0.6837,12.13,25.30,27380
1,2.07, ,115.1,226.9,7.9934,27.91, ,0.080785,0.6837,12.10,25.30,27384
1,2.08, ,115.1,226.9,7.9916,27.91, ,0.080682,0.6837,12.09,25.30,27442
1,2.10, ,115.1,226.9,7.9903,27.91, ,0.080601,0.6837,12.09,25.30,27462
1,2.12, ,115.1,226.9,7.9880,27.91, ,0.080464,0.6837,12.08,25.30,27439
1,2.13, ,115.1,226.9,7.9865,27.91, ,0.080374,0.6837,12.08,25.30,27464
1,2.15, ,115.1,226.9,7.9844,27.91, ,0.080251,0.6836,12.09,25.30,27447
1,2.17, ,115.1,226.9,7.9784,27.91, ,0.079892,0.6837,12.08,25.30,27411
1,2.18, ,115.1,226.9,7.9779,27.91, ,0.079858,0.6836,12.05,25.30,27450
