DeviceId:CISME0006669c1a4f
Filename:/msc/Data/d11r4corr_Oct26_1535.csv
pH Slope(m): 0.05897
pH Eo (b): -0.40960
cal. Buffer pH: 8.04100
cal. Buffer temp. 24.03778
Salinity: 35
O2 0 Phase: 60.42000
O2 0 Temp: 25.00000
O2 100 Phase: 27.28000
O2 100 Temp: 23.97000
O2 LED Current: 150.00000
O2 Pressure Cal: 976.00000
Total number of steps: 1
Step Number: 1
Time Threshold: 2400
O2 Threshold:   0
pH Threshold: 0.000
Flow Rate: 5348.000000
Light Level: 0.000000
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.03, ,115.8,231.5,8.1708,27.03, ,0.073772,0.7013,12.38,25.28,2706
1,0.05, ,115.6,231.3,8.1721,27.02, ,0.073852,0.7013,12.38,25.29,2707
1,0.07, ,115.8,231.5,8.1725,27.02, ,0.073873,0.7013,12.38,25.28,2708
1,0.08, ,115.8,231.5,8.1727,27.02, ,0.073883,0.7013,12.39,25.28,2707
1,0.10, ,115.8,231.5,8.1730,27.02, ,0.073902,0.7013,12.38,25.28,2706
1,0.12, ,115.8,231.5,8.1731,27.02, ,0.073909,0.7014,12.39,25.28,2705
1,0.13, ,116.2,232.5,8.1732,27.02, ,0.073911,0.7014,12.38,25.24,2709
1,0.15, ,116.1,232.2,8.1729,27.02, ,0.073895,0.7014,12.40,25.25,2707
1,0.17, ,116.0,232.0,8.1731,27.02, ,0.073908,0.7014,12.37,25.26,2708
1,0.18, ,116.1,232.2,8.1733,27.02, ,0.073917,0.7014,12.38,25.25,2706
1,0.20, ,115.7,231.3,8.1732,27.02, ,0.073914,0.7014,12.39,25.29,2708
1,0.22, ,116.5,232.9,8.1729,27.02, ,0.073895,0.7014,12.37,25.22,2707
1,0.23, ,115.9,231.8,8.1729,27.02, ,0.073896,0.7014,12.39,25.27,2708
1,0.25, ,115.4,230.9,8.1735,27.02, ,0.073931,0.7014,12.40,25.31,2705
