DeviceId:CISME0006669c1a4f
Filename:/msc/Data/d11rr5_Oct26_1623.csv
pH Slope(m): 0.05897
pH Eo (b): -0.40960
cal. Buffer pH: 8.04100
cal. Buffer temp. 24.03778
Salinity: 35
O2 0 Phase: 60.42000
O2 0 Temp: 25.00000
O2 100 Phase: 27.28000
O2 100 Temp: 23.97000
O2 LED Current: 150.00000
O2 Pressure Cal: 976.00000
Total number of steps: 1
Step Number: 1
Time Threshold: 2400
O2 Threshold:   0
pH Threshold: 0.000
Flow Rate: 5348.000000
Light Level: 0.000000
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.03, ,117.7,235.7,8.1847,26.93, ,0.074549,0.7034,12.27,25.13,2717
1,0.05, ,117.5,235.5,8.1857,26.93, ,0.074612,0.7034,12.27,25.14,2717
1,0.07, ,117.7,235.7,8.1853,26.93, ,0.074588,0.7034,12.27,25.13,2718
1,0.08, ,117.2,234.8,8.1861,26.93, ,0.074633,0.7035,12.27,25.17,2718
1,0.08, ,117.3,235.0,8.1860,26.93, ,0.074629,0.7034,12.27,25.16,2717
1,0.10, ,117.8,235.9,8.1863,26.93, ,0.074645,0.7035,12.27,25.12,2717
1,0.13, ,117.1,234.5,8.1860,26.93, ,0.074626,0.7034,12.27,25.18,2717
1,0.13, ,117.1,234.5,8.1862,26.93, ,0.074638,0.7035,12.26,25.18,2713
1,0.15, ,117.3,235.0,8.1871,26.93, ,0.074692,0.7035,12.28,25.16,2713
1,0.17, ,117.8,236.0,8.1863,26.93, ,0.074642,0.7035,12.27,25.12,2716
1,0.18, ,117.3,235.0,8.1870,26.93, ,0.074686,0.7035,12.27,25.16,2717
1,0.20, ,117.8,236.0,8.1868,26.93, ,0.074672,0.7035,12.27,25.12,2715
1,0.22, ,117.8,236.0,8.1863,26.93, ,0.074646,0.7035,12.27,25.12,2716
1,0.23, ,117.4,235.3,8.1867,26.93, ,0.074667,0.7035,12.28,25.15,2714
1,0.25, ,117.1,234.6,8.1862,26.93, ,0.074637,0.7035,12.27,25.18,2715
1,0.27, ,117.6,235.5,8.1862,26.93, ,0.074636,0.7035,12.28,25.14,2713
1,0.28, ,117.3,235.0,8.1867,26.92, ,0.074664,0.7035,12.28,25.16,2714
1,0.30, ,117.2,234.8,8.1870,26.92, ,0.074685,0.7035,12.27,25.17,2715
