DeviceId:CISME0006669c1a4f
Filename:/msc/Data/d12r4_Oct30_0751.csv
pH Slope(m): 0.05897
pH Eo (b): -0.40960
cal. Buffer pH: 8.04100
cal. Buffer temp. 24.03778
Salinity: 35
O2 0 Phase: 60.42000
O2 0 Temp: 25.00000
O2 100 Phase: 27.28000
O2 100 Temp: 23.97000
O2 LED Current: 150.00000
O2 Pressure Cal: 976.00000
Total number of steps: 1
Step Number: 1
Time Threshold: 2400
O2 Threshold:   0
pH Threshold: 0.000
Flow Rate: 5348.000000
Light Level: 26.000000
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.02, ,99.0,198.8,8.1083,26.75, ,0.069910,0.7074,12.50,26.94,2196
1,0.05, ,98.7,198.3,8.1081,26.75, ,0.069898,0.7074,12.51,26.97,2192
1,0.07, ,97.9,196.8,8.1086,26.75, ,0.069925,0.7074,12.52,27.05,2195
1,0.08, ,98.4,197.7,8.1089,26.75, ,0.069946,0.7074,12.49,27.00,2194
1,0.10, ,98.1,197.2,8.1091,26.75, ,0.069955,0.7074,12.50,27.03,2194
1,0.12, ,98.4,197.7,8.1092,26.75, ,0.069962,0.7074,12.51,27.00,2194
1,0.13, ,98.8,198.5,8.1091,26.75, ,0.069956,0.7074,12.54,26.96,2193
1,0.15, ,98.4,197.7,8.1090,26.75, ,0.069952,0.7074,12.53,27.00,2192
1,0.17, ,98.4,197.7,8.1089,26.75, ,0.069943,0.7074,12.50,27.00,2193
1,0.18, ,98.6,198.1,8.1090,26.75, ,0.069948,0.7074,12.53,26.98,2192
1,0.20, ,98.2,197.3,8.1090,26.75, ,0.069948,0.7074,12.55,27.02,2191
1,0.22, ,98.5,197.9,8.1092,26.75, ,0.069965,0.7074,12.55,26.99,2192
1,0.23, ,99.0,198.8,8.1094,26.75, ,0.069975,0.7074,12.57,26.94,2192
1,0.25, ,98.5,197.9,8.1094,26.75, ,0.069977,0.7074,12.55,26.99,2190
1,0.27, ,98.4,197.7,8.1093,26.75, ,0.069968,0.7074,12.51,27.00,2193
1,0.28, ,98.8,198.5,8.1093,26.75, ,0.069971,0.7074,12.49,26.96,2193
1,0.30, ,98.5,197.9,8.1094,26.75, ,0.069976,0.7074,12.51,26.99,2191
1,0.32, ,98.4,197.7,8.1096,26.75, ,0.069986,0.7074,12.52,27.00,2193
1,0.33, ,98.7,198.3,8.1095,26.75, ,0.069983,0.7074,12.51,26.97,2191
1,0.35, ,98.6,198.1,8.1099,26.75, ,0.070004,0.7074,12.50,26.98,2192
1,0.37, ,98.5,197.9,8.1099,26.75, ,0.070005,0.7074,12.48,26.99,2193
1,0.38, ,99.0,198.8,8.1099,26.75, ,0.070007,0.7074,12.51,26.94,2191
1,0.40, ,98.6,198.1,8.1098,26.75, ,0.069999,0.7074,12.49,26.98,2192
1,0.42, ,99.0,198.8,8.1098,26.75, ,0.069996,0.7074,12.47,26.94,2191
1,0.43, ,98.0,197.0,8.1100,26.75, ,0.070012,0.7074,12.50,27.04,2190
1,0.45, ,98.5,197.9,8.1100,26.75, ,0.070012,0.7074,12.51,26.99,2192
1,0.47, ,99.3,199.4,8.1099,26.75, ,0.070006,0.7074,12.50,26.91,2191
1,0.48, ,99.1,199.0,8.1100,26.75, ,0.070010,0.7074,12.50,26.93,2191
1,0.50, ,99.2,199.2,8.1100,26.75, ,0.070008,0.7074,12.51,26.92,2190
1,0.52, ,99.0,198.8,8.1099,26.75, ,0.070005,0.7074,12.55,26.94,2190
1,0.53, ,99.0,198.8,8.1101,26.75, ,0.070014,0.7074,12.56,26.94,2191
1,0.55, ,98.6,198.1,8.1103,26.75, ,0.070031,0.7074,12.51,26.98,2191
1,0.57, ,98.7,198.3,8.1103,26.75, ,0.070030,0.7074,12.52,26.97,2191
1,0.58, ,99.0,198.8,8.1104,26.75, ,0.070036,0.7074,12.51,26.94,2192
1,0.60, ,98.5,197.9,8.1102,26.75, ,0.070020,0.7074,12.49,26.99,2191
1,0.62, ,98.7,198.3,8.1103,26.75, ,0.070026,0.7074,12.54,26.97,2190
1,0.63, ,98.7,198.3,8.1102,26.75, ,0.070021,0.7074,12.57,26.97,2191
1,0.65, ,98.6,198.1,8.1102,26.75, ,0.070021,0.7074,12.51,26.98,2193
