DeviceId:CISME0006669c1e8a
Filename:/msc/Data/d13r1_Oct31_1020.csv
pH Slope(m): 0.05897
pH Eo (b): -0.39247
cal. Buffer pH: 8.04100
cal. Buffer temp. 24.06105
Salinity: 35
O2 0 Phase: 60.42000
O2 0 Temp: 25.00000
O2 100 Phase: 27.38000
O2 100 Temp: 23.99000
O2 LED Current: 150.00000
O2 Pressure Cal: 976.00000
Total number of steps: 1
Step Number: 1
Time Threshold: 2400
O2 Threshold:   0
pH Threshold: 0.000
Flow Rate: 6262.000000
Light Level: 31.000000
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.03, ,105.6,210.6,7.9694,27.21, ,0.079020,0.6988,12.03,26.29,25023
1,0.05, ,105.6,210.5,7.9335,27.21, ,0.076876,0.6988,11.99,26.29,25024
1,0.07, ,105.7,210.8,7.9294,27.21, ,0.076632,0.6988,11.98,26.28,25031
1,0.08, ,105.5,210.3,7.9294,27.21, ,0.076635,0.6988,11.98,26.30,25018
1,0.10, ,105.5,210.3,7.9259,27.21, ,0.076427,0.6988,12.04,26.30,25037
1,0.12, ,105.7,210.8,7.9248,27.21, ,0.076359,0.6988,11.98,26.28,25022
1,0.13, ,105.6,210.6,7.9286,27.21, ,0.076584,0.6988,11.99,26.29,25033
1,0.15, ,105.3,209.9,7.9296,27.21, ,0.076647,0.6988,12.00,26.32,25037
1,0.17, ,105.7,210.8,7.9281,27.21, ,0.076558,0.6988,12.04,26.28,25023
1,0.18, ,105.5,210.3,7.9282,27.21, ,0.076564,0.6988,11.99,26.30,25025
1,0.20, ,105.6,210.5,7.9292,27.21, ,0.076621,0.6988,11.99,26.29,25022
1,0.22, ,105.7,210.8,7.9331,27.21, ,0.076852,0.6988,12.01,26.28,25008
1,0.23, ,105.7,210.8,7.9309,27.21, ,0.076720,0.6988,11.97,26.28,25014
1,0.25, ,105.8,211.0,7.9299,27.21, ,0.076665,0.6988,11.96,26.27,25007
1,0.27, ,105.8,211.0,7.9320,27.21, ,0.076789,0.6988,11.97,26.27,25001
1,0.28, ,105.9,211.2,7.9293,27.21, ,0.076627,0.6988,12.02,26.26,24998
1,0.30, ,105.9,211.2,7.9301,27.21, ,0.076674,0.6988,12.02,26.26,24982
1,0.32, ,106.0,211.4,7.9339,27.21, ,0.076899,0.6988,12.00,26.25,24993
1,0.33, ,106.0,211.4,7.9312,27.21, ,0.076739,0.6988,11.99,26.25,24978
1,0.35, ,106.0,211.4,7.9316,27.21, ,0.076764,0.6988,11.96,26.25,24973
1,0.37, ,106.0,211.4,7.9352,27.21, ,0.076982,0.6988,11.98,26.25,24979
1,0.38, ,106.0,211.4,7.9316,27.21, ,0.076763,0.6988,11.97,26.25,24975
1,0.40, ,106.0,211.4,7.9342,27.21, ,0.076921,0.6988,12.00,26.25,24980
1,0.42, ,105.9,211.2,7.9305,27.21, ,0.076699,0.6988,12.02,26.26,24982
1,0.43, ,106.0,211.4,7.9332,27.21, ,0.076860,0.6988,12.00,26.25,24984
1,0.45, ,105.9,211.2,7.9303,27.21, ,0.076689,0.6988,11.97,26.26,24990
1,0.47, ,105.9,211.2,7.9314,27.21, ,0.076752,0.6988,11.98,26.26,24986
1,0.48, ,105.9,211.2,7.9324,27.21, ,0.076810,0.6988,11.99,26.26,24996
1,0.50, ,105.8,211.0,7.9291,27.21, ,0.076619,0.6988,11.97,26.27,24992
1,0.52, ,105.8,211.0,7.9324,27.21, ,0.076812,0.6988,12.00,26.27,24993
1,0.53, ,105.8,211.0,7.9321,27.21, ,0.076793,0.6988,12.00,26.27,24994
1,0.55, ,105.9,211.2,7.9346,27.21, ,0.076945,0.6988,12.05,26.26,24995
1,0.57, ,105.8,211.0,7.9306,27.21, ,0.076705,0.6988,11.95,26.27,24991
1,0.58, ,105.8,211.0,7.9318,27.21, ,0.076776,0.6988,11.95,26.27,24991
1,0.60, ,105.9,211.2,7.9337,27.21, ,0.076891,0.6988,11.96,26.26,24993
1,0.62, ,105.8,211.0,7.9314,27.21, ,0.076751,0.6988,12.00,26.27,24999
1,0.63, ,105.7,210.8,7.9342,27.21, ,0.076921,0.6988,11.96,26.28,25002
1,0.65, ,105.7,210.8,7.9297,27.21, ,0.076653,0.6988,11.96,26.28,25004
1,0.67, ,105.6,210.6,7.9327,27.21, ,0.076831,0.6988,11.96,26.29,25013
1,0.68, ,105.7,210.8,7.9331,27.21, ,0.076856,0.6988,11.97,26.28,25014
1,0.70, ,105.6,210.6,7.9318,27.21, ,0.076774,0.6988,11.95,26.29,25016
1,0.72, ,105.6,210.6,7.9345,27.21, ,0.076936,0.6988,11.96,26.29,25011
1,0.73, ,105.8,211.0,7.9334,27.21, ,0.076874,0.6988,11.98,26.27,25017
1,0.75, ,105.7,210.8,7.9321,27.21, ,0.076797,0.6988,11.98,26.28,25015
1,0.77, ,105.8,211.0,7.9335,27.21, ,0.076875,0.6988,11.97,26.27,25009
1,0.78, ,105.7,210.8,7.9353,27.21, ,0.076987,0.6988,11.97,26.28,25006
1,0.80, ,105.8,211.0,7.9310,27.21, ,0.076729,0.6988,12.00,26.27,25006
1,0.82, ,105.7,210.8,7.9298,27.21, ,0.076654,0.6988,12.04,26.28,25003
1,0.83, ,105.7,210.8,7.9307,27.21, ,0.076710,0.6988,12.00,26.28,25002
1,0.85, ,105.9,211.2,7.9337,27.21, ,0.076891,0.6988,12.01,26.26,25008
1,0.87, ,105.8,211.0,7.9350,27.21, ,0.076968,0.6988,11.96,26.27,24997
1,0.88, ,105.6,210.5,7.9312,27.21, ,0.076738,0.6988,11.94,26.29,25017
1,0.90, ,105.7,210.8,7.9335,27.21, ,0.076876,0.6988,11.95,26.28,25010
1,0.92, ,105.9,211.2,7.9345,27.21, ,0.076940,0.6988,11.96,26.26,25003
1,0.93, ,105.6,210.6,7.9337,27.21, ,0.076891,0.6988,11.99,26.29,25006
1,0.95, ,105.7,210.8,7.9318,27.21, ,0.076778,0.6988,12.01,26.28,25000
1,0.97, ,105.7,210.8,7.9345,27.21, ,0.076940,0.6988,11.99,26.28,25003
1,0.98, ,105.8,211.0,7.9354,27.21, ,0.076991,0.6988,11.95,26.27,24990
1,1.00, ,105.7,210.8,7.9350,27.21, ,0.076964,0.6988,11.96,26.28,25002
1,1.02, ,106.0,211.4,7.9326,27.21, ,0.076821,0.6988,11.96,26.25,24989
1,1.03, ,106.0,211.4,7.9333,27.21, ,0.076867,0.6988,11.99,26.25,24978
1,1.05, ,105.9,211.2,7.9326,27.21, ,0.076822,0.6988,12.01,26.26,24981
1,1.07, ,106.0,211.4,7.9342,27.21, ,0.076919,0.6988,12.00,26.25,24970
1,1.08, ,106.1,211.6,7.9338,27.21, ,0.076896,0.6988,11.95,26.24,24972
1,1.10, ,105.9,211.2,7.9314,27.21, ,0.076756,0.6988,11.93,26.26,24966
1,1.12, ,106.0,211.4,7.9306,27.21, ,0.076707,0.6988,11.96,26.25,24967
1,1.13, ,106.0,211.4,7.9332,27.21, ,0.076862,0.6988,12.00,26.25,24964
1,1.15, ,106.1,211.6,7.9334,27.21, ,0.076869,0.6988,11.95,26.24,24967
1,1.17, ,106.2,211.8,7.9288,27.21, ,0.076600,0.6988,11.95,26.23,24936
1,1.18, ,105.9,211.2,7.9237,27.21, ,0.076292,0.6988,11.97,26.26,24978
1,1.20, ,105.8,211.0,7.9226,27.21, ,0.076230,0.6988,12.00,26.27,24995
