DeviceId:CISME0006669c1e8a
Filename:/msc/Data/d2 c3l127r_Oct17_1327.csv
pH Slope(m): 0.05897
pH Eo (b): -0.39247
cal. Buffer pH: 8.04100
cal. Buffer temp. 24.06105
Salinity: 35
O2 0 Phase: 60.42000
O2 0 Temp: 25.00000
O2 100 Phase: 27.38000
O2 100 Temp: 23.99000
O2 LED Current: 150.00000
O2 Pressure Cal: 976.00000
Total number of steps: 2
Step Number: 1
Time Threshold: 240
O2 Threshold:   0
pH Threshold: 0.000
Flow Rate: 6262.000000
Light Level: 0.000000
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.03, ,114.3,224.4,8.0640,28.21, ,0.085150,0.6774,12.35,25.32,35231
1,0.05, ,114.1,223.9,8.0624,28.21, ,0.085053,0.6773,12.32,25.34,35262
1,0.07, ,114.0,223.7,8.0611,28.21, ,0.084981,0.6774,12.34,25.35,35248
1,0.08, ,114.0,223.7,8.0609,28.21, ,0.084963,0.6774,12.34,25.35,35242
1,0.10, ,114.2,224.2,8.0607,28.21, ,0.084953,0.6773,12.33,25.33,35283
1,0.12, ,113.9,223.5,8.0596,28.21, ,0.084889,0.6773,12.35,25.36,35291
1,0.13, ,113.9,223.5,8.0598,28.21, ,0.084902,0.6773,12.33,25.36,35281
1,0.15, ,113.9,223.5,8.0591,28.21, ,0.084858,0.6773,12.34,25.36,35290
1,0.17, ,113.8,223.3,8.0597,28.21, ,0.084897,0.6773,12.34,25.37,35265
1,0.18, ,113.8,223.3,8.0592,28.21, ,0.084868,0.6773,12.35,25.37,35310
1,0.20, ,113.8,223.3,8.0590,28.21, ,0.084852,0.6773,12.32,25.37,35300
1,0.22, ,113.9,223.5,8.0584,28.21, ,0.084815,0.6773,12.33,25.36,35323
1,0.23, ,113.8,223.3,8.0586,28.21, ,0.084829,0.6773,12.33,25.37,35316
1,0.25, ,113.8,223.3,8.0582,28.21, ,0.084804,0.6773,12.34,25.37,35312
1,0.27, ,113.8,223.3,8.0589,28.21, ,0.084847,0.6773,12.32,25.37,35300
1,0.28, ,113.7,223.0,8.0585,28.21, ,0.084824,0.6773,12.33,25.38,35312
1,0.30, ,113.8,223.3,8.0585,28.21, ,0.084820,0.6773,12.33,25.37,35327
1,0.32, ,113.8,223.3,8.0574,28.21, ,0.084757,0.6773,12.33,25.37,35294
1,0.33, ,113.7,223.0,8.0579,28.21, ,0.084785,0.6773,12.33,25.38,35314
1,0.35, ,113.6,222.8,8.0571,28.21, ,0.084740,0.6773,12.36,25.39,35314
1,0.37, ,113.8,223.3,8.0566,28.21, ,0.084711,0.6773,12.33,25.37,35314
1,0.38, ,113.8,223.3,8.0569,28.21, ,0.084726,0.6773,12.33,25.37,35281
1,0.40, ,113.8,223.3,8.0575,28.21, ,0.084766,0.6773,12.34,25.37,35101
1,0.42, ,113.7,223.0,8.0570,28.21, ,0.084734,0.6773,12.35,25.38,34105
1,0.43, ,113.8,223.3,8.0565,28.21, ,0.084703,0.6773,12.35,25.37,35152
1,0.45, ,113.8,223.2,8.0557,28.21, ,0.084655,0.6773,12.32,25.37,34771
1,0.47, ,113.7,223.0,8.0549,28.21, ,0.084611,0.6773,12.36,25.38,34110
1,0.48, ,113.5,222.8,8.0555,28.21, ,0.084643,0.6773,12.33,25.39,34081
1,0.50, ,113.8,223.2,8.0549,28.21, ,0.084609,0.6773,12.34,25.37,34756
1,0.52, ,113.5,222.8,8.0549,28.21, ,0.084611,0.6773,12.34,25.39,35033
1,0.53, ,113.7,223.0,8.0548,28.21, ,0.084605,0.6773,12.33,25.38,35227
1,0.55, ,113.7,223.0,8.0545,28.21, ,0.084584,0.6773,12.36,25.38,35062
1,0.57, ,113.7,223.0,8.0538,28.21, ,0.084541,0.6773,12.35,25.38,35187
1,0.58, ,113.5,222.8,8.0532,28.21, ,0.084510,0.6773,12.32,25.39,34994
1,0.60, ,113.7,223.0,8.0524,28.21, ,0.084462,0.6772,12.33,25.38,35006
1,0.62, ,113.7,223.0,8.0525,28.21, ,0.084465,0.6772,12.32,25.38,35021
