DeviceId:CISME0006669c1a4f
Filename:/msc/Data/d2b11154_Oct17_1154.csv
pH Slope(m): 0.05897
pH Eo (b): -0.40960
cal. Buffer pH: 8.04100
cal. Buffer temp. 24.03778
Salinity: 35
O2 0 Phase: 60.42000
O2 0 Temp: 25.00000
O2 100 Phase: 27.28000
O2 100 Temp: 23.97000
O2 LED Current: 150.00000
O2 Pressure Cal: 976.00000
Total number of steps: 1
Step Number: 1
Time Threshold: 180
O2 Threshold:   0
pH Threshold: 0.000
Flow Rate: 5000.000000
Light Level: 0.000000
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.03, ,118.0,232.7,8.1336,27.91, ,0.072014,0.6822,12.54,24.95,2069
1,0.05, ,118.1,232.9,8.1346,27.91, ,0.072072,0.6822,12.54,24.94,2070
1,0.07, ,119.3,235.3,8.1342,27.91, ,0.072048,0.6822,12.56,24.84,2065
1,0.08, ,118.5,233.7,8.1337,27.91, ,0.072013,0.6822,12.54,24.91,2065
1,0.10, ,118.6,233.9,8.1337,27.91, ,0.072017,0.6823,12.56,24.90,2066
1,0.12, ,119.6,235.8,8.1334,27.91, ,0.071997,0.6823,12.55,24.82,2068
1,0.13, ,118.7,234.1,8.1329,27.91, ,0.071968,0.6823,12.55,24.89,2065
1,0.15, ,118.0,232.8,8.1333,27.91, ,0.071988,0.6823,12.56,24.95,2067
1,0.17, ,118.4,233.5,8.1334,27.90, ,0.071994,0.6823,12.57,24.92,2063
1,0.18, ,119.6,235.8,8.1326,27.90, ,0.071945,0.6824,12.54,24.82,2067
1,0.20, ,117.3,231.4,8.1331,27.90, ,0.071979,0.6824,12.57,25.01,2064
1,0.22, ,118.8,234.2,8.1315,27.90, ,0.071883,0.6824,12.54,24.89,2063
1,0.23, ,118.4,233.5,8.1325,27.90, ,0.071941,0.6824,12.55,24.92,2067
1,0.25, ,118.9,234.4,8.1327,27.90, ,0.071951,0.6824,12.56,24.88,2066
1,0.27, ,118.6,234.0,8.1341,27.90, ,0.072035,0.6825,12.56,24.90,2069
1,0.28, ,118.1,232.8,8.1332,27.90, ,0.071979,0.6825,12.56,24.95,2069
1,0.30, ,119.0,234.7,8.1317,27.90, ,0.071892,0.6825,12.54,24.87,2071
1,0.32, ,117.6,231.9,8.1322,27.90, ,0.071921,0.6825,12.56,24.99,2066
1,0.33, ,118.5,233.7,8.1314,27.90, ,0.071874,0.6825,12.56,24.91,2068
1,0.35, ,119.2,235.2,8.1319,27.89, ,0.071903,0.6825,12.55,24.85,2067
1,0.37, ,118.3,233.3,8.1341,27.89, ,0.072031,0.6826,12.55,24.93,2067
1,0.38, ,117.6,231.9,8.1318,27.89, ,0.071893,0.6826,12.53,24.99,2070
1,0.40, ,118.4,233.5,8.1317,27.89, ,0.071889,0.6826,12.55,24.92,2071
1,0.42, ,118.1,232.9,8.1318,27.89, ,0.071891,0.6826,12.55,24.95,2071
1,0.43, ,117.7,232.2,8.1323,27.89, ,0.071922,0.6826,12.56,24.98,2067
1,0.45, ,118.1,232.9,8.1328,27.89, ,0.071954,0.6826,12.56,24.95,2067
1,0.47, ,118.2,233.1,8.1321,27.89, ,0.071908,0.6827,12.54,24.94,2068
1,0.48, ,118.9,234.5,8.1314,27.89, ,0.071868,0.6827,12.55,24.88,2068
1,0.50, ,118.5,233.8,8.1330,27.89, ,0.071963,0.6827,12.54,24.91,2069
1,0.52, ,119.0,234.8,8.1331,27.89, ,0.071970,0.6827,12.55,24.87,2067
1,0.53, ,118.2,233.1,8.1321,27.88, ,0.071905,0.6828,12.57,24.94,2070
1,0.55, ,118.2,233.1,8.1325,27.88, ,0.071933,0.6828,12.54,24.94,2069
1,0.57, ,118.9,234.5,8.1326,27.88, ,0.071938,0.6828,12.55,24.88,2069
1,0.58, ,119.3,235.3,8.1327,27.88, ,0.071942,0.6828,12.54,24.85,2067
1,0.60, ,118.9,234.6,8.1339,27.88, ,0.072013,0.6828,12.56,24.88,2068
1,0.62, ,118.4,233.6,8.1333,27.88, ,0.071980,0.6828,12.55,24.92,2069
1,0.63, ,118.7,234.1,8.1339,27.88, ,0.072010,0.6829,12.54,24.90,2068
1,0.65, ,117.9,232.5,8.1338,27.88, ,0.072007,0.6829,12.55,24.97,2071
1,0.67, ,118.3,233.4,8.1326,27.88, ,0.071933,0.6829,12.54,24.93,2068
1,0.68, ,117.6,232.0,8.1335,27.88, ,0.071987,0.6829,12.56,24.99,2065
1,0.70, ,118.9,234.6,8.1332,27.88, ,0.071972,0.6829,12.55,24.88,2066
1,0.72, ,118.8,234.4,8.1337,27.88, ,0.071996,0.6830,12.54,24.89,2065
1,0.73, ,118.7,234.1,8.1342,27.87, ,0.072028,0.6830,12.56,24.90,2069
1,0.75, ,118.2,233.2,8.1338,27.87, ,0.072004,0.6830,12.55,24.94,2067
1,0.77, ,119.4,235.6,8.1326,27.87, ,0.071930,0.6830,12.55,24.84,2069
1,0.78, ,118.8,234.4,8.1324,27.87, ,0.071917,0.6830,12.54,24.89,2068
1,0.80, ,118.2,233.2,8.1341,27.87, ,0.072022,0.6830,12.53,24.94,2069
1,0.82, ,118.6,233.9,8.1340,27.87, ,0.072015,0.6831,12.54,24.91,2070
1,0.83, ,118.2,233.2,8.1340,27.87, ,0.072013,0.6831,12.55,24.94,2065
1,0.85, ,119.1,234.9,8.1331,27.87, ,0.071960,0.6831,12.54,24.87,2070
1,0.87, ,118.3,233.5,8.1336,27.87, ,0.071989,0.6831,12.55,24.93,2072
1,0.88, ,118.1,233.0,8.1340,27.87, ,0.072011,0.6831,12.56,24.95,2070
1,0.90, ,117.2,231.2,8.1326,27.87, ,0.071926,0.6832,12.55,25.03,2070
1,0.92, ,118.5,233.7,8.1332,27.86, ,0.071960,0.6832,12.54,24.92,2069
1,0.93, ,118.5,233.7,8.1328,27.86, ,0.071936,0.6832,12.55,24.92,2072
1,0.95, ,118.5,233.8,8.1346,27.86, ,0.072043,0.6832,12.56,24.92,2072
1,0.97, ,118.0,232.8,8.1341,27.86, ,0.072014,0.6832,12.55,24.96,2068
1,0.98, ,118.7,234.2,8.1338,27.86, ,0.071999,0.6832,12.56,24.90,2068
1,1.00, ,119.4,235.6,8.1335,27.86, ,0.071978,0.6833,12.56,24.84,2068
1,1.02, ,118.7,234.2,8.1337,27.86, ,0.071991,0.6833,12.54,24.90,2066
1,1.03, ,118.6,234.0,8.1334,27.86, ,0.071973,0.6833,12.54,24.91,2066
1,1.05, ,119.2,235.2,8.1335,27.86, ,0.071977,0.6833,12.54,24.86,2065
1,1.07, ,119.1,235.0,8.1335,27.86, ,0.071979,0.6833,12.55,24.87,2066
1,1.08, ,119.6,235.9,8.1331,27.86, ,0.071950,0.6834,12.54,24.83,2064
1,1.10, ,119.9,236.6,8.1331,27.86, ,0.071950,0.6834,12.56,24.80,2064
1,1.12, ,119.6,235.9,8.1350,27.85, ,0.072066,0.6834,12.54,24.83,2062
1,1.13, ,119.6,235.9,8.1324,27.85, ,0.071913,0.6834,12.56,24.83,2066
1,1.15, ,119.1,235.0,8.1335,27.85, ,0.071973,0.6834,12.55,24.87,2065
1,1.17, ,118.7,234.3,8.1332,27.85, ,0.071955,0.6835,12.55,24.90,2067
1,1.18, ,118.4,233.6,8.1322,27.85, ,0.071897,0.6835,12.55,24.93,2065
1,1.20, ,118.4,233.6,8.1328,27.85, ,0.071931,0.6835,12.55,24.93,2064
1,1.22, ,118.0,232.9,8.1332,27.85, ,0.071955,0.6835,12.55,24.96,2066
1,1.23, ,118.6,234.1,8.1329,27.85, ,0.071937,0.6835,12.55,24.91,2068
1,1.25, ,118.7,234.3,8.1353,27.85, ,0.072077,0.6836,12.56,24.90,2069
1,1.27, ,118.6,234.1,8.1321,27.85, ,0.071886,0.6836,12.55,24.91,2068
1,1.28, ,118.0,232.9,8.1328,27.85, ,0.071929,0.6836,12.56,24.96,2070
1,1.30, ,118.6,234.1,8.1331,27.84, ,0.071948,0.6836,12.55,24.91,2068
1,1.32, ,119.1,235.1,8.1344,27.84, ,0.072025,0.6836,12.54,24.87,2069
1,1.33, ,118.0,233.0,8.1327,27.84, ,0.071923,0.6836,12.57,24.96,2066
1,1.35, ,118.7,234.4,8.1320,27.84, ,0.071882,0.6837,12.55,24.90,2069
1,1.37, ,119.0,234.8,8.1320,27.84, ,0.071881,0.6837,12.55,24.88,2072
1,1.38, ,118.7,234.4,8.1337,27.84, ,0.071979,0.6837,12.54,24.90,2071
1,1.40, ,117.3,231.6,8.1319,27.84, ,0.071872,0.6837,12.56,25.02,2069
1,1.42, ,118.9,234.6,8.1306,27.84, ,0.071795,0.6837,12.56,24.89,2071
1,1.43, ,118.0,233.0,8.1340,27.84, ,0.071998,0.6837,12.54,24.96,2075
1,1.45, ,118.5,233.9,8.1323,27.84, ,0.071894,0.6838,12.54,24.92,2071
1,1.47, ,117.5,231.9,8.1345,27.84, ,0.072026,0.6838,12.53,25.01,2071
1,1.48, ,118.3,233.5,8.1321,27.84, ,0.071880,0.6838,12.55,24.94,2069
1,1.50, ,119.1,235.1,8.1320,27.83, ,0.071876,0.6838,12.55,24.87,2070
1,1.52, ,118.0,233.0,8.1329,27.83, ,0.071932,0.6838,12.57,24.96,2071
1,1.53, ,117.7,232.3,8.1321,27.83, ,0.071881,0.6839,12.55,24.99,2071
1,1.55, ,118.9,234.7,8.1336,27.83, ,0.071973,0.6839,12.56,24.89,2069
1,1.57, ,118.2,233.3,8.1319,27.83, ,0.071867,0.6839,12.54,24.95,2072
1,1.58, ,118.8,234.5,8.1312,27.83, ,0.071823,0.6839,12.55,24.90,2073
1,1.60, ,117.6,232.1,8.1319,27.83, ,0.071867,0.6839,12.55,25.00,2072
1,1.62, ,120.1,237.1,8.1329,27.83, ,0.071924,0.6839,12.54,24.79,2072
1,1.63, ,118.3,233.5,8.1335,27.83, ,0.071962,0.6840,12.54,24.94,2072
1,1.65, ,117.7,232.4,8.1334,27.83, ,0.071959,0.6840,12.55,24.99,2071
1,1.67, ,118.4,233.8,8.1326,27.83, ,0.071909,0.6840,12.54,24.93,2074
1,1.68, ,118.3,233.6,8.1330,27.83, ,0.071931,0.6840,12.55,24.94,2073
1,1.70, ,118.5,234.0,8.1329,27.83, ,0.071927,0.6840,12.56,24.92,2070
1,1.72, ,118.4,233.8,8.1329,27.82, ,0.071924,0.6840,12.54,24.93,2070
1,1.73, ,118.8,234.5,8.1332,27.82, ,0.071944,0.6841,12.55,24.90,2068
1,1.75, ,117.7,232.4,8.1326,27.82, ,0.071906,0.6841,12.57,24.99,2070
1,1.77, ,118.8,234.5,8.1343,27.82, ,0.072008,0.6841,12.55,24.90,2072
1,1.78, ,118.5,234.1,8.1336,27.82, ,0.071964,0.6841,12.54,24.92,2073
1,1.80, ,118.0,232.9,8.1337,27.82, ,0.071973,0.6841,12.53,24.97,2069
1,1.82, ,119.7,236.4,8.1338,27.82, ,0.071975,0.6842,12.55,24.82,2072
1,1.83, ,119.1,235.3,8.1353,27.82, ,0.072067,0.6842,12.54,24.87,2068
1,1.85, ,118.4,233.9,8.1347,27.82, ,0.072029,0.6842,12.55,24.93,2072
1,1.87, ,119.0,235.0,8.1332,27.82, ,0.071938,0.6842,12.56,24.88,2071
1,1.88, ,118.9,234.8,8.1346,27.82, ,0.072023,0.6842,12.55,24.89,2067
1,1.90, ,119.6,236.2,8.1353,27.82, ,0.072062,0.6842,12.53,24.83,2071
1,1.92, ,119.3,235.5,8.1351,27.81, ,0.072048,0.6843,12.55,24.86,2068
1,1.93, ,118.2,233.4,8.1351,27.81, ,0.072048,0.6843,12.54,24.95,2069
1,1.95, ,118.8,234.6,8.1367,27.81, ,0.072146,0.6843,12.54,24.90,2069
1,1.97, ,118.3,233.7,8.1359,27.81, ,0.072094,0.6843,12.55,24.94,2067
1,1.98, ,120.1,237.2,8.1353,27.81, ,0.072061,0.6843,12.54,24.79,2068
1,2.00, ,119.6,236.3,8.1344,27.81, ,0.072004,0.6843,12.56,24.83,2066
1,2.02, ,118.9,234.8,8.1342,27.81, ,0.071994,0.6844,12.55,24.89,2067
1,2.03, ,119.3,235.6,8.1354,27.81, ,0.072065,0.6844,12.55,24.86,2069
1,2.05, ,118.7,234.4,8.1358,27.81, ,0.072088,0.6844,12.55,24.91,2067
1,2.07, ,118.8,234.6,8.1360,27.81, ,0.072103,0.6844,12.56,24.90,2064
1,2.08, ,119.3,235.6,8.1356,27.81, ,0.072075,0.6844,12.56,24.86,2067
1,2.10, ,119.2,235.3,8.1349,27.81, ,0.072032,0.6844,12.57,24.87,2066
1,2.12, ,118.3,233.7,8.1348,27.80, ,0.072026,0.6845,12.53,24.94,2066
1,2.13, ,119.9,236.8,8.1341,27.80, ,0.071983,0.6845,12.56,24.81,2067
1,2.15, ,119.1,235.1,8.1335,27.80, ,0.071948,0.6845,12.55,24.88,2068
1,2.17, ,119.1,235.1,8.1344,27.80, ,0.072003,0.6845,12.54,24.88,2067
1,2.18, ,118.2,233.5,8.1341,27.80, ,0.071984,0.6845,12.57,24.95,2067
1,2.20, ,117.8,232.6,8.1346,27.80, ,0.072013,0.6845,12.54,24.99,2070
1,2.22, ,118.5,234.0,8.1335,27.80, ,0.071949,0.6846,12.55,24.93,2071
1,2.23, ,119.5,236.1,8.1331,27.80, ,0.071923,0.6846,12.55,24.84,2068
1,2.25, ,118.6,234.2,8.1342,27.80, ,0.071990,0.6846,12.54,24.92,2071
1,2.27, ,119.8,236.6,8.1343,27.80, ,0.071997,0.6846,12.55,24.82,2068
1,2.28, ,119.1,235.2,8.1350,27.80, ,0.072035,0.6846,12.55,24.88,2068
1,2.30, ,118.2,233.5,8.1336,27.80, ,0.071954,0.6846,12.54,24.95,2070
1,2.32, ,119.3,235.7,8.1333,27.80, ,0.071935,0.6847,12.53,24.86,2072
1,2.33, ,119.2,235.4,8.1332,27.79, ,0.071929,0.6847,12.54,24.87,2067
1,2.35, ,118.6,234.3,8.1327,27.79, ,0.071897,0.6847,12.56,24.92,2071
1,2.37, ,118.5,234.0,8.1334,27.79, ,0.071940,0.6847,12.55,24.93,2069
1,2.38, ,118.9,235.0,8.1331,27.79, ,0.071923,0.6847,12.53,24.89,2070
1,2.40, ,118.5,234.0,8.1340,27.79, ,0.071974,0.6847,12.55,24.93,2067
1,2.42, ,118.1,233.3,8.1332,27.79, ,0.071927,0.6848,12.56,24.96,2073
1,2.43, ,119.4,235.9,8.1340,27.79, ,0.071975,0.6848,12.54,24.85,2071
1,2.45, ,119.0,235.0,8.1348,27.79, ,0.072023,0.6848,12.55,24.89,2071
1,2.47, ,118.5,234.1,8.1336,27.79, ,0.071947,0.6848,12.54,24.93,2068
1,2.48, ,118.1,233.4,8.1347,27.79, ,0.072012,0.6848,12.55,24.96,2070
