DeviceId:CISME0006669c1a4f
Filename:/msc/Data/d2cr136r4_Oct17_1337.csv
pH Slope(m): 0.05897
pH Eo (b): -0.40960
cal. Buffer pH: 8.04100
cal. Buffer temp. 24.03778
Salinity: 35
O2 0 Phase: 60.42000
O2 0 Temp: 25.00000
O2 100 Phase: 27.28000
O2 100 Temp: 23.97000
O2 LED Current: 150.00000
O2 Pressure Cal: 976.00000
Total number of steps: 2
Step Number: 1
Time Threshold: 240
O2 Threshold:   0
pH Threshold: 0.000
Flow Rate: 5000.000000
Light Level: 0.000000
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.03, ,128.1,251.3,8.1593,28.19, ,0.073691,0.6763,12.26,24.10,2118
1,0.05, ,128.3,251.9,8.1602,28.19, ,0.073743,0.6763,12.27,24.08,2119
1,0.07, ,128.6,252.4,8.1607,28.19, ,0.073773,0.6763,12.26,24.06,2116
1,0.08, ,128.7,252.6,8.1607,28.19, ,0.073770,0.6763,12.26,24.05,2120
1,0.10, ,128.7,252.6,8.1607,28.19, ,0.073776,0.6763,12.26,24.05,2115
1,0.12, ,128.4,252.1,8.1609,28.19, ,0.073782,0.6763,12.26,24.07,2112
1,0.13, ,129.2,253.7,8.1609,28.19, ,0.073786,0.6763,12.27,24.01,2111
1,0.15, ,129.1,253.4,8.1608,28.19, ,0.073780,0.6763,12.26,24.02,2107
1,0.17, ,129.6,254.4,8.1608,28.19, ,0.073780,0.6763,12.26,23.98,2105
1,0.18, ,130.8,256.8,8.1608,28.19, ,0.073777,0.6763,12.26,23.89,2101
1,0.20, ,129.8,254.7,8.1606,28.19, ,0.073764,0.6763,12.26,23.97,2102
1,0.22, ,131.5,258.1,8.1608,28.19, ,0.073777,0.6763,12.27,23.84,2098
1,0.23, ,130.8,256.8,8.1601,28.19, ,0.073738,0.6763,12.27,23.89,2099
1,0.25, ,131.0,257.1,8.1601,28.19, ,0.073737,0.6763,12.27,23.88,2096
1,0.27, ,130.7,256.5,8.1601,28.19, ,0.073739,0.6763,12.27,23.90,2096
1,0.28, ,131.8,258.7,8.1602,28.19, ,0.073744,0.6763,12.27,23.82,2092
1,0.30, ,131.1,257.3,8.1605,28.19, ,0.073761,0.6763,12.26,23.87,2093
1,0.32, ,131.0,257.1,8.1607,28.19, ,0.073771,0.6763,12.27,23.88,2089
1,0.33, ,131.9,258.9,8.1607,28.19, ,0.073773,0.6763,12.28,23.81,2087
1,0.35, ,131.8,258.7,8.1608,28.19, ,0.073777,0.6763,12.26,23.82,2086
1,0.37, ,131.8,258.7,8.1606,28.19, ,0.073768,0.6763,12.27,23.82,2082
1,0.38, ,132.3,259.7,8.1607,28.19, ,0.073771,0.6763,12.27,23.78,2086
1,0.40, ,132.9,260.8,8.1607,28.19, ,0.073770,0.6763,12.26,23.74,2083
1,0.42, ,132.7,260.5,8.1606,28.19, ,0.073765,0.6763,12.25,23.75,2085
1,0.43, ,133.0,261.1,8.1607,28.19, ,0.073772,0.6763,12.27,23.73,2080
1,0.45, ,132.7,260.5,8.1610,28.19, ,0.073791,0.6763,12.27,23.75,2081
1,0.47, ,132.7,260.5,8.1612,28.19, ,0.073803,0.6763,12.27,23.75,2078
1,0.48, ,132.7,260.5,8.1612,28.19, ,0.073803,0.6763,12.26,23.75,2076
1,0.50, ,133.5,262.1,8.1613,28.19, ,0.073810,0.6763,12.27,23.69,2077
1,0.52, ,133.1,261.3,8.1610,28.19, ,0.073792,0.6763,12.26,23.72,2076
1,0.53, ,133.3,261.6,8.1609,28.19, ,0.073786,0.6763,12.27,23.71,2074
