DeviceId:CISME0006669c1a4f
Filename:/msc/Data/d3b2c2_Oct18_1050.csv
pH Slope(m): 0.05897
pH Eo (b): -0.40960
cal. Buffer pH: 8.04100
cal. Buffer temp. 24.03778
Salinity: 35
O2 0 Phase: 60.42000
O2 0 Temp: 25.00000
O2 100 Phase: 27.28000
O2 100 Temp: 23.97000
O2 LED Current: 150.00000
O2 Pressure Cal: 976.00000
Total number of steps: 1
Step Number: 1
Time Threshold: 180
O2 Threshold:   0
pH Threshold: 0.000
Flow Rate: 5000.000000
Light Level: 0.000000
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.03, ,114.3,228.4,8.1071,27.08, ,0.070005,0.7002,12.54,25.40,2146
1,0.05, ,114.5,228.9,8.1075,27.08, ,0.070029,0.7002,12.55,25.38,2148
1,0.07, ,114.4,228.7,8.1070,27.08, ,0.070001,0.7002,12.53,25.39,2148
1,0.08, ,115.3,230.5,8.1081,27.08, ,0.070066,0.7002,12.55,25.31,2146
1,0.10, ,115.6,230.9,8.1079,27.08, ,0.070051,0.7002,12.54,25.29,2145
1,0.12, ,114.5,228.9,8.1074,27.08, ,0.070021,0.7002,12.53,25.38,2151
1,0.13, ,115.3,230.5,8.1084,27.08, ,0.070083,0.7002,12.52,25.31,2147
1,0.15, ,114.3,228.4,8.1075,27.08, ,0.070028,0.7002,12.54,25.40,2147
1,0.17, ,114.5,228.9,8.1078,27.08, ,0.070048,0.7002,12.54,25.38,2144
1,0.18, ,115.6,230.9,8.1082,27.08, ,0.070070,0.7002,12.54,25.29,2150
1,0.20, ,115.3,230.5,8.1079,27.08, ,0.070051,0.7002,12.54,25.31,2147
1,0.22, ,115.8,231.4,8.1072,27.08, ,0.070010,0.7002,12.54,25.27,2148
1,0.23, ,114.9,229.6,8.1079,27.08, ,0.070050,0.7002,12.55,25.35,2149
1,0.25, ,115.1,230.0,8.1072,27.08, ,0.070014,0.7002,12.55,25.33,2148
1,0.27, ,115.4,230.7,8.1063,27.08, ,0.069957,0.7002,12.56,25.30,2145
1,0.28, ,115.3,230.5,8.1077,27.08, ,0.070039,0.7002,12.53,25.31,2146
1,0.30, ,115.0,229.8,8.1082,27.08, ,0.070068,0.7002,12.55,25.34,2148
1,0.32, ,115.0,229.8,8.1074,27.08, ,0.070020,0.7002,12.54,25.34,2145
1,0.33, ,116.0,231.8,8.1067,27.08, ,0.069979,0.7002,12.55,25.25,2146
1,0.35, ,115.1,230.0,8.1073,27.08, ,0.070016,0.7002,12.54,25.33,2146
1,0.37, ,114.8,229.3,8.1081,27.08, ,0.070064,0.7002,12.56,25.36,2145
1,0.38, ,115.8,231.4,8.1071,27.08, ,0.070003,0.7002,12.52,25.27,2146
1,0.40, ,114.8,229.3,8.1077,27.08, ,0.070040,0.7002,12.53,25.36,2143
1,0.42, ,114.8,229.3,8.1080,27.08, ,0.070060,0.7002,12.53,25.36,2146
1,0.43, ,115.1,230.0,8.1079,27.08, ,0.070056,0.7001,12.54,25.33,2145
1,0.45, ,115.1,230.0,8.1071,27.08, ,0.070002,0.7002,12.54,25.33,2145
1,0.47, ,115.7,231.1,8.1080,27.08, ,0.070061,0.7002,12.55,25.28,2144
1,0.48, ,115.3,230.5,8.1076,27.08, ,0.070036,0.7001,12.56,25.31,2144
1,0.50, ,115.4,230.7,8.1067,27.08, ,0.069983,0.7002,12.54,25.30,2144
1,0.52, ,115.6,230.9,8.1071,27.08, ,0.070007,0.7001,12.55,25.29,2144
1,0.53, ,116.4,232.5,8.1069,27.08, ,0.069991,0.7001,12.53,25.22,2144
1,0.55, ,114.6,229.1,8.1074,27.08, ,0.070026,0.7001,12.53,25.37,2146
1,0.57, ,115.0,229.8,8.1059,27.08, ,0.069935,0.7001,12.53,25.34,2147
1,0.58, ,115.7,231.1,8.1062,27.08, ,0.069950,0.7001,12.53,25.28,2146
1,0.60, ,115.4,230.7,8.1068,27.08, ,0.069990,0.7001,12.55,25.30,2145
1,0.62, ,115.1,230.0,8.1069,27.08, ,0.069993,0.7001,12.54,25.33,2142
1,0.63, ,115.7,231.1,8.1069,27.08, ,0.069993,0.7001,12.55,25.28,2146
1,0.65, ,115.4,230.7,8.1064,27.08, ,0.069965,0.7001,12.53,25.30,2144
1,0.67, ,115.1,230.0,8.1081,27.08, ,0.070064,0.7001,12.54,25.33,2144
1,0.68, ,115.9,231.6,8.1085,27.08, ,0.070090,0.7001,12.54,25.26,2146
1,0.70, ,115.9,231.6,8.1078,27.08, ,0.070046,0.7001,12.53,25.26,2145
1,0.72, ,114.5,228.9,8.1087,27.08, ,0.070103,0.7001,12.52,25.38,2145
1,0.73, ,115.8,231.4,8.1096,27.08, ,0.070152,0.7001,12.55,25.27,2145
1,0.75, ,115.1,230.0,8.1073,27.08, ,0.070016,0.7001,12.53,25.33,2144
1,0.77, ,115.2,230.2,8.1063,27.08, ,0.069957,0.7001,12.54,25.32,2148
1,0.78, ,114.4,228.6,8.1074,27.08, ,0.070027,0.7001,12.55,25.39,2144
1,0.80, ,115.1,230.0,8.1078,27.08, ,0.070049,0.7001,12.54,25.33,2146
1,0.82, ,115.6,230.9,8.1077,27.08, ,0.070044,0.7001,12.54,25.29,2145
1,0.83, ,114.5,228.8,8.1068,27.08, ,0.069991,0.7001,12.53,25.38,2146
1,0.85, ,115.0,229.7,8.1059,27.08, ,0.069938,0.7001,12.55,25.34,2142
1,0.87, ,114.9,229.5,8.1065,27.08, ,0.069970,0.7001,12.54,25.35,2143
1,0.88, ,115.8,231.3,8.1066,27.08, ,0.069975,0.7001,12.55,25.27,2143
1,0.90, ,115.1,230.0,8.1066,27.08, ,0.069979,0.7001,12.52,25.33,2144
1,0.92, ,114.5,228.8,8.1060,27.08, ,0.069941,0.7001,12.53,25.38,2144
1,0.93, ,115.0,229.7,8.1062,27.08, ,0.069952,0.7001,12.56,25.34,2143
1,0.95, ,115.4,230.7,8.1059,27.08, ,0.069934,0.7001,12.54,25.30,2142
1,0.97, ,114.8,229.3,8.1054,27.08, ,0.069907,0.7001,12.52,25.36,2145
1,0.98, ,115.8,231.3,8.1055,27.08, ,0.069914,0.7001,12.55,25.27,2140
1,1.00, ,116.0,231.8,8.1054,27.08, ,0.069904,0.7001,12.53,25.25,2143
1,1.02, ,115.5,230.9,8.1051,27.08, ,0.069887,0.7001,12.56,25.29,2144
1,1.03, ,116.6,232.9,8.1050,27.08, ,0.069880,0.7000,12.56,25.20,2143
1,1.05, ,115.8,231.3,8.1054,27.08, ,0.069909,0.7000,12.55,25.27,2145
1,1.07, ,115.2,230.2,8.1050,27.08, ,0.069882,0.7000,12.55,25.32,2144
1,1.08, ,114.6,229.1,8.1048,27.08, ,0.069869,0.7000,12.55,25.37,2141
1,1.10, ,116.0,231.8,8.1046,27.08, ,0.069856,0.7000,12.55,25.25,2144
1,1.12, ,115.9,231.6,8.1047,27.08, ,0.069864,0.7000,12.56,25.26,2143
1,1.13, ,114.9,229.5,8.1048,27.08, ,0.069873,0.7000,12.55,25.35,2141
1,1.15, ,115.7,231.1,8.1049,27.08, ,0.069879,0.7000,12.53,25.28,2142
1,1.17, ,115.5,230.9,8.1051,27.08, ,0.069892,0.7000,12.53,25.29,2143
1,1.18, ,115.5,230.9,8.1054,27.08, ,0.069907,0.7000,12.54,25.29,2141
1,1.20, ,115.9,231.5,8.1052,27.09, ,0.069895,0.7000,12.55,25.26,2140
1,1.22, ,115.2,230.2,8.1054,27.09, ,0.069908,0.7000,12.54,25.32,2141
1,1.23, ,115.0,229.7,8.1054,27.09, ,0.069909,0.7000,12.54,25.34,2144
1,1.25, ,114.5,228.8,8.1056,27.09, ,0.069919,0.7000,12.56,25.38,2143
1,1.27, ,115.2,230.2,8.1055,27.09, ,0.069912,0.7000,12.55,25.32,2141
1,1.28, ,116.3,232.5,8.1056,27.09, ,0.069919,0.7000,12.55,25.22,2144
1,1.30, ,115.7,231.1,8.1056,27.09, ,0.069922,0.7000,12.56,25.28,2141
1,1.32, ,115.5,230.9,8.1055,27.09, ,0.069915,0.7000,12.55,25.29,2147
1,1.33, ,115.9,231.5,8.1055,27.09, ,0.069917,0.7000,12.55,25.26,2145
1,1.35, ,116.2,232.2,8.1055,27.09, ,0.069912,0.7000,12.53,25.23,2143
1,1.37, ,115.2,230.2,8.1056,27.09, ,0.069921,0.7000,12.55,25.32,2144
1,1.38, ,116.1,232.0,8.1057,27.09, ,0.069929,0.7000,12.54,25.24,2148
1,1.40, ,114.7,229.3,8.1057,27.09, ,0.069925,0.7000,12.55,25.36,2141
1,1.42, ,115.3,230.4,8.1056,27.09, ,0.069918,0.7000,12.55,25.31,2144
1,1.43, ,115.7,231.1,8.1055,27.09, ,0.069915,0.6999,12.57,25.28,2142
1,1.45, ,114.9,229.5,8.1056,27.09, ,0.069918,0.6999,12.55,25.35,2142
1,1.47, ,115.5,230.8,8.1057,27.09, ,0.069926,0.6999,12.53,25.29,2144
1,1.48, ,115.3,230.4,8.1055,27.09, ,0.069916,0.6999,12.55,25.31,2143
1,1.50, ,114.9,229.5,8.1055,27.09, ,0.069916,0.6999,12.54,25.35,2139
1,1.52, ,115.2,230.1,8.1058,27.09, ,0.069936,0.6999,12.55,25.32,2141
1,1.53, ,115.1,229.9,8.1059,27.09, ,0.069939,0.6999,12.56,25.33,2145
1,1.55, ,115.9,231.5,8.1057,27.09, ,0.069930,0.6999,12.56,25.26,2141
1,1.57, ,115.4,230.6,8.1059,27.09, ,0.069942,0.6999,12.57,25.30,2142
1,1.58, ,115.9,231.5,8.1059,27.09, ,0.069942,0.6999,12.54,25.26,2143
1,1.60, ,115.4,230.6,8.1061,27.09, ,0.069954,0.6999,12.53,25.30,2139
1,1.62, ,116.2,232.2,8.1062,27.09, ,0.069957,0.6999,12.55,25.23,2142
1,1.63, ,115.9,231.5,8.1060,27.09, ,0.069948,0.6999,12.55,25.26,2146
1,1.65, ,116.0,231.7,8.1059,27.09, ,0.069938,0.6999,12.53,25.25,2144
1,1.67, ,115.8,231.3,8.1059,27.09, ,0.069939,0.6999,12.56,25.27,2140
1,1.68, ,115.9,231.5,8.1060,27.09, ,0.069946,0.6999,12.55,25.26,2139
1,1.70, ,116.4,232.6,8.1061,27.09, ,0.069953,0.6999,12.56,25.21,2141
1,1.72, ,115.3,230.4,8.1061,27.09, ,0.069955,0.6999,12.55,25.31,2140
1,1.73, ,116.2,232.2,8.1065,27.09, ,0.069979,0.6999,12.55,25.23,2142
1,1.75, ,115.5,230.8,8.1068,27.09, ,0.069994,0.6999,12.57,25.29,2142
1,1.77, ,115.9,231.5,8.1067,27.09, ,0.069990,0.6998,12.56,25.26,2139
1,1.78, ,115.2,230.1,8.1065,27.09, ,0.069978,0.6998,12.54,25.32,2141
