DeviceId:CISME0006669c1a4f
Filename:/msc/Data/d3b2correc_Oct18_1056.csv
pH Slope(m): 0.05897
pH Eo (b): -0.40960
cal. Buffer pH: 8.04100
cal. Buffer temp. 24.03778
Salinity: 35
O2 0 Phase: 60.42000
O2 0 Temp: 25.00000
O2 100 Phase: 27.28000
O2 100 Temp: 23.97000
O2 LED Current: 150.00000
O2 Pressure Cal: 976.00000
Total number of steps: 1
Step Number: 1
Time Threshold: 180
O2 Threshold:   0
pH Threshold: 0.000
Flow Rate: 5348.000000
Light Level: 0.000000
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.03, ,115.5,230.5,8.1063,27.14, ,0.069989,0.6989,12.53,25.29,2153
1,0.05, ,115.6,230.7,8.1075,27.14, ,0.070058,0.6989,12.50,25.28,2153
1,0.07, ,116.3,232.1,8.1076,27.14, ,0.070066,0.6989,12.50,25.22,2152
1,0.08, ,116.6,232.8,8.1082,27.14, ,0.070100,0.6989,12.51,25.19,2151
1,0.10, ,115.7,230.9,8.1070,27.14, ,0.070029,0.6989,12.53,25.27,2154
1,0.12, ,115.9,231.4,8.1073,27.14, ,0.070044,0.6989,12.52,25.25,2153
1,0.13, ,115.3,230.3,8.1075,27.14, ,0.070060,0.6989,12.51,25.30,2155
1,0.15, ,114.8,229.1,8.1072,27.14, ,0.070042,0.6989,12.52,25.35,2154
1,0.17, ,115.3,230.3,8.1073,27.14, ,0.070046,0.6989,12.52,25.30,2153
1,0.18, ,115.6,230.7,8.1078,27.14, ,0.070079,0.6989,12.49,25.28,2153
1,0.20, ,115.8,231.2,8.1076,27.14, ,0.070066,0.6989,12.49,25.26,2154
1,0.22, ,116.5,232.5,8.1072,27.14, ,0.070044,0.6988,12.51,25.20,2153
1,0.23, ,116.4,232.3,8.1071,27.14, ,0.070035,0.6988,12.51,25.21,2150
1,0.25, ,115.6,230.7,8.1074,27.14, ,0.070053,0.6988,12.52,25.28,2152
1,0.27, ,116.0,231.6,8.1069,27.14, ,0.070027,0.6988,12.53,25.24,2154
1,0.28, ,115.4,230.5,8.1067,27.14, ,0.070011,0.6988,12.50,25.29,2152
1,0.30, ,115.8,231.2,8.1066,27.14, ,0.070004,0.6988,12.51,25.26,2152
1,0.32, ,115.4,230.5,8.1067,27.14, ,0.070012,0.6988,12.51,25.29,2154
1,0.33, ,115.6,230.7,8.1063,27.14, ,0.069987,0.6988,12.50,25.28,2153
1,0.35, ,115.7,230.9,8.1064,27.14, ,0.069997,0.6988,12.50,25.27,2154
1,0.37, ,115.8,231.1,8.1064,27.14, ,0.069993,0.6988,12.51,25.26,2153
1,0.38, ,116.4,232.3,8.1064,27.14, ,0.069993,0.6988,12.52,25.21,2153
1,0.40, ,116.2,232.1,8.1063,27.14, ,0.069988,0.6988,12.51,25.22,2153
1,0.42, ,115.3,230.2,8.1061,27.14, ,0.069980,0.6988,12.52,25.30,2152
1,0.43, ,115.6,230.7,8.1065,27.14, ,0.070004,0.6988,12.49,25.28,2152
1,0.45, ,115.2,230.0,8.1064,27.14, ,0.069997,0.6988,12.51,25.31,2149
1,0.47, ,116.4,232.3,8.1066,27.14, ,0.070005,0.6988,12.51,25.21,2151
