DeviceId:CISME0006669c1e8a
Filename:/msc/Data/d3c1r21143_Oct18_1142.csv
pH Slope(m): 0.05897
pH Eo (b): -0.39247
cal. Buffer pH: 8.04100
cal. Buffer temp. 24.06105
Salinity: 35
O2 0 Phase: 60.42000
O2 0 Temp: 25.00000
O2 100 Phase: 27.38000
O2 100 Temp: 23.99000
O2 LED Current: 150.00000
O2 Pressure Cal: 976.00000
Total number of steps: 1
Step Number: 1
Time Threshold: 1800
O2 Threshold:   0
pH Threshold: 0.000
Flow Rate: 6262.000000
Light Level: 0.000000
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.03, ,107.8,214.6,8.0600,27.31, ,0.084470,0.6966,12.41,26.06,38592
1,0.05, ,107.8,214.6,8.0580,27.31, ,0.084350,0.6966,12.44,26.06,38601
1,0.07, ,107.7,214.4,8.0563,27.31, ,0.084245,0.6966,12.42,26.07,38605
1,0.08, ,107.7,214.4,8.0554,27.31, ,0.084192,0.6966,12.43,26.07,38614
1,0.10, ,107.7,214.4,8.0558,27.31, ,0.084215,0.6966,12.45,26.07,38616
1,0.12, ,107.8,214.6,8.0556,27.31, ,0.084206,0.6966,12.43,26.06,38627
1,0.13, ,107.6,214.2,8.0547,27.31, ,0.084150,0.6966,12.42,26.08,38631
1,0.15, ,107.6,214.2,8.0554,27.31, ,0.084195,0.6966,12.45,26.08,38637
1,0.17, ,107.6,214.2,8.0550,27.31, ,0.084172,0.6966,12.42,26.08,38645
1,0.18, ,107.6,214.2,8.0549,27.31, ,0.084167,0.6966,12.45,26.08,38647
1,0.20, ,107.4,213.8,8.0549,27.31, ,0.084162,0.6965,12.42,26.10,38653
1,0.22, ,107.5,214.0,8.0547,27.31, ,0.084155,0.6965,12.41,26.09,38658
1,0.23, ,107.5,214.0,8.0537,27.31, ,0.084095,0.6965,12.41,26.09,38664
1,0.25, ,107.4,213.8,8.0533,27.31, ,0.084067,0.6965,12.43,26.10,38669
1,0.27, ,107.4,213.8,8.0533,27.31, ,0.084072,0.6965,12.41,26.10,38674
1,0.28, ,107.4,213.8,8.0532,27.32, ,0.084064,0.6965,12.42,26.10,38679
1,0.30, ,107.4,213.7,8.0531,27.32, ,0.084059,0.6965,12.43,26.10,38681
1,0.32, ,107.4,213.8,8.0529,27.32, ,0.084043,0.6965,12.40,26.10,38686
1,0.33, ,107.2,213.3,8.0528,27.32, ,0.084042,0.6965,12.41,26.12,38690
1,0.35, ,107.4,213.7,8.0526,27.32, ,0.084029,0.6965,12.41,26.10,38696
1,0.37, ,107.4,213.7,8.0527,27.32, ,0.084037,0.6965,12.43,26.10,38700
1,0.38, ,107.2,213.3,8.0519,27.32, ,0.083987,0.6965,12.41,26.12,38702
1,0.40, ,107.1,213.1,8.0516,27.32, ,0.083972,0.6965,12.43,26.13,38708
1,0.42, ,107.3,213.5,8.0506,27.32, ,0.083912,0.6965,12.43,26.11,38711
1,0.43, ,107.2,213.3,8.0511,27.32, ,0.083939,0.6965,12.41,26.12,38714
1,0.45, ,107.2,213.3,8.0510,27.32, ,0.083937,0.6964,12.41,26.12,38719
1,0.47, ,107.2,213.3,8.0511,27.32, ,0.083937,0.6964,12.42,26.12,38721
1,0.48, ,107.2,213.3,8.0510,27.32, ,0.083933,0.6964,12.41,26.12,38725
1,0.50, ,107.2,213.3,8.0513,27.32, ,0.083952,0.6964,12.41,26.12,38731
1,0.52, ,107.1,213.1,8.0512,27.32, ,0.083949,0.6964,12.43,26.13,38734
1,0.53, ,107.1,213.1,8.0507,27.32, ,0.083915,0.6964,12.45,26.13,38734
1,0.55, ,107.1,213.1,8.0504,27.32, ,0.083898,0.6964,12.43,26.13,38739
1,0.57, ,107.0,212.9,8.0505,27.32, ,0.083908,0.6964,12.42,26.14,38746
1,0.58, ,107.1,213.1,8.0504,27.32, ,0.083902,0.6964,12.45,26.13,38753
1,0.60, ,107.1,213.1,8.0497,27.32, ,0.083858,0.6964,12.41,26.13,38754
1,0.62, ,107.1,213.1,8.0507,27.32, ,0.083918,0.6964,12.42,26.13,38757
1,0.63, ,107.0,212.9,8.0493,27.32, ,0.083837,0.6964,12.40,26.14,38760
1,0.65, ,107.0,212.9,8.0484,27.32, ,0.083778,0.6964,12.44,26.14,38766
1,0.67, ,106.8,212.7,8.0485,27.32, ,0.083786,0.6964,12.42,26.15,38772
1,0.68, ,107.0,212.9,8.0488,27.32, ,0.083807,0.6963,12.40,26.14,38772
1,0.70, ,106.8,212.7,8.0494,27.32, ,0.083842,0.6963,12.43,26.15,38774
1,0.72, ,106.9,212.9,8.0489,27.32, ,0.083810,0.6963,12.41,26.14,38779
1,0.73, ,106.7,212.5,8.0488,27.32, ,0.083807,0.6963,12.42,26.16,38785
1,0.75, ,106.7,212.5,8.0486,27.32, ,0.083796,0.6963,12.42,26.16,38788
1,0.77, ,106.8,212.7,8.0497,27.32, ,0.083858,0.6963,12.44,26.15,38791
1,0.78, ,106.7,212.4,8.0488,27.33, ,0.083803,0.6963,12.42,26.16,38796
1,0.80, ,106.7,212.4,8.0485,27.33, ,0.083786,0.6963,12.42,26.16,38801
1,0.82, ,106.6,212.2,8.0489,27.33, ,0.083813,0.6963,12.43,26.17,38800
1,0.83, ,106.7,212.4,8.0485,27.33, ,0.083791,0.6963,12.44,26.16,38807
1,0.85, ,106.6,212.2,8.0479,27.33, ,0.083753,0.6963,12.41,26.17,38814
1,0.87, ,106.7,212.4,8.0472,27.33, ,0.083711,0.6963,12.44,26.16,38816
1,0.88, ,106.7,212.4,8.0468,27.33, ,0.083690,0.6962,12.42,26.16,38818
1,0.90, ,106.6,212.2,8.0463,27.33, ,0.083657,0.6962,12.42,26.17,38822
1,0.92, ,106.5,212.0,8.0464,27.33, ,0.083666,0.6962,12.43,26.18,38829
1,0.93, ,106.5,212.0,8.0465,27.33, ,0.083672,0.6962,12.44,26.18,38829
1,0.95, ,106.5,212.0,8.0456,27.33, ,0.083619,0.6962,12.41,26.18,38836
1,0.97, ,106.4,211.8,8.0465,27.33, ,0.083670,0.6962,12.39,26.19,38839
1,0.98, ,106.5,212.0,8.0461,27.33, ,0.083650,0.6962,12.41,26.18,38843
