DeviceId:CISME0006669c1a4f
Filename:/msc/Data/d3c5lr6134_Oct18_1334.csv
pH Slope(m): 0.05897
pH Eo (b): -0.40960
cal. Buffer pH: 8.04100
cal. Buffer temp. 24.03778
Salinity: 35
O2 0 Phase: 60.42000
O2 0 Temp: 25.00000
O2 100 Phase: 27.28000
O2 100 Temp: 23.97000
O2 LED Current: 150.00000
O2 Pressure Cal: 976.00000
Total number of steps: 1
Step Number: 1
Time Threshold: 1800
O2 Threshold:   0
pH Threshold: 0.000
Flow Rate: 5000.000000
Light Level: 0.000000
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.05, ,113.0,222.3,8.1428,28.04, ,0.072628,0.6794,12.08,25.37,2217
1,0.05, ,110.8,218.0,8.1475,28.04, ,0.072910,0.6794,12.07,25.57,2242
1,0.07, ,110.0,216.5,8.1516,28.04, ,0.073155,0.6794,12.08,25.64,2244
1,0.08, ,110.6,217.5,8.1547,28.04, ,0.073342,0.6794,12.09,25.59,2232
1,0.10, ,112.4,221.2,8.1567,28.04, ,0.073457,0.6794,12.08,25.42,2220
1,0.12, ,113.9,224.1,8.1578,28.04, ,0.073523,0.6794,12.10,25.29,2202
1,0.13, ,115.7,227.6,8.1584,28.04, ,0.073560,0.6794,12.08,25.13,2190
1,0.15, ,117.0,230.1,8.1591,28.04, ,0.073601,0.6794,12.08,25.02,2179
1,0.17, ,118.1,232.4,8.1600,28.04, ,0.073655,0.6794,12.07,24.92,2167
1,0.18, ,118.6,233.4,8.1603,28.04, ,0.073676,0.6794,12.07,24.88,2157
1,0.20, ,119.6,235.3,8.1603,28.04, ,0.073674,0.6794,12.06,24.80,2152
1,0.22, ,119.6,235.3,8.1608,28.04, ,0.073703,0.6794,12.08,24.80,2142
1,0.23, ,120.5,237.1,8.1609,28.04, ,0.073713,0.6794,12.09,24.72,2137
1,0.25, ,121.4,238.8,8.1608,28.04, ,0.073707,0.6794,12.07,24.65,2135
1,0.27, ,120.4,236.9,8.1610,28.04, ,0.073716,0.6794,12.07,24.73,2135
1,0.28, ,121.3,238.6,8.1609,28.04, ,0.073709,0.6794,12.08,24.66,2133
1,0.30, ,122.2,240.5,8.1610,28.04, ,0.073717,0.6794,12.09,24.58,2130
1,0.32, ,121.1,238.3,8.1609,28.04, ,0.073711,0.6794,12.09,24.67,2130
1,0.33, ,122.5,241.0,8.1611,28.04, ,0.073721,0.6794,12.09,24.56,2129
1,0.35, ,121.8,239.5,8.1610,28.04, ,0.073716,0.6794,12.06,24.62,2128
1,0.37, ,122.0,240.0,8.1612,28.04, ,0.073730,0.6794,12.07,24.60,2125
1,0.38, ,122.1,240.3,8.1611,28.04, ,0.073722,0.6794,12.07,24.59,2127
1,0.40, ,122.0,240.0,8.1614,28.04, ,0.073742,0.6794,12.08,24.60,2127
1,0.42, ,122.7,241.5,8.1611,28.04, ,0.073725,0.6794,12.09,24.54,2126
1,0.43, ,122.9,241.7,8.1612,28.04, ,0.073731,0.6794,12.06,24.53,2121
1,0.45, ,121.6,239.3,8.1606,28.04, ,0.073695,0.6794,12.06,24.63,2124
1,0.47, ,122.6,241.2,8.1611,28.04, ,0.073722,0.6794,12.07,24.55,2125
1,0.48, ,122.4,240.7,8.1612,28.04, ,0.073727,0.6794,12.08,24.57,2122
1,0.50, ,122.6,241.2,8.1612,28.04, ,0.073727,0.6794,12.06,24.55,2125
1,0.52, ,121.9,239.8,8.1611,28.04, ,0.073724,0.6794,12.06,24.61,2121
1,0.53, ,123.0,242.0,8.1610,28.04, ,0.073715,0.6794,12.08,24.52,2124
1,0.55, ,121.9,239.8,8.1607,28.04, ,0.073701,0.6794,12.08,24.61,2124
1,0.57, ,121.6,239.3,8.1607,28.04, ,0.073698,0.6794,12.08,24.63,2123
1,0.58, ,122.4,240.7,8.1606,28.04, ,0.073692,0.6794,12.07,24.57,2123
1,0.60, ,122.2,240.5,8.1606,28.04, ,0.073692,0.6794,12.08,24.58,2122
1,0.62, ,122.0,240.0,8.1607,28.04, ,0.073695,0.6794,12.07,24.60,2124
1,0.63, ,122.6,241.2,8.1607,28.04, ,0.073701,0.6794,12.09,24.55,2121
1,0.65, ,123.5,242.9,8.1604,28.04, ,0.073681,0.6794,12.08,24.48,2124
1,0.67, ,122.4,240.7,8.1605,28.04, ,0.073689,0.6794,12.08,24.57,2122
1,0.68, ,122.5,241.0,8.1611,28.04, ,0.073720,0.6794,12.07,24.56,2123
1,0.70, ,122.0,240.0,8.1609,28.04, ,0.073710,0.6794,12.08,24.60,2120
1,0.72, ,122.2,240.5,8.1605,28.04, ,0.073686,0.6794,12.07,24.58,2120
User Ended Experiment
