DeviceId:CISME0006669c1e8a
Filename:/msc/Data/d3c5lr6215_Oct18_1415.csv
pH Slope(m): 0.05897
pH Eo (b): -0.39247
cal. Buffer pH: 8.04100
cal. Buffer temp. 24.06105
Salinity: 35
O2 0 Phase: 60.42000
O2 0 Temp: 25.00000
O2 100 Phase: 27.38000
O2 100 Temp: 23.99000
O2 LED Current: 150.00000
O2 Pressure Cal: 976.00000
Total number of steps: 1
Step Number: 1
Time Threshold: 1800
O2 Threshold:   0
pH Threshold: 0.000
Flow Rate: 5000.000000
Light Level: 0.000000
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.03, ,114.8,225.2,8.0832,28.24, ,0.086316,0.6766,12.00,25.27,36336
1,0.03, ,114.7,225.0,8.0829,28.24, ,0.086301,0.6766,12.01,25.28,36344
1,0.05, ,114.8,225.2,8.0827,28.24, ,0.086288,0.6766,12.01,25.27,36340
1,0.07, ,114.6,224.8,8.0823,28.24, ,0.086260,0.6766,12.01,25.29,36361
1,0.08, ,114.6,224.8,8.0826,28.24, ,0.086278,0.6766,12.01,25.29,36362
1,0.10, ,114.6,224.8,8.0818,28.24, ,0.086233,0.6766,12.01,25.29,36372
1,0.12, ,114.5,224.6,8.0824,28.24, ,0.086267,0.6766,12.00,25.30,36372
1,0.13, ,114.6,224.8,8.0822,28.24, ,0.086260,0.6766,12.01,25.29,36382
1,0.15, ,114.6,224.8,8.0816,28.24, ,0.086221,0.6766,12.00,25.29,36400
1,0.17, ,114.4,224.4,8.0823,28.24, ,0.086262,0.6766,12.02,25.31,36394
1,0.18, ,114.3,224.1,8.0822,28.24, ,0.086254,0.6766,12.01,25.32,36414
1,0.20, ,114.4,224.3,8.0812,28.24, ,0.086199,0.6766,12.00,25.31,36396
1,0.22, ,114.3,224.1,8.0817,28.24, ,0.086226,0.6766,12.01,25.32,36404
1,0.23, ,114.4,224.3,8.0819,28.24, ,0.086242,0.6766,12.02,25.31,36418
1,0.25, ,114.2,223.9,8.0806,28.24, ,0.086163,0.6766,12.02,25.33,36444
1,0.27, ,114.3,224.1,8.0801,28.24, ,0.086131,0.6766,12.01,25.32,36444
1,0.28, ,114.2,223.9,8.0813,28.24, ,0.086205,0.6766,12.01,25.33,36453
1,0.30, ,114.1,223.7,8.0800,28.24, ,0.086124,0.6766,12.00,25.34,36455
1,0.32, ,114.2,223.9,8.0804,28.24, ,0.086149,0.6766,12.01,25.33,36456
1,0.33, ,114.1,223.7,8.0801,28.24, ,0.086134,0.6766,12.01,25.34,36459
1,0.35, ,113.9,223.5,8.0795,28.24, ,0.086099,0.6766,12.00,25.35,36477
1,0.37, ,113.9,223.5,8.0797,28.24, ,0.086111,0.6766,12.00,25.35,36479
1,0.38, ,113.9,223.5,8.0796,28.24, ,0.086101,0.6766,12.01,25.35,36489
1,0.40, ,113.8,223.2,8.0795,28.24, ,0.086096,0.6766,12.01,25.36,36492
1,0.42, ,113.9,223.5,8.0799,28.24, ,0.086122,0.6766,12.01,25.35,36485
1,0.43, ,113.7,223.0,8.0795,28.24, ,0.086097,0.6766,12.01,25.37,36523
1,0.45, ,113.7,223.0,8.0802,28.24, ,0.086136,0.6766,12.00,25.37,36514
1,0.47, ,113.7,223.0,8.0788,28.24, ,0.086055,0.6766,12.02,25.37,36527
1,0.48, ,113.7,223.0,8.0782,28.24, ,0.086017,0.6766,12.00,25.37,36526
1,0.50, ,113.6,222.8,8.0790,28.24, ,0.086066,0.6766,12.00,25.38,36516
1,0.52, ,113.6,222.8,8.0797,28.24, ,0.086111,0.6766,12.01,25.38,36549
1,0.53, ,113.5,222.6,8.0790,28.24, ,0.086068,0.6766,12.01,25.39,36539
1,0.55, ,113.7,223.0,8.0779,28.24, ,0.086003,0.6765,12.00,25.37,36571
1,0.57, ,113.6,222.8,8.0781,28.24, ,0.086012,0.6765,12.01,25.38,36571
1,0.58, ,113.4,222.3,8.0786,28.24, ,0.086045,0.6765,12.01,25.40,36572
1,0.60, ,113.4,222.3,8.0778,28.24, ,0.085993,0.6765,12.01,25.40,36567
1,0.62, ,113.4,222.4,8.0783,28.24, ,0.086023,0.6766,12.01,25.40,36591
