DeviceId:CISME0006669c1a4f
Filename:/msc/Data/d3c6dr7138_Oct18_1339.csv
pH Slope(m): 0.05897
pH Eo (b): -0.40960
cal. Buffer pH: 8.04100
cal. Buffer temp. 24.03778
Salinity: 35
O2 0 Phase: 60.42000
O2 0 Temp: 25.00000
O2 100 Phase: 27.28000
O2 100 Temp: 23.97000
O2 LED Current: 150.00000
O2 Pressure Cal: 976.00000
Total number of steps: 1
Step Number: 1
Time Threshold: 1800
O2 Threshold:   0
pH Threshold: 0.000
Flow Rate: 5000.000000
Light Level: 0.000000
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.03, ,120.4,236.8,8.1481,28.06, ,0.072950,0.6791,12.05,24.73,2144
1,0.05, ,120.3,236.6,8.1491,28.06, ,0.073010,0.6791,12.07,24.74,2143
1,0.07, ,120.1,236.3,8.1488,28.06, ,0.072996,0.6791,12.06,24.75,2148
1,0.08, ,120.5,237.0,8.1490,28.06, ,0.073008,0.6790,12.06,24.72,2151
1,0.10, ,120.5,237.0,8.1490,28.06, ,0.073007,0.6790,12.06,24.72,2145
1,0.12, ,120.1,236.3,8.1488,28.06, ,0.072994,0.6790,12.07,24.75,2149
1,0.13, ,119.7,235.4,8.1490,28.06, ,0.073005,0.6790,12.07,24.79,2151
1,0.15, ,119.8,235.6,8.1489,28.06, ,0.073002,0.6790,12.07,24.78,2151
1,0.17, ,120.0,236.1,8.1487,28.06, ,0.072990,0.6790,12.05,24.76,2150
1,0.18, ,120.1,236.3,8.1488,28.06, ,0.072996,0.6790,12.06,24.75,2152
1,0.20, ,119.4,234.9,8.1488,28.06, ,0.072996,0.6790,12.08,24.81,2154
1,0.22, ,119.7,235.4,8.1487,28.06, ,0.072991,0.6790,12.06,24.79,2151
1,0.23, ,119.9,235.8,8.1486,28.06, ,0.072984,0.6790,12.05,24.77,2153
1,0.25, ,119.8,235.6,8.1485,28.06, ,0.072979,0.6790,12.08,24.78,2150
1,0.27, ,119.8,235.6,8.1482,28.06, ,0.072960,0.6790,12.07,24.78,2153
1,0.28, ,119.2,234.4,8.1484,28.06, ,0.072975,0.6790,12.05,24.83,2154
1,0.30, ,119.8,235.6,8.1482,28.06, ,0.072957,0.6790,12.06,24.78,2155
1,0.32, ,119.7,235.4,8.1485,28.06, ,0.072976,0.6790,12.08,24.79,2155
1,0.33, ,119.7,235.4,8.1485,28.06, ,0.072977,0.6790,12.06,24.79,2156
1,0.35, ,119.3,234.6,8.1484,28.06, ,0.072974,0.6790,12.07,24.82,2154
1,0.37, ,118.9,233.9,8.1486,28.06, ,0.072985,0.6790,12.05,24.85,2152
1,0.38, ,119.3,234.6,8.1484,28.06, ,0.072975,0.6790,12.07,24.82,2157
1,0.40, ,119.7,235.3,8.1487,28.06, ,0.072991,0.6790,12.05,24.79,2157
1,0.42, ,119.1,234.2,8.1487,28.06, ,0.072989,0.6790,12.07,24.84,2158
1,0.43, ,119.5,235.1,8.1489,28.06, ,0.073000,0.6790,12.07,24.80,2159
1,0.45, ,118.5,233.0,8.1489,28.06, ,0.073002,0.6790,12.07,24.89,2159
1,0.47, ,119.4,234.9,8.1489,28.06, ,0.073000,0.6790,12.05,24.81,2160
1,0.48, ,118.2,232.5,8.1488,28.06, ,0.072999,0.6790,12.06,24.91,2158
1,0.50, ,118.6,233.2,8.1485,28.06, ,0.072977,0.6789,12.05,24.88,2159
1,0.52, ,118.6,233.2,8.1487,28.06, ,0.072990,0.6789,12.05,24.88,2164
1,0.53, ,118.2,232.5,8.1485,28.06, ,0.072977,0.6789,12.05,24.91,2160
