DeviceId:CISME0006669c1e8a
Filename:/msc/Data/d4b1cis1r1_Oct19_1112.csv
pH Slope(m): 0.05897
pH Eo (b): -0.39247
cal. Buffer pH: 8.04100
cal. Buffer temp. 24.06105
Salinity: 35
O2 0 Phase: 60.42000
O2 0 Temp: 25.00000
O2 100 Phase: 27.38000
O2 100 Temp: 23.99000
O2 LED Current: 150.00000
O2 Pressure Cal: 976.00000
Total number of steps: 1
Step Number: 1
Time Threshold: 180
O2 Threshold:   0
pH Threshold: 0.000
Flow Rate: 5000.000000
Light Level: 0.000000
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.03, ,109.7,218.2,8.0856,27.34, ,0.086006,0.6961,12.54,25.88,39192
1,0.05, ,109.8,218.4,8.0845,27.34, ,0.085939,0.6961,12.55,25.87,39191
1,0.07, ,109.7,218.2,8.0857,27.34, ,0.086010,0.6961,12.55,25.88,39199
1,0.08, ,109.8,218.4,8.0861,27.34, ,0.086035,0.6961,12.55,25.87,39192
1,0.10, ,109.8,218.4,8.0857,27.34, ,0.086013,0.6961,12.55,25.87,39189
1,0.12, ,109.5,217.8,8.0858,27.34, ,0.086017,0.6961,12.56,25.90,39196
1,0.13, ,109.7,218.2,8.0858,27.34, ,0.086018,0.6961,12.56,25.88,39193
1,0.15, ,109.8,218.4,8.0855,27.34, ,0.085998,0.6961,12.55,25.87,39206
1,0.17, ,109.7,218.2,8.0857,27.33, ,0.086011,0.6961,12.56,25.88,39197
1,0.18, ,109.6,218.0,8.0852,27.33, ,0.085983,0.6961,12.55,25.89,39188
1,0.20, ,109.7,218.2,8.0856,27.33, ,0.086003,0.6961,12.55,25.88,39201
1,0.22, ,109.7,218.2,8.0855,27.33, ,0.086002,0.6961,12.54,25.88,39202
1,0.23, ,109.8,218.4,8.0859,27.33, ,0.086021,0.6961,12.54,25.87,39194
1,0.25, ,109.7,218.2,8.0857,27.33, ,0.086013,0.6961,12.55,25.88,39196
1,0.27, ,109.7,218.2,8.0848,27.33, ,0.085956,0.6961,12.56,25.88,39201
1,0.28, ,109.5,217.8,8.0865,27.33, ,0.086059,0.6961,12.56,25.90,39194
1,0.30, ,109.9,218.7,8.0854,27.33, ,0.085993,0.6961,12.55,25.86,39193
1,0.32, ,109.7,218.2,8.0859,27.33, ,0.086020,0.6961,12.55,25.88,39191
1,0.33, ,109.8,218.5,8.0855,27.33, ,0.086001,0.6961,12.56,25.87,39197
1,0.35, ,109.7,218.2,8.0865,27.33, ,0.086057,0.6961,12.55,25.88,39202
1,0.37, ,109.7,218.2,8.0857,27.33, ,0.086012,0.6961,12.56,25.88,39195
1,0.38, ,109.6,218.0,8.0865,27.33, ,0.086058,0.6961,12.56,25.89,39197
1,0.40, ,109.6,218.0,8.0867,27.33, ,0.086071,0.6961,12.55,25.89,39194
1,0.42, ,109.6,218.0,8.0860,27.33, ,0.086029,0.6961,12.57,25.89,39198
1,0.43, ,109.7,218.3,8.0869,27.33, ,0.086082,0.6961,12.56,25.88,39189
1,0.45, ,109.7,218.2,8.0854,27.33, ,0.085993,0.6961,12.56,25.88,39195
1,0.47, ,109.7,218.2,8.0867,27.33, ,0.086071,0.6961,12.56,25.88,39201
