DeviceId:CISME0006669c1a4f
Filename:/msc/Data/d4b1cis2r2_Oct19_1116.csv
pH Slope(m): 0.05897
pH Eo (b): -0.40960
cal. Buffer pH: 8.04100
cal. Buffer temp. 24.03778
Salinity: 35
O2 0 Phase: 60.42000
O2 0 Temp: 25.00000
O2 100 Phase: 27.28000
O2 100 Temp: 23.97000
O2 LED Current: 150.00000
O2 Pressure Cal: 976.00000
Total number of steps: 1
Step Number: 1
Time Threshold: 180
O2 Threshold:   0
pH Threshold: 0.000
Flow Rate: 5000.000000
Light Level: 0.000000
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.03, ,118.5,236.1,8.1307,27.26, ,0.071500,0.6963,12.50,25.01,2105
1,0.05, ,117.4,234.0,8.1324,27.26, ,0.071605,0.6963,12.52,25.10,2107
1,0.07, ,118.4,235.9,8.1337,27.26, ,0.071682,0.6963,12.52,25.02,2103
1,0.08, ,116.0,231.2,8.1342,27.26, ,0.071713,0.6963,12.50,25.22,2100
1,0.10, ,118.6,236.3,8.1321,27.26, ,0.071586,0.6963,12.49,25.00,2108
1,0.12, ,117.9,234.9,8.1343,27.26, ,0.071714,0.6963,12.49,25.06,2104
1,0.13, ,118.3,235.6,8.1321,27.26, ,0.071587,0.6963,12.48,25.03,2102
1,0.15, ,117.9,234.9,8.1325,27.26, ,0.071611,0.6963,12.50,25.06,2108
1,0.17, ,118.8,236.8,8.1336,27.26, ,0.071675,0.6963,12.50,24.98,2104
1,0.18, ,118.0,235.2,8.1346,27.26, ,0.071733,0.6963,12.52,25.05,2104
1,0.20, ,116.5,232.1,8.1328,27.26, ,0.071629,0.6963,12.50,25.18,2109
1,0.22, ,117.9,234.9,8.1330,27.26, ,0.071639,0.6963,12.50,25.06,2105
1,0.23, ,118.3,235.6,8.1344,27.26, ,0.071723,0.6963,12.51,25.03,2107
1,0.25, ,118.3,235.6,8.1322,27.26, ,0.071593,0.6963,12.50,25.03,2108
1,0.27, ,118.3,235.6,8.1331,27.26, ,0.071644,0.6963,12.50,25.03,2105
1,0.28, ,117.0,233.1,8.1335,27.26, ,0.071667,0.6963,12.50,25.14,2102
1,0.30, ,118.5,236.1,8.1326,27.26, ,0.071616,0.6963,12.50,25.01,2108
1,0.32, ,117.7,234.5,8.1335,27.26, ,0.071669,0.6963,12.51,25.08,2103
1,0.33, ,117.4,234.0,8.1333,27.26, ,0.071659,0.6963,12.48,25.10,2107
1,0.35, ,118.1,235.4,8.1333,27.26, ,0.071658,0.6963,12.50,25.04,2106
1,0.37, ,118.1,235.4,8.1326,27.26, ,0.071617,0.6963,12.50,25.04,2104
1,0.38, ,118.3,235.6,8.1333,27.26, ,0.071659,0.6963,12.49,25.03,2104
1,0.40, ,118.5,236.1,8.1332,27.26, ,0.071650,0.6963,12.49,25.01,2107
1,0.42, ,117.7,234.5,8.1333,27.26, ,0.071660,0.6963,12.50,25.08,2106
1,0.43, ,117.7,234.5,8.1344,27.26, ,0.071722,0.6963,12.49,25.08,2106
1,0.45, ,118.4,235.9,8.1339,27.26, ,0.071692,0.6963,12.51,25.02,2109
1,0.47, ,117.2,233.5,8.1331,27.26, ,0.071648,0.6963,12.49,25.12,2107
1,0.48, ,118.4,235.9,8.1336,27.26, ,0.071677,0.6963,12.51,25.02,2107
1,0.50, ,119.3,237.7,8.1337,27.26, ,0.071684,0.6963,12.50,24.94,2108
1,0.52, ,118.7,236.6,8.1341,27.26, ,0.071707,0.6963,12.50,24.99,2106
1,0.53, ,118.8,236.8,8.1334,27.26, ,0.071663,0.6963,12.48,24.98,2111
1,0.55, ,118.0,235.2,8.1330,27.26, ,0.071639,0.6963,12.49,25.05,2107
1,0.57, ,118.5,236.1,8.1330,27.26, ,0.071641,0.6963,12.50,25.01,2106
1,0.58, ,118.5,236.1,8.1333,27.26, ,0.071656,0.6963,12.49,25.01,2106
1,0.60, ,118.0,235.2,8.1336,27.26, ,0.071674,0.6963,12.48,25.05,2107
1,0.62, ,117.6,234.2,8.1332,27.26, ,0.071649,0.6963,12.49,25.09,2108
1,0.63, ,117.4,234.0,8.1333,27.26, ,0.071657,0.6963,12.50,25.10,2102
1,0.65, ,118.3,235.6,8.1337,27.26, ,0.071683,0.6963,12.49,25.03,2095
1,0.67, ,118.0,235.2,8.1333,27.26, ,0.071659,0.6963,12.49,25.05,2103
1,0.68, ,118.0,235.2,8.1337,27.26, ,0.071680,0.6963,12.49,25.05,2106
1,0.70, ,118.7,236.6,8.1353,27.26, ,0.071774,0.6963,12.48,24.99,2108
1,0.72, ,118.0,235.2,8.1339,27.26, ,0.071695,0.6963,12.49,25.05,2097
1,0.73, ,118.1,235.4,8.1339,27.26, ,0.071692,0.6963,12.50,25.04,2103
1,0.75, ,118.8,236.8,8.1343,27.26, ,0.071715,0.6963,12.48,24.98,2104
1,0.77, ,116.9,232.8,8.1335,27.26, ,0.071671,0.6963,12.48,25.15,2098
1,0.78, ,117.8,234.7,8.1334,27.26, ,0.071662,0.6963,12.49,25.07,2100
1,0.80, ,118.3,235.6,8.1331,27.26, ,0.071646,0.6963,12.49,25.03,2101
1,0.82, ,117.9,234.9,8.1337,27.26, ,0.071683,0.6963,12.50,25.06,2104
1,0.83, ,117.9,234.9,8.1344,27.26, ,0.071724,0.6963,12.49,25.06,2103
1,0.85, ,117.6,234.2,8.1336,27.26, ,0.071675,0.6963,12.49,25.09,2100
1,0.87, ,117.4,234.0,8.1338,27.26, ,0.071689,0.6963,12.49,25.10,2104
1,0.88, ,117.8,234.7,8.1337,27.26, ,0.071678,0.6963,12.50,25.07,2105
1,0.90, ,117.7,234.5,8.1341,27.26, ,0.071704,0.6963,12.49,25.08,2100
1,0.92, ,118.3,235.6,8.1342,27.26, ,0.071711,0.6963,12.48,25.03,2100
1,0.93, ,118.5,236.1,8.1346,27.26, ,0.071736,0.6963,12.50,25.01,2104
1,0.95, ,118.1,235.4,8.1343,27.26, ,0.071714,0.6963,12.50,25.04,2108
1,0.97, ,117.2,233.5,8.1333,27.26, ,0.071657,0.6963,12.49,25.12,2107
1,0.98, ,117.7,234.5,8.1327,27.26, ,0.071622,0.6963,12.49,25.08,2105
1,1.00, ,118.7,236.6,8.1319,27.26, ,0.071572,0.6963,12.49,24.99,2104
1,1.02, ,117.0,233.1,8.1323,27.26, ,0.071595,0.6963,12.50,25.14,2107
1,1.03, ,118.6,236.3,8.1328,27.26, ,0.071625,0.6963,12.51,25.00,2105
1,1.05, ,118.7,236.6,8.1323,27.26, ,0.071597,0.6963,12.50,24.99,2100
1,1.07, ,118.5,236.1,8.1333,27.26, ,0.071654,0.6963,12.50,25.01,2108
1,1.07, ,119.0,237.0,8.1330,27.26, ,0.071637,0.6963,12.50,24.97,2102
1,1.08, ,118.3,235.6,8.1321,27.26, ,0.071583,0.6963,12.50,25.03,2098
1,1.10, ,119.6,238.2,8.1314,27.26, ,0.071547,0.6963,12.50,24.92,2094
1,1.13, ,118.0,235.2,8.1317,27.26, ,0.071561,0.6963,12.48,25.05,2097
1,1.13, ,118.1,235.4,8.1319,27.26, ,0.071576,0.6963,12.48,25.04,2095
1,1.15, ,118.3,235.6,8.1327,27.26, ,0.071624,0.6963,12.51,25.03,2093
1,1.17, ,118.1,235.4,8.1344,27.26, ,0.071723,0.6963,12.50,25.04,2082
1,1.18, ,117.8,234.7,8.1345,27.26, ,0.071728,0.6963,12.49,25.07,2076
1,1.20, ,119.3,237.7,8.1350,27.26, ,0.071756,0.6963,12.49,24.94,2074
1,1.22, ,118.3,235.6,8.1342,27.26, ,0.071711,0.6963,12.48,25.03,2078
1,1.25, ,118.4,235.9,8.1314,27.26, ,0.071542,0.6963,12.50,25.02,2086
1,1.25, ,118.3,235.6,8.1316,27.26, ,0.071553,0.6963,12.48,25.03,2091
1,1.27, ,118.0,235.2,8.1324,27.26, ,0.071603,0.6963,12.50,25.05,2097
1,1.28, ,118.4,235.9,8.1344,27.26, ,0.071724,0.6963,12.50,25.02,2102
1,1.30, ,118.0,235.2,8.1354,27.26, ,0.071784,0.6963,12.51,25.05,2100
1,1.32, ,118.3,235.6,8.1338,27.26, ,0.071684,0.6963,12.50,25.03,2097
1,1.33, ,117.8,234.7,8.1341,27.26, ,0.071705,0.6963,12.50,25.07,2102
1,1.35, ,118.4,235.9,8.1347,27.26, ,0.071741,0.6963,12.49,25.02,2097
1,1.37, ,117.7,234.5,8.1339,27.26, ,0.071695,0.6963,12.48,25.08,2099
1,1.38, ,118.5,236.1,8.1333,27.26, ,0.071660,0.6963,12.50,25.01,2101
1,1.40, ,118.4,235.9,8.1338,27.26, ,0.071688,0.6963,12.49,25.02,2100
1,1.42, ,117.5,234.2,8.1331,27.26, ,0.071646,0.6963,12.50,25.09,2100
1,1.43, ,117.2,233.5,8.1326,27.26, ,0.071617,0.6963,12.51,25.12,2102
1,1.45, ,117.3,233.8,8.1326,27.26, ,0.071618,0.6963,12.49,25.11,2100
1,1.47, ,118.0,235.2,8.1337,27.26, ,0.071679,0.6963,12.50,25.05,2100
1,1.48, ,117.7,234.5,8.1333,27.26, ,0.071656,0.6963,12.49,25.08,2100
1,1.50, ,117.1,233.3,8.1327,27.26, ,0.071620,0.6963,12.48,25.13,2099
1,1.52, ,119.4,238.0,8.1326,27.26, ,0.071616,0.6963,12.48,24.93,2102
1,1.53, ,118.4,235.9,8.1330,27.26, ,0.071640,0.6963,12.51,25.02,2098
1,1.55, ,117.5,234.2,8.1319,27.26, ,0.071574,0.6963,12.49,25.09,2106
1,1.57, ,117.9,234.9,8.1321,27.26, ,0.071584,0.6963,12.50,25.06,2101
1,1.58, ,118.1,235.4,8.1320,27.26, ,0.071582,0.6963,12.50,25.04,2095
1,1.60, ,117.9,234.9,8.1310,27.26, ,0.071518,0.6963,12.50,25.06,2103
1,1.62, ,117.0,233.1,8.1314,27.26, ,0.071543,0.6963,12.48,25.14,2101
1,1.63, ,118.0,235.1,8.1327,27.26, ,0.071620,0.6963,12.49,25.05,2100
1,1.65, ,117.5,234.2,8.1321,27.26, ,0.071585,0.6962,12.50,25.09,2104
1,1.67, ,117.7,234.4,8.1324,27.26, ,0.071604,0.6963,12.49,25.08,2102
1,1.68, ,118.3,235.6,8.1314,27.26, ,0.071547,0.6962,12.51,25.03,2100
1,1.70, ,117.9,234.9,8.1308,27.26, ,0.071510,0.6962,12.49,25.06,2100
1,1.72, ,117.5,234.2,8.1325,27.26, ,0.071610,0.6963,12.51,25.09,2103
1,1.73, ,118.8,236.8,8.1309,27.26, ,0.071514,0.6962,12.51,24.98,2100
1,1.75, ,117.3,233.7,8.1315,27.26, ,0.071552,0.6962,12.50,25.11,2098
1,1.77, ,118.4,235.8,8.1311,27.26, ,0.071526,0.6962,12.48,25.02,2104
1,1.78, ,118.2,235.6,8.1308,27.26, ,0.071508,0.6962,12.50,25.03,2101
1,1.80, ,119.1,237.3,8.1316,27.26, ,0.071559,0.6962,12.48,24.96,2097
1,1.82, ,118.4,235.8,8.1305,27.26, ,0.071492,0.6962,12.48,25.02,2100
1,1.83, ,118.4,235.8,8.1300,27.26, ,0.071460,0.6962,12.49,25.02,2097
1,1.85, ,117.9,234.9,8.1306,27.26, ,0.071498,0.6962,12.48,25.06,2093
1,1.87, ,118.2,235.6,8.1315,27.26, ,0.071550,0.6962,12.52,25.03,2096
1,1.88, ,117.9,234.9,8.1307,27.26, ,0.071504,0.6962,12.50,25.06,2098
1,1.90, ,118.8,236.8,8.1301,27.26, ,0.071467,0.6962,12.51,24.98,2094
1,1.92, ,118.5,236.1,8.1306,27.26, ,0.071499,0.6962,12.48,25.01,2096
