DeviceId:CISME0006669c1e8a
Filename:/msc/Data/d4b2ci1113_Oct19_1130.csv
pH Slope(m): 0.05897
pH Eo (b): -0.39247
cal. Buffer pH: 8.04100
cal. Buffer temp. 24.06105
Salinity: 35
O2 0 Phase: 60.42000
O2 0 Temp: 25.00000
O2 100 Phase: 27.38000
O2 100 Temp: 23.99000
O2 LED Current: 150.00000
O2 Pressure Cal: 976.00000
Total number of steps: 1
Step Number: 1
Time Threshold: 180
O2 Threshold:   0
pH Threshold: 0.000
Flow Rate: 5000.000000
Light Level: 0.000000
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.03, ,110.8,220.3,8.0760,27.38, ,0.085452,0.6952,12.50,25.77,38813
1,0.03, ,110.8,220.3,8.0739,27.38, ,0.085326,0.6952,12.48,25.77,38830
1,0.05, ,110.7,220.1,8.0724,27.38, ,0.085236,0.6952,12.50,25.78,38823
1,0.07, ,110.8,220.3,8.0720,27.38, ,0.085215,0.6952,12.47,25.77,38824
1,0.08, ,110.8,220.3,8.0717,27.38, ,0.085198,0.6952,12.49,25.77,38817
1,0.10, ,110.8,220.3,8.0723,27.38, ,0.085235,0.6952,12.49,25.77,38829
1,0.12, ,110.8,220.3,8.0727,27.38, ,0.085258,0.6952,12.47,25.77,38824
1,0.13, ,110.9,220.5,8.0732,27.38, ,0.085289,0.6952,12.50,25.76,38810
1,0.15, ,110.9,220.5,8.0731,27.38, ,0.085279,0.6952,12.47,25.76,38809
1,0.17, ,110.7,220.1,8.0733,27.38, ,0.085291,0.6952,12.48,25.78,38813
1,0.18, ,111.0,220.7,8.0736,27.38, ,0.085308,0.6952,12.48,25.75,38815
1,0.20, ,110.8,220.3,8.0732,27.38, ,0.085289,0.6952,12.49,25.77,38806
1,0.22, ,110.8,220.3,8.0733,27.38, ,0.085290,0.6952,12.50,25.77,38817
1,0.23, ,110.8,220.3,8.0728,27.38, ,0.085261,0.6952,12.49,25.77,38805
1,0.25, ,110.7,220.1,8.0733,27.38, ,0.085295,0.6952,12.47,25.78,38804
1,0.27, ,110.8,220.3,8.0729,27.38, ,0.085268,0.6952,12.49,25.77,38805
1,0.28, ,110.7,220.1,8.0720,27.38, ,0.085217,0.6952,12.49,25.78,38776
1,0.30, ,110.7,220.1,8.0719,27.38, ,0.085211,0.6952,12.48,25.78,38775
1,0.32, ,110.9,220.5,8.0713,27.38, ,0.085173,0.6952,12.49,25.76,38753
1,0.33, ,110.8,220.3,8.0723,27.38, ,0.085235,0.6952,12.47,25.77,38787
1,0.35, ,110.9,220.5,8.0721,27.38, ,0.085221,0.6952,12.49,25.76,38790
1,0.37, ,110.8,220.3,8.0724,27.38, ,0.085237,0.6952,12.48,25.77,38772
1,0.38, ,110.8,220.3,8.0727,27.38, ,0.085258,0.6952,12.47,25.77,38775
1,0.40, ,110.8,220.3,8.0723,27.38, ,0.085234,0.6952,12.48,25.77,38767
1,0.42, ,110.8,220.3,8.0711,27.38, ,0.085159,0.6952,12.49,25.77,38766
1,0.43, ,110.9,220.5,8.0723,27.38, ,0.085235,0.6952,12.48,25.76,38768
1,0.45, ,110.9,220.5,8.0728,27.38, ,0.085262,0.6952,12.48,25.76,38764
1,0.47, ,111.0,220.7,8.0730,27.38, ,0.085275,0.6952,12.47,25.75,38758
1,0.48, ,110.8,220.3,8.0736,27.38, ,0.085312,0.6952,12.49,25.77,38760
1,0.50, ,110.8,220.3,8.0741,27.38, ,0.085342,0.6952,12.49,25.77,38759
1,0.52, ,110.9,220.5,8.0738,27.38, ,0.085322,0.6952,12.49,25.76,38762
1,0.53, ,110.8,220.3,8.0742,27.38, ,0.085347,0.6952,12.47,25.77,38761
1,0.55, ,110.8,220.3,8.0744,27.38, ,0.085361,0.6952,12.47,25.77,38756
1,0.57, ,111.0,220.7,8.0734,27.38, ,0.085301,0.6952,12.50,25.75,38746
1,0.58, ,110.9,220.5,8.0742,27.38, ,0.085344,0.6952,12.49,25.76,38751
1,0.60, ,110.8,220.3,8.0732,27.38, ,0.085286,0.6952,12.47,25.77,38753
1,0.62, ,111.0,220.7,8.0732,27.38, ,0.085289,0.6952,12.46,25.75,38757
1,0.63, ,111.0,220.7,8.0725,27.38, ,0.085248,0.6952,12.50,25.75,38752
1,0.65, ,111.0,220.7,8.0725,27.38, ,0.085244,0.6952,12.47,25.75,38751
1,0.67, ,110.8,220.3,8.0743,27.38, ,0.085354,0.6952,12.48,25.77,38760
1,0.68, ,110.9,220.5,8.0758,27.38, ,0.085441,0.6952,12.49,25.76,38764
1,0.70, ,110.8,220.3,8.0749,27.38, ,0.085391,0.6952,12.48,25.77,38758
1,0.72, ,110.9,220.5,8.0750,27.38, ,0.085393,0.6952,12.49,25.76,38755
1,0.73, ,110.8,220.3,8.0725,27.38, ,0.085245,0.6952,12.49,25.77,38766
1,0.75, ,110.9,220.5,8.0702,27.38, ,0.085108,0.6952,12.49,25.76,38765
1,0.77, ,110.8,220.3,8.0695,27.38, ,0.085067,0.6952,12.48,25.77,38766
1,0.78, ,110.9,220.5,8.0698,27.38, ,0.085081,0.6952,12.47,25.76,38759
1,0.80, ,110.9,220.5,8.0683,27.38, ,0.084993,0.6952,12.49,25.76,38761
1,0.82, ,110.8,220.3,8.0688,27.38, ,0.085026,0.6952,12.47,25.77,38755
1,0.83, ,110.7,220.1,8.0691,27.38, ,0.085041,0.6952,12.49,25.78,38763
