DeviceId:CISME0006669c1e8a
Filename:/msc/Data/d4corrb1r1_Oct19_1123.csv
pH Slope(m): 0.05897
pH Eo (b): -0.39247
cal. Buffer pH: 8.04100
cal. Buffer temp. 24.06105
Salinity: 35
O2 0 Phase: 60.42000
O2 0 Temp: 25.00000
O2 100 Phase: 27.38000
O2 100 Temp: 23.99000
O2 LED Current: 150.00000
O2 Pressure Cal: 976.00000
Total number of steps: 1
Step Number: 1
Time Threshold: 180
O2 Threshold:   0
pH Threshold: 0.000
Flow Rate: 0.000000
Light Level: 0.000000
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.03, ,111.4,221.6,8.0959,27.34, ,0.086621,0.6959,12.54,25.72,38920
1,0.05, ,111.3,221.4,8.0968,27.34, ,0.086678,0.6959,12.55,25.73,38923
1,0.07, ,111.4,221.6,8.0962,27.34, ,0.086639,0.6959,12.56,25.72,38927
1,0.08, ,111.4,221.6,8.0936,27.34, ,0.086488,0.6959,12.55,25.72,38923
1,0.10, ,111.3,221.4,8.0925,27.34, ,0.086423,0.6959,12.55,25.73,38919
1,0.12, ,111.5,221.8,8.0928,27.34, ,0.086438,0.6959,12.55,25.71,38926
1,0.13, ,111.6,222.0,8.0928,27.34, ,0.086442,0.6959,12.55,25.70,38932
1,0.15, ,111.5,221.8,8.0927,27.34, ,0.086435,0.6959,12.55,25.71,38929
1,0.17, ,111.4,221.6,8.0927,27.34, ,0.086433,0.6959,12.55,25.72,38932
1,0.18, ,111.2,221.2,8.0929,27.34, ,0.086444,0.6959,12.55,25.74,38932
1,0.20, ,111.3,221.4,8.0936,27.34, ,0.086484,0.6959,12.55,25.73,38935
1,0.22, ,111.3,221.4,8.0938,27.34, ,0.086500,0.6959,12.55,25.73,38935
1,0.23, ,111.3,221.4,8.0928,27.34, ,0.086437,0.6959,12.55,25.73,38935
1,0.25, ,111.3,221.4,8.0931,27.34, ,0.086459,0.6959,12.55,25.73,38939
1,0.27, ,111.3,221.4,8.0927,27.34, ,0.086435,0.6959,12.55,25.73,38938
1,0.28, ,111.3,221.4,8.0926,27.34, ,0.086426,0.6959,12.56,25.73,38943
1,0.30, ,111.3,221.4,8.0928,27.34, ,0.086440,0.6959,12.54,25.73,38942
1,0.32, ,111.3,221.4,8.0931,27.35, ,0.086456,0.6959,12.55,25.73,38940
1,0.33, ,111.3,221.4,8.0936,27.34, ,0.086489,0.6959,12.55,25.73,38941
1,0.35, ,111.3,221.4,8.0960,27.35, ,0.086629,0.6959,12.55,25.73,38948
1,0.37, ,111.3,221.4,8.0974,27.35, ,0.086716,0.6959,12.55,25.73,38952
1,0.38, ,111.3,221.4,8.0962,27.35, ,0.086645,0.6959,12.55,25.73,38947
1,0.40, ,111.3,221.4,8.0967,27.35, ,0.086670,0.6959,12.55,25.73,38952
1,0.42, ,111.2,221.2,8.0971,27.35, ,0.086697,0.6958,12.55,25.74,38953
1,0.43, ,111.4,221.6,8.0962,27.35, ,0.086643,0.6958,12.55,25.72,38954
1,0.45, ,111.2,221.2,8.0968,27.35, ,0.086679,0.6958,12.56,25.74,38952
1,0.47, ,111.3,221.4,8.0957,27.35, ,0.086615,0.6958,12.55,25.73,38957
1,0.48, ,111.3,221.4,8.0963,27.35, ,0.086648,0.6958,12.56,25.73,38958
1,0.50, ,111.0,220.9,8.0956,27.35, ,0.086607,0.6958,12.55,25.75,38959
1,0.52, ,111.3,221.4,8.0962,27.35, ,0.086643,0.6958,12.55,25.73,38958
1,0.53, ,111.3,221.4,8.0981,27.35, ,0.086753,0.6958,12.56,25.73,38971
1,0.55, ,111.2,221.2,8.0978,27.35, ,0.086738,0.6958,12.55,25.74,38973
1,0.57, ,111.3,221.4,8.0972,27.35, ,0.086705,0.6958,12.55,25.73,38974
1,0.58, ,111.3,221.4,8.0960,27.35, ,0.086632,0.6958,12.55,25.73,38975
1,0.60, ,111.4,221.6,8.0971,27.35, ,0.086697,0.6958,12.55,25.72,38978
1,0.62, ,111.0,220.9,8.0966,27.35, ,0.086668,0.6958,12.55,25.75,38980
1,0.63, ,111.2,221.1,8.0958,27.35, ,0.086618,0.6958,12.55,25.74,38978
1,0.65, ,111.2,221.1,8.0956,27.35, ,0.086607,0.6958,12.55,25.74,38981
1,0.67, ,111.0,220.9,8.0961,27.35, ,0.086638,0.6958,12.55,25.75,38979
1,0.68, ,111.0,220.9,8.0959,27.35, ,0.086624,0.6958,12.55,25.75,38983
1,0.70, ,111.0,220.9,8.0962,27.35, ,0.086644,0.6958,12.55,25.75,38985
1,0.72, ,111.2,221.1,8.0944,27.35, ,0.086534,0.6958,12.55,25.74,38983
1,0.73, ,111.3,221.4,8.0937,27.35, ,0.086496,0.6958,12.55,25.73,38980
1,0.75, ,111.0,220.9,8.0937,27.35, ,0.086493,0.6958,12.55,25.75,38983
1,0.77, ,111.3,221.4,8.0936,27.35, ,0.086487,0.6958,12.56,25.73,38983
1,0.78, ,111.0,220.9,8.0936,27.35, ,0.086491,0.6958,12.55,25.75,38989
