DeviceId:CISME0006669c1a4f
Filename:/msc/Data/d4corrb1r2_Oct19_1125.csv
pH Slope(m): 0.05897
pH Eo (b): -0.40960
cal. Buffer pH: 8.04100
cal. Buffer temp. 24.03778
Salinity: 35
O2 0 Phase: 60.42000
O2 0 Temp: 25.00000
O2 100 Phase: 27.28000
O2 100 Temp: 23.97000
O2 LED Current: 150.00000
O2 Pressure Cal: 976.00000
Total number of steps: 1
Step Number: 1
Time Threshold: 180
O2 Threshold:   0
pH Threshold: 0.000
Flow Rate: 5000.000000
Light Level: 0.000000
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.03, ,120.9,240.6,8.1423,27.32, ,0.072227,0.6949,12.48,24.80,1995
1,0.05, ,119.4,237.8,8.1437,27.32, ,0.072309,0.6949,12.49,24.92,1997
1,0.07, ,120.5,239.9,8.1447,27.32, ,0.072371,0.6949,12.47,24.83,1994
1,0.08, ,120.9,240.6,8.1452,27.32, ,0.072401,0.6949,12.46,24.80,1996
1,0.10, ,120.5,239.9,8.1441,27.32, ,0.072335,0.6949,12.45,24.83,1996
1,0.12, ,119.9,238.7,8.1431,27.32, ,0.072274,0.6949,12.46,24.88,1995
1,0.13, ,120.9,240.6,8.1431,27.32, ,0.072276,0.6949,12.46,24.80,1996
1,0.15, ,119.9,238.7,8.1449,27.32, ,0.072382,0.6949,12.47,24.88,1996
1,0.17, ,120.5,239.9,8.1440,27.32, ,0.072329,0.6949,12.46,24.83,1995
1,0.18, ,121.5,241.8,8.1443,27.32, ,0.072344,0.6949,12.46,24.75,1991
1,0.20, ,120.8,240.4,8.1445,27.32, ,0.072358,0.6949,12.47,24.81,1995
1,0.22, ,120.6,240.1,8.1429,27.32, ,0.072263,0.6949,12.47,24.82,1994
1,0.23, ,119.9,238.7,8.1425,27.32, ,0.072236,0.6949,12.46,24.88,1997
1,0.25, ,119.2,237.3,8.1439,27.32, ,0.072323,0.6949,12.46,24.94,1995
1,0.27, ,120.6,240.1,8.1429,27.32, ,0.072264,0.6949,12.46,24.82,1996
1,0.28, ,121.2,241.3,8.1434,27.32, ,0.072294,0.6949,12.46,24.77,1998
1,0.30, ,121.1,241.1,8.1433,27.32, ,0.072289,0.6949,12.46,24.78,1994
1,0.32, ,119.6,238.0,8.1439,27.32, ,0.072324,0.6949,12.46,24.91,1995
1,0.33, ,120.5,239.9,8.1440,27.32, ,0.072326,0.6949,12.45,24.83,1998
1,0.35, ,120.5,239.9,8.1447,27.32, ,0.072369,0.6949,12.46,24.83,1995
1,0.37, ,121.4,241.6,8.1445,27.32, ,0.072358,0.6949,12.46,24.76,1993
1,0.38, ,119.6,238.0,8.1440,27.32, ,0.072329,0.6949,12.46,24.91,1996
1,0.40, ,120.8,240.4,8.1447,27.32, ,0.072368,0.6949,12.47,24.81,1997
1,0.42, ,120.2,239.2,8.1435,27.32, ,0.072296,0.6949,12.47,24.86,1995
1,0.43, ,120.2,239.2,8.1434,27.32, ,0.072296,0.6948,12.48,24.86,1995
1,0.45, ,120.6,240.1,8.1440,27.32, ,0.072327,0.6948,12.46,24.82,1993
1,0.47, ,120.4,239.6,8.1435,27.32, ,0.072298,0.6948,12.48,24.84,1995
1,0.48, ,120.5,239.9,8.1452,27.32, ,0.072402,0.6949,12.48,24.83,1996
1,0.50, ,120.2,239.1,8.1445,27.32, ,0.072361,0.6948,12.46,24.86,1996
1,0.52, ,120.5,239.9,8.1428,27.32, ,0.072258,0.6948,12.45,24.83,1992
1,0.53, ,121.1,241.1,8.1411,27.32, ,0.072157,0.6948,12.45,24.78,1996
1,0.55, ,120.4,239.6,8.1414,27.32, ,0.072176,0.6948,12.48,24.84,1993
1,0.57, ,120.0,238.9,8.1459,27.32, ,0.072443,0.6948,12.46,24.87,1992
1,0.58, ,120.0,238.9,8.1455,27.32, ,0.072420,0.6948,12.45,24.87,1993
1,0.60, ,121.0,240.8,8.1451,27.32, ,0.072397,0.6948,12.46,24.79,1997
1,0.62, ,121.0,240.8,8.1441,27.32, ,0.072337,0.6948,12.47,24.79,1994
1,0.63, ,120.9,240.6,8.1433,27.32, ,0.072290,0.6948,12.46,24.80,1990
1,0.65, ,120.9,240.6,8.1442,27.33, ,0.072343,0.6948,12.45,24.80,1992
1,0.67, ,120.4,239.6,8.1446,27.33, ,0.072366,0.6948,12.47,24.84,1993
1,0.68, ,121.1,241.1,8.1432,27.33, ,0.072283,0.6948,12.47,24.78,1991
1,0.70, ,121.1,241.1,8.1426,27.33, ,0.072248,0.6948,12.47,24.78,1992
1,0.72, ,120.4,239.6,8.1431,27.33, ,0.072278,0.6948,12.46,24.84,1991
1,0.73, ,121.1,241.1,8.1424,27.33, ,0.072238,0.6948,12.48,24.78,1992
1,0.75, ,121.1,241.1,8.1422,27.33, ,0.072222,0.6948,12.46,24.78,1993
1,0.77, ,120.8,240.3,8.1426,27.33, ,0.072246,0.6948,12.46,24.81,1995
1,0.78, ,119.5,237.9,8.1425,27.33, ,0.072240,0.6948,12.46,24.91,1995
