DeviceId:CISME0006669c1e8a
Filename:/msc/Data/d5b2r1 ci1_Oct20_1053.csv
pH Slope(m): 0.05897
pH Eo (b): -0.39247
cal. Buffer pH: 8.04100
cal. Buffer temp. 24.06105
Salinity: 35
O2 0 Phase: 60.42000
O2 0 Temp: 25.00000
O2 100 Phase: 27.38000
O2 100 Temp: 23.99000
O2 LED Current: 150.00000
O2 Pressure Cal: 976.00000
Total number of steps: 1
Step Number: 1
Time Threshold: 180
O2 Threshold:   0
pH Threshold: 0.000
Flow Rate: 6262.000000
Light Level: 0.000000
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.03, ,105.6,211.7,8.0542,26.85, ,0.083889,0.7067,12.60,26.35,37018
1,0.05, ,105.5,211.5,8.0526,26.85, ,0.083796,0.7067,12.60,26.36,37020
1,0.07, ,105.5,211.5,8.0500,26.85, ,0.083645,0.7067,12.59,26.36,36994
1,0.08, ,105.4,211.3,8.0500,26.85, ,0.083640,0.7067,12.59,26.37,36997
1,0.10, ,105.6,211.7,8.0512,26.85, ,0.083711,0.7067,12.59,26.35,36997
1,0.12, ,105.6,211.7,8.0519,26.85, ,0.083755,0.7067,12.62,26.35,37019
1,0.13, ,105.6,211.7,8.0509,26.85, ,0.083694,0.7067,12.59,26.35,37025
1,0.15, ,105.5,211.5,8.0525,26.85, ,0.083792,0.7067,12.60,26.36,37006
1,0.17, ,105.5,211.5,8.0509,26.85, ,0.083698,0.7067,12.61,26.36,37005
1,0.18, ,105.6,211.7,8.0515,26.85, ,0.083732,0.7067,12.59,26.35,36986
1,0.20, ,105.6,211.7,8.0512,26.85, ,0.083714,0.7067,12.59,26.35,37026
1,0.22, ,105.6,211.7,8.0511,26.85, ,0.083710,0.7067,12.58,26.35,37043
1,0.23, ,105.5,211.5,8.0503,26.85, ,0.083664,0.7066,12.61,26.36,37046
1,0.25, ,105.5,211.5,8.0515,26.85, ,0.083732,0.7066,12.58,26.36,37012
1,0.27, ,105.6,211.7,8.0525,26.85, ,0.083790,0.7066,12.59,26.35,37012
1,0.28, ,105.5,211.5,8.0518,26.85, ,0.083751,0.7066,12.59,26.36,37041
1,0.30, ,105.7,211.9,8.0527,26.85, ,0.083803,0.7066,12.59,26.34,37046
1,0.32, ,105.7,211.9,8.0503,26.85, ,0.083665,0.7066,12.62,26.34,37016
1,0.33, ,105.6,211.7,8.0508,26.85, ,0.083694,0.7066,12.60,26.35,37003
1,0.35, ,105.6,211.7,8.0494,26.86, ,0.083606,0.7066,12.62,26.35,37012
1,0.37, ,105.7,211.9,8.0501,26.86, ,0.083650,0.7066,12.59,26.34,37023
1,0.38, ,105.7,211.9,8.0509,26.86, ,0.083696,0.7066,12.59,26.34,37006
1,0.40, ,105.7,211.9,8.0487,26.86, ,0.083566,0.7066,12.62,26.34,37018
1,0.42, ,105.8,212.1,8.0487,26.86, ,0.083570,0.7066,12.60,26.33,36997
1,0.43, ,105.8,212.1,8.0504,26.86, ,0.083668,0.7066,12.61,26.33,37019
1,0.45, ,105.7,211.9,8.0490,26.86, ,0.083584,0.7066,12.59,26.34,37026
1,0.47, ,105.8,212.1,8.0488,26.86, ,0.083575,0.7065,12.59,26.33,37010
1,0.48, ,105.7,211.9,8.0505,26.86, ,0.083672,0.7065,12.60,26.34,36987
1,0.50, ,105.6,211.9,8.0498,26.86, ,0.083635,0.7065,12.60,26.34,37023
1,0.52, ,105.5,211.7,8.0504,26.86, ,0.083668,0.7065,12.59,26.35,37029
1,0.53, ,105.6,211.9,8.0507,26.86, ,0.083689,0.7065,12.60,26.34,37014
1,0.55, ,105.6,211.9,8.0518,26.86, ,0.083755,0.7065,12.58,26.34,37008
1,0.57, ,105.6,211.9,8.0501,26.86, ,0.083656,0.7065,12.60,26.34,37010
1,0.58, ,105.7,212.1,8.0503,26.86, ,0.083663,0.7065,12.58,26.33,37012
1,0.60, ,105.6,211.9,8.0504,26.86, ,0.083672,0.7065,12.60,26.34,36983
1,0.62, ,105.6,211.9,8.0502,26.86, ,0.083660,0.7065,12.59,26.34,37020
1,0.63, ,105.6,211.9,8.0504,26.86, ,0.083672,0.7065,12.59,26.34,37003
1,0.65, ,105.7,212.1,8.0500,26.86, ,0.083646,0.7065,12.58,26.33,36996
1,0.67, ,105.8,212.3,8.0513,26.86, ,0.083722,0.7065,12.59,26.32,37012
1,0.68, ,105.5,211.6,8.0503,26.86, ,0.083668,0.7064,12.57,26.35,36995
1,0.70, ,105.6,211.8,8.0512,26.86, ,0.083719,0.7064,12.58,26.34,36983
1,0.72, ,105.7,212.0,8.0497,26.86, ,0.083628,0.7064,12.58,26.33,37008
1,0.73, ,105.7,212.0,8.0504,26.86, ,0.083673,0.7064,12.59,26.33,37006
1,0.75, ,105.6,211.8,8.0484,26.86, ,0.083554,0.7064,12.59,26.34,37009
1,0.77, ,105.8,212.2,8.0480,26.86, ,0.083529,0.7064,12.59,26.32,37014
1,0.78, ,105.8,212.2,8.0473,26.86, ,0.083491,0.7064,12.58,26.32,36999
1,0.80, ,105.7,212.0,8.0480,26.86, ,0.083532,0.7064,12.58,26.33,37000
1,0.82, ,105.6,211.8,8.0460,26.87, ,0.083409,0.7064,12.58,26.34,37006
1,0.83, ,105.6,211.8,8.0477,26.87, ,0.083512,0.7064,12.58,26.34,37003
1,0.85, ,105.7,212.0,8.0488,26.87, ,0.083575,0.7064,12.60,26.33,36989
1,0.87, ,105.6,211.8,8.0482,26.87, ,0.083541,0.7064,12.58,26.34,37003
1,0.88, ,105.7,212.0,8.0472,26.87, ,0.083481,0.7063,12.59,26.33,36980
1,0.90, ,105.6,211.8,8.0480,26.87, ,0.083531,0.7063,12.62,26.34,37004
1,0.92, ,105.7,212.0,8.0471,26.87, ,0.083481,0.7063,12.60,26.33,37001
1,0.93, ,105.8,212.2,8.0476,26.87, ,0.083508,0.7063,12.58,26.32,36989
1,0.95, ,105.7,212.0,8.0463,26.87, ,0.083434,0.7063,12.59,26.33,36967
1,0.97, ,105.6,211.8,8.0460,26.87, ,0.083413,0.7063,12.58,26.34,37012
1,0.98, ,105.9,212.4,8.0471,26.87, ,0.083478,0.7063,12.59,26.31,37001
1,1.00, ,105.7,212.0,8.0482,26.87, ,0.083546,0.7063,12.59,26.33,37001
1,1.02, ,105.6,211.8,8.0483,26.87, ,0.083552,0.7063,12.60,26.34,37019
1,1.03, ,105.8,212.2,8.0470,26.87, ,0.083473,0.7063,12.58,26.32,36994
1,1.05, ,105.7,212.0,8.0466,26.87, ,0.083448,0.7063,12.58,26.33,36960
1,1.07, ,105.7,212.0,8.0466,26.87, ,0.083447,0.7062,12.57,26.33,36976
1,1.08, ,105.7,212.0,8.0461,26.87, ,0.083421,0.7062,12.60,26.33,36967
1,1.10, ,105.8,212.2,8.0454,26.87, ,0.083377,0.7062,12.58,26.32,36974
1,1.12, ,105.8,212.2,8.0466,26.87, ,0.083452,0.7062,12.59,26.32,37021
1,1.13, ,105.8,212.2,8.0463,26.87, ,0.083430,0.7062,12.57,26.32,37009
1,1.15, ,105.9,212.4,8.0460,26.87, ,0.083418,0.7062,12.58,26.31,37000
1,1.17, ,105.7,212.0,8.0453,26.87, ,0.083374,0.7062,12.58,26.33,36998
1,1.18, ,105.8,212.2,8.0468,26.87, ,0.083463,0.7062,12.59,26.32,37011
1,1.20, ,105.7,212.0,8.0468,26.87, ,0.083466,0.7062,12.60,26.33,37002
1,1.22, ,105.9,212.4,8.0468,26.87, ,0.083464,0.7062,12.57,26.31,36986
1,1.23, ,105.7,212.0,8.0473,26.87, ,0.083491,0.7062,12.59,26.33,37014
1,1.25, ,105.7,212.0,8.0476,26.88, ,0.083511,0.7062,12.58,26.33,37003
1,1.27, ,105.7,212.0,8.0480,26.88, ,0.083536,0.7061,12.60,26.33,36999
1,1.28, ,105.7,212.0,8.0463,26.88, ,0.083437,0.7061,12.58,26.33,36990
1,1.30, ,105.9,212.4,8.0478,26.88, ,0.083526,0.7061,12.57,26.31,36969
1,1.32, ,105.9,212.4,8.0479,26.88, ,0.083530,0.7061,12.58,26.31,36993
1,1.33, ,105.9,212.4,8.0481,26.88, ,0.083543,0.7061,12.58,26.31,37019
1,1.35, ,105.8,212.1,8.0486,26.88, ,0.083575,0.7061,12.58,26.32,36987
1,1.37, ,105.9,212.4,8.0496,26.88, ,0.083631,0.7061,12.58,26.31,36983
1,1.38, ,106.0,212.6,8.0485,26.88, ,0.083569,0.7061,12.58,26.30,37011
1,1.40, ,105.7,211.9,8.0480,26.88, ,0.083538,0.7061,12.60,26.33,37021
1,1.42, ,105.9,212.3,8.0479,26.88, ,0.083532,0.7061,12.58,26.31,36979
1,1.43, ,105.8,212.1,8.0480,26.88, ,0.083538,0.7060,12.59,26.32,36984
1,1.45, ,105.8,212.1,8.0489,26.88, ,0.083590,0.7060,12.57,26.32,37025
1,1.47, ,105.8,212.1,8.0491,26.88, ,0.083606,0.7060,12.58,26.32,37014
1,1.48, ,105.8,212.1,8.0488,26.88, ,0.083585,0.7060,12.60,26.32,36988
1,1.50, ,105.9,212.3,8.0484,26.88, ,0.083560,0.7060,12.59,26.31,37024
1,1.52, ,105.9,212.3,8.0490,26.88, ,0.083598,0.7060,12.61,26.31,37004
1,1.53, ,105.8,212.1,8.0496,26.88, ,0.083632,0.7060,12.59,26.32,36993
1,1.55, ,105.8,212.1,8.0489,26.88, ,0.083593,0.7060,12.59,26.32,36996
1,1.57, ,105.8,212.1,8.0484,26.88, ,0.083562,0.7060,12.62,26.32,36999
1,1.58, ,106.0,212.5,8.0480,26.88, ,0.083538,0.7060,12.59,26.30,36986
1,1.60, ,105.9,212.3,8.0485,26.88, ,0.083570,0.7059,12.58,26.31,37002
1,1.62, ,105.9,212.3,8.0490,26.89, ,0.083601,0.7059,12.57,26.31,36989
1,1.63, ,105.9,212.3,8.0488,26.89, ,0.083589,0.7059,12.60,26.31,36973
1,1.65, ,105.8,212.1,8.0497,26.89, ,0.083640,0.7059,12.58,26.32,36983
1,1.67, ,105.8,212.1,8.0500,26.89, ,0.083658,0.7059,12.59,26.32,36998
1,1.68, ,106.0,212.5,8.0486,26.89, ,0.083577,0.7059,12.58,26.30,36989
1,1.70, ,105.8,212.1,8.0511,26.89, ,0.083724,0.7059,12.62,26.32,36948
1,1.72, ,105.9,212.3,8.0499,26.89, ,0.083655,0.7059,12.59,26.31,36961
1,1.73, ,105.8,212.1,8.0485,26.89, ,0.083570,0.7059,12.58,26.32,36927
1,1.75, ,105.8,212.1,8.0491,26.89, ,0.083610,0.7059,12.62,26.32,36955
1,1.77, ,106.0,212.5,8.0500,26.89, ,0.083661,0.7058,12.63,26.30,36968
1,1.78, ,105.8,212.1,8.0505,26.89, ,0.083692,0.7058,12.59,26.32,36944
1,1.80, ,105.8,212.1,8.0496,26.89, ,0.083640,0.7058,12.61,26.32,36952
1,1.82, ,106.0,212.5,8.0497,26.89, ,0.083645,0.7058,12.60,26.30,36950
1,1.83, ,105.9,212.3,8.0514,26.89, ,0.083745,0.7058,12.59,26.31,36960
1,1.85, ,105.8,212.1,8.0517,26.89, ,0.083766,0.7058,12.59,26.32,36920
1,1.87, ,105.9,212.3,8.0486,26.89, ,0.083580,0.7058,12.59,26.31,36920
1,1.88, ,106.0,212.5,8.0500,26.89, ,0.083662,0.7058,12.59,26.30,36934
1,1.90, ,105.9,212.3,8.0490,26.89, ,0.083606,0.7058,12.59,26.31,36968
1,1.92, ,105.8,212.1,8.0498,26.89, ,0.083654,0.7058,12.61,26.32,36981
1,1.93, ,105.9,212.2,8.0487,26.89, ,0.083588,0.7057,12.60,26.31,36945
1,1.95, ,106.0,212.5,8.0506,26.89, ,0.083699,0.7057,12.63,26.30,36933
1,1.97, ,106.0,212.4,8.0499,26.90, ,0.083660,0.7057,12.63,26.30,36958
1,1.98, ,105.9,212.2,8.0503,26.89, ,0.083683,0.7057,12.60,26.31,36971
1,2.00, ,105.9,212.2,8.0491,26.90, ,0.083609,0.7057,12.62,26.31,36975
1,2.02, ,105.9,212.2,8.0491,26.90, ,0.083612,0.7057,12.62,26.31,36940
1,2.03, ,106.0,212.4,8.0488,26.90, ,0.083595,0.7057,12.59,26.30,36963
1,2.05, ,106.0,212.4,8.0468,26.90, ,0.083477,0.7057,12.59,26.30,36993
1,2.07, ,105.9,212.2,8.0480,26.90, ,0.083548,0.7056,12.58,26.31,36941
1,2.08, ,105.9,212.2,8.0484,26.90, ,0.083570,0.7056,12.57,26.31,36969
1,2.10, ,106.0,212.4,8.0491,26.90, ,0.083613,0.7056,12.62,26.30,36974
1,2.12, ,106.1,212.6,8.0470,26.90, ,0.083491,0.7056,12.58,26.29,36942
1,2.13, ,106.1,212.6,8.0463,26.90, ,0.083446,0.7056,12.62,26.29,36933
1,2.15, ,106.0,212.4,8.0477,26.90, ,0.083528,0.7056,12.63,26.30,36983
1,2.17, ,105.9,212.2,8.0476,26.90, ,0.083527,0.7056,12.63,26.31,36947
1,2.18, ,105.9,212.2,8.0482,26.90, ,0.083561,0.7056,12.58,26.31,36958
1,2.20, ,106.0,212.4,8.0489,26.90, ,0.083604,0.7056,12.59,26.30,36955
1,2.22, ,106.0,212.4,8.0492,26.90, ,0.083619,0.7056,12.59,26.30,36959
1,2.23, ,105.9,212.2,8.0478,26.90, ,0.083538,0.7055,12.62,26.31,36959
1,2.25, ,106.0,212.4,8.0480,26.90, ,0.083548,0.7055,12.62,26.30,36938
1,2.27, ,105.8,212.0,8.0474,26.90, ,0.083511,0.7055,12.59,26.32,36928
1,2.28, ,106.2,212.8,8.0476,26.90, ,0.083529,0.7055,12.60,26.28,36899
1,2.30, ,106.0,212.4,8.0473,26.91, ,0.083507,0.7055,12.60,26.30,36919
1,2.32, ,105.9,212.2,8.0478,26.90, ,0.083537,0.7055,12.58,26.31,36916
1,2.33, ,106.0,212.4,8.0480,26.91, ,0.083549,0.7055,12.60,26.30,36924
