DeviceId:CISME0006669c1e8a
Filename:/msc/Data/d5c1corrr3_Oct20_1158.csv
pH Slope(m): 0.05897
pH Eo (b): -0.39247
cal. Buffer pH: 8.04100
cal. Buffer temp. 24.06105
Salinity: 35
O2 0 Phase: 60.42000
O2 0 Temp: 25.00000
O2 100 Phase: 27.38000
O2 100 Temp: 23.99000
O2 LED Current: 150.00000
O2 Pressure Cal: 976.00000
Total number of steps: 1
Step Number: 1
Time Threshold: 1800
O2 Threshold:   0
pH Threshold: 0.000
Flow Rate: 6262.000000
Light Level: 0.000000
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.03, ,104.7,208.9,8.0360,27.19, ,0.082978,0.6992,12.39,26.38,35495
1,0.05, ,104.7,208.9,8.0329,27.19, ,0.082791,0.6992,12.41,26.38,35513
1,0.07, ,104.7,208.9,8.0318,27.19, ,0.082728,0.6992,12.39,26.38,35516
1,0.08, ,104.5,208.5,8.0303,27.19, ,0.082636,0.6992,12.41,26.40,35527
1,0.10, ,104.5,208.5,8.0302,27.19, ,0.082630,0.6992,12.40,26.40,35538
1,0.12, ,104.4,208.3,8.0293,27.19, ,0.082578,0.6992,12.42,26.41,35556
1,0.13, ,104.4,208.3,8.0301,27.19, ,0.082622,0.6992,12.42,26.41,35557
1,0.15, ,104.5,208.5,8.0291,27.19, ,0.082564,0.6993,12.40,26.40,35569
1,0.17, ,104.3,208.1,8.0295,27.19, ,0.082588,0.6993,12.39,26.42,35586
1,0.18, ,104.2,207.9,8.0292,27.19, ,0.082572,0.6992,12.39,26.43,35596
1,0.20, ,104.1,207.7,8.0285,27.19, ,0.082529,0.6993,12.40,26.44,35603
1,0.22, ,104.2,207.9,8.0279,27.19, ,0.082494,0.6993,12.39,26.43,35614
1,0.23, ,104.1,207.7,8.0288,27.19, ,0.082550,0.6993,12.38,26.44,35625
1,0.25, ,104.1,207.7,8.0286,27.19, ,0.082533,0.6993,12.39,26.44,35634
1,0.27, ,104.0,207.5,8.0277,27.19, ,0.082479,0.6993,12.39,26.45,35642
1,0.28, ,104.0,207.5,8.0279,27.19, ,0.082491,0.6992,12.39,26.45,35649
1,0.30, ,103.9,207.3,8.0282,27.19, ,0.082509,0.6993,12.39,26.46,35661
1,0.32, ,103.9,207.3,8.0275,27.19, ,0.082468,0.6993,12.39,26.46,35675
1,0.33, ,103.8,207.1,8.0277,27.19, ,0.082483,0.6993,12.40,26.47,35678
1,0.35, ,103.7,206.9,8.0280,27.19, ,0.082497,0.6993,12.41,26.48,35686
1,0.37, ,103.7,206.9,8.0282,27.19, ,0.082513,0.6993,12.40,26.48,35696
1,0.38, ,103.6,206.7,8.0271,27.19, ,0.082445,0.6993,12.38,26.49,35704
1,0.40, ,103.5,206.5,8.0275,27.19, ,0.082469,0.6992,12.39,26.50,35713
1,0.42, ,103.5,206.5,8.0279,27.19, ,0.082495,0.6992,12.41,26.50,35718
1,0.43, ,103.6,206.7,8.0281,27.19, ,0.082505,0.6992,12.38,26.49,35732
1,0.45, ,103.5,206.5,8.0292,27.19, ,0.082570,0.6993,12.39,26.50,35745
1,0.47, ,103.5,206.5,8.0297,27.19, ,0.082599,0.6992,12.42,26.50,35746
1,0.48, ,103.4,206.3,8.0294,27.19, ,0.082586,0.6992,12.39,26.51,35757
1,0.50, ,103.2,205.9,8.0291,27.19, ,0.082565,0.6992,12.40,26.53,35770
1,0.52, ,103.3,206.1,8.0285,27.19, ,0.082528,0.6992,12.41,26.52,35777
1,0.53, ,103.2,205.9,8.0278,27.19, ,0.082489,0.6992,12.38,26.53,35779
1,0.55, ,103.2,205.9,8.0273,27.19, ,0.082461,0.6992,12.38,26.53,35790
1,0.57, ,103.1,205.7,8.0268,27.19, ,0.082431,0.6992,12.37,26.54,35804
1,0.58, ,103.1,205.7,8.0251,27.19, ,0.082327,0.6992,12.41,26.54,35808
1,0.60, ,103.0,205.5,8.0250,27.19, ,0.082319,0.6992,12.38,26.55,35815
1,0.62, ,103.0,205.5,8.0259,27.19, ,0.082373,0.6992,12.38,26.55,35829
1,0.63, ,103.1,205.7,8.0269,27.19, ,0.082436,0.6992,12.40,26.54,35839
1,0.65, ,102.9,205.3,8.0274,27.19, ,0.082463,0.6992,12.38,26.56,35849
1,0.67, ,102.8,205.1,8.0257,27.19, ,0.082361,0.6992,12.38,26.57,35856
1,0.68, ,102.8,205.1,8.0253,27.19, ,0.082338,0.6992,12.39,26.57,35864
1,0.70, ,102.8,205.1,8.0249,27.19, ,0.082315,0.6992,12.39,26.57,35878
1,0.72, ,102.6,204.7,8.0252,27.19, ,0.082334,0.6992,12.37,26.59,35887
1,0.73, ,102.7,204.9,8.0245,27.19, ,0.082293,0.6992,12.39,26.58,35888
1,0.75, ,102.6,204.7,8.0245,27.19, ,0.082294,0.6992,12.40,26.59,35899
1,0.77, ,102.6,204.7,8.0246,27.19, ,0.082298,0.6992,12.40,26.59,35901
1,0.78, ,102.6,204.7,8.0244,27.19, ,0.082285,0.6992,12.40,26.59,35915
1,0.80, ,102.6,204.7,8.0233,27.19, ,0.082223,0.6992,12.43,26.59,35915
1,0.82, ,102.4,204.3,8.0238,27.19, ,0.082250,0.6992,12.41,26.61,35928
1,0.83, ,102.4,204.3,8.0234,27.19, ,0.082224,0.6992,12.38,26.61,35943
1,0.85, ,102.4,204.3,8.0224,27.19, ,0.082168,0.6992,12.38,26.61,35952
1,0.87, ,102.3,204.1,8.0226,27.19, ,0.082181,0.6992,12.38,26.62,35961
1,0.88, ,102.2,203.9,8.0231,27.19, ,0.082208,0.6992,12.39,26.63,35967
1,0.90, ,102.3,204.1,8.0217,27.19, ,0.082124,0.6992,12.41,26.62,35976
1,0.92, ,102.3,204.1,8.0215,27.19, ,0.082117,0.6992,12.42,26.62,35982
1,0.93, ,102.1,203.7,8.0210,27.19, ,0.082083,0.6992,12.39,26.64,35996
1,0.95, ,102.1,203.7,8.0212,27.19, ,0.082095,0.6992,12.39,26.64,35999
1,0.97, ,102.1,203.7,8.0208,27.19, ,0.082070,0.6992,12.39,26.64,36011
1,0.98, ,102.0,203.5,8.0206,27.19, ,0.082060,0.6992,12.39,26.65,36018
1,1.00, ,102.0,203.5,8.0206,27.19, ,0.082061,0.6992,12.37,26.65,36035
1,1.02, ,101.9,203.3,8.0212,27.19, ,0.082099,0.6991,12.38,26.66,36036
1,1.03, ,102.0,203.5,8.0209,27.19, ,0.082081,0.6991,12.39,26.65,36051
1,1.05, ,101.8,203.1,8.0205,27.19, ,0.082055,0.6991,12.39,26.67,36050
1,1.07, ,101.9,203.3,8.0220,27.19, ,0.082143,0.6991,12.39,26.66,36059
1,1.08, ,101.7,202.9,8.0197,27.20, ,0.082007,0.6991,12.38,26.68,36072
1,1.10, ,101.8,203.1,8.0199,27.20, ,0.082017,0.6991,12.37,26.67,36071
1,1.12, ,101.8,203.1,8.0183,27.20, ,0.081924,0.6991,12.39,26.67,36085
1,1.13, ,101.6,202.7,8.0189,27.19, ,0.081958,0.6991,12.40,26.69,36095
1,1.15, ,101.6,202.7,8.0191,27.20, ,0.081974,0.6991,12.39,26.69,36102
1,1.17, ,101.5,202.5,8.0191,27.20, ,0.081970,0.6991,12.40,26.70,36101
1,1.18, ,101.5,202.5,8.0180,27.20, ,0.081906,0.6991,12.39,26.70,36119
1,1.20, ,101.5,202.5,8.0181,27.20, ,0.081912,0.6991,12.39,26.70,36121
1,1.22, ,101.3,202.1,8.0175,27.20, ,0.081876,0.6991,12.38,26.72,36134
1,1.23, ,101.4,202.3,8.0167,27.20, ,0.081832,0.6991,12.39,26.71,36137
1,1.25, ,101.3,202.1,8.0174,27.20, ,0.081873,0.6991,12.38,26.72,36151
1,1.27, ,101.2,201.9,8.0176,27.20, ,0.081885,0.6991,12.37,26.73,36160
1,1.28, ,101.2,201.9,8.0169,27.20, ,0.081845,0.6991,12.38,26.73,36153
1,1.30, ,101.2,201.9,8.0174,27.20, ,0.081872,0.6991,12.40,26.73,36170
1,1.32, ,101.2,201.9,8.0170,27.20, ,0.081849,0.6991,12.42,26.73,36187
1,1.33, ,101.2,201.7,8.0177,27.20, ,0.081889,0.6991,12.38,26.74,36182
1,1.35, ,101.1,201.5,8.0170,27.20, ,0.081851,0.6991,12.38,26.75,36208
1,1.37, ,101.1,201.7,8.0156,27.20, ,0.081764,0.6991,12.43,26.74,36217
1,1.38, ,101.0,201.3,8.0151,27.20, ,0.081737,0.6991,12.44,26.76,36218
1,1.40, ,101.0,201.3,8.0139,27.20, ,0.081665,0.6990,12.38,26.76,36231
