DeviceId:CISME0006669c1a4f
Filename:/msc/Data/d5c2r4ci2_Oct20_1140.csv
pH Slope(m): 0.05897
pH Eo (b): -0.40960
cal. Buffer pH: 8.04100
cal. Buffer temp. 24.03778
Salinity: 35
O2 0 Phase: 60.42000
O2 0 Temp: 25.00000
O2 100 Phase: 27.28000
O2 100 Temp: 23.97000
O2 LED Current: 150.00000
O2 Pressure Cal: 976.00000
Total number of steps: 1
Step Number: 1
Time Threshold: 1800
O2 Threshold:   0
pH Threshold: 0.000
Flow Rate: 5000.000000
Light Level: 0.000000
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.03, ,113.7,227.2,8.1232,27.05, ,0.070953,0.7007,12.43,25.46,2656
1,0.05, ,113.0,225.9,8.1242,27.06, ,0.071012,0.7007,12.44,25.52,2657
1,0.07, ,113.7,227.2,8.1242,27.06, ,0.071015,0.7007,12.42,25.46,2658
1,0.08, ,113.1,226.1,8.1240,27.06, ,0.071002,0.7006,12.44,25.51,2659
1,0.10, ,113.6,227.0,8.1242,27.06, ,0.071012,0.7006,12.44,25.47,2656
1,0.12, ,113.1,226.1,8.1242,27.06, ,0.071014,0.7006,12.44,25.51,2656
1,0.13, ,113.3,226.6,8.1240,27.06, ,0.071002,0.7006,12.43,25.49,2656
1,0.15, ,113.7,227.2,8.1239,27.06, ,0.070997,0.7006,12.43,25.46,2660
1,0.17, ,113.0,225.9,8.1238,27.06, ,0.070992,0.7006,12.41,25.52,2662
1,0.18, ,112.7,225.2,8.1242,27.06, ,0.071012,0.7006,12.41,25.55,2657
1,0.20, ,113.0,225.9,8.1244,27.06, ,0.071028,0.7006,12.41,25.52,2660
1,0.22, ,113.8,227.4,8.1242,27.06, ,0.071017,0.7006,12.41,25.45,2659
1,0.23, ,112.8,225.4,8.1239,27.06, ,0.070996,0.7006,12.41,25.54,2660
1,0.25, ,112.7,225.2,8.1236,27.06, ,0.070976,0.7005,12.43,25.55,2660
1,0.27, ,113.0,225.9,8.1237,27.06, ,0.070986,0.7005,12.43,25.52,2660
1,0.28, ,113.1,226.1,8.1238,27.06, ,0.070989,0.7005,12.43,25.51,2661
1,0.30, ,113.1,226.1,8.1236,27.06, ,0.070977,0.7005,12.42,25.51,2663
1,0.32, ,113.2,226.3,8.1238,27.06, ,0.070989,0.7005,12.42,25.50,2662
1,0.33, ,113.0,225.8,8.1239,27.06, ,0.071000,0.7005,12.42,25.52,2663
1,0.35, ,113.0,225.8,8.1241,27.06, ,0.071008,0.7005,12.40,25.52,2662
1,0.37, ,113.1,226.1,8.1241,27.06, ,0.071010,0.7005,12.41,25.51,2663
1,0.38, ,113.0,225.8,8.1241,27.06, ,0.071010,0.7005,12.43,25.52,2662
1,0.40, ,113.2,226.3,8.1242,27.06, ,0.071016,0.7005,12.44,25.50,2662
1,0.42, ,113.2,226.3,8.1242,27.06, ,0.071018,0.7005,12.44,25.50,2663
1,0.43, ,113.0,225.8,8.1239,27.07, ,0.071000,0.7004,12.44,25.52,2668
1,0.45, ,112.8,225.4,8.1240,27.07, ,0.071007,0.7004,12.42,25.54,2669
1,0.47, ,112.5,224.9,8.1239,27.07, ,0.071001,0.7004,12.43,25.56,2667
1,0.48, ,113.3,226.5,8.1233,27.07, ,0.070963,0.7004,12.42,25.49,2668
1,0.52, ,112.8,225.4,8.1229,27.07, ,0.070943,0.7004,12.44,25.54,2666
1,0.53, ,112.8,225.4,8.1231,27.07, ,0.070956,0.7004,12.43,25.54,2667
1,0.55, ,112.3,224.5,8.1235,27.07, ,0.070977,0.7004,12.43,25.58,2670
1,0.57, ,112.2,224.3,8.1238,27.07, ,0.070996,0.7004,12.41,25.59,2666
1,0.58, ,113.0,225.8,8.1235,27.07, ,0.070977,0.7004,12.44,25.52,2669
1,0.60, ,112.9,225.6,8.1234,27.07, ,0.070969,0.7004,12.43,25.53,2671
1,0.62, ,112.8,225.4,8.1234,27.07, ,0.070974,0.7003,12.43,25.54,2668
1,0.63, ,112.2,224.2,8.1234,27.07, ,0.070971,0.7003,12.43,25.59,2669
1,0.65, ,112.6,225.1,8.1234,27.07, ,0.070973,0.7003,12.42,25.55,2669
1,0.67, ,112.5,224.9,8.1236,27.07, ,0.070987,0.7003,12.43,25.56,2669
1,0.68, ,112.2,224.2,8.1237,27.07, ,0.070989,0.7003,12.43,25.59,2670
1,0.70, ,112.4,224.7,8.1238,27.07, ,0.070995,0.7003,12.43,25.57,2671
1,0.72, ,112.4,224.7,8.1237,27.07, ,0.070990,0.7003,12.43,25.57,2673
1,0.73, ,112.2,224.2,8.1238,27.07, ,0.070994,0.7003,12.42,25.59,2670
1,0.75, ,112.4,224.7,8.1239,27.07, ,0.071001,0.7003,12.42,25.57,2670
1,0.77, ,112.2,224.2,8.1241,27.07, ,0.071018,0.7003,12.42,25.59,2672
1,0.78, ,112.6,225.1,8.1238,27.07, ,0.070997,0.7002,12.43,25.55,2671
1,0.80, ,112.1,224.0,8.1237,27.07, ,0.070993,0.7002,12.41,25.60,2671
1,0.82, ,111.9,223.6,8.1238,27.07, ,0.071000,0.7002,12.42,25.62,2670
1,0.83, ,112.7,225.3,8.1236,27.08, ,0.070987,0.7002,12.43,25.54,2675
1,0.85, ,112.3,224.4,8.1236,27.08, ,0.070986,0.7002,12.41,25.58,2676
1,0.87, ,112.4,224.6,8.1237,27.08, ,0.070991,0.7002,12.41,25.57,2676
1,0.88, ,112.0,223.8,8.1236,27.08, ,0.070984,0.7002,12.41,25.61,2676
1,0.90, ,112.3,224.4,8.1238,27.08, ,0.070996,0.7002,12.43,25.58,2677
1,0.92, ,112.2,224.2,8.1237,27.08, ,0.070996,0.7002,12.41,25.59,2671
1,0.93, ,112.0,223.8,8.1236,27.08, ,0.070989,0.7002,12.41,25.61,2675
1,0.95, ,112.4,224.6,8.1238,27.08, ,0.071002,0.7001,12.42,25.57,2673
1,0.97, ,112.2,224.2,8.1237,27.08, ,0.070996,0.7001,12.41,25.59,2672
1,0.98, ,112.1,224.0,8.1238,27.08, ,0.070998,0.7001,12.42,25.60,2676
1,1.00, ,112.3,224.4,8.1237,27.08, ,0.070997,0.7001,12.42,25.58,2674
1,1.02, ,111.5,222.9,8.1236,27.08, ,0.070990,0.7001,12.41,25.65,2677
1,1.03, ,112.0,223.7,8.1235,27.08, ,0.070983,0.7001,12.41,25.61,2675
1,1.05, ,112.2,224.2,8.1234,27.08, ,0.070975,0.7001,12.42,25.59,2676
1,1.07, ,112.6,225.0,8.1233,27.08, ,0.070971,0.7001,12.42,25.55,2675
1,1.08, ,111.6,223.1,8.1232,27.08, ,0.070966,0.7001,12.41,25.64,2676
1,1.10, ,112.2,224.2,8.1233,27.08, ,0.070971,0.7001,12.44,25.59,2677
1,1.12, ,112.0,223.7,8.1240,27.08, ,0.071012,0.7001,12.41,25.61,2677
1,1.13, ,112.0,223.7,8.1239,27.08, ,0.071007,0.7001,12.42,25.61,2676
1,1.15, ,111.6,223.1,8.1238,27.08, ,0.071002,0.7000,12.43,25.64,2676
1,1.17, ,112.1,223.9,8.1237,27.08, ,0.070996,0.7000,12.43,25.60,2679
1,1.18, ,112.3,224.4,8.1236,27.08, ,0.070989,0.7000,12.42,25.58,2679
