DeviceId:CISME0006669c1a4f
Filename:/msc/Data/d5c4r6cor_Oct20_1310.csv
pH Slope(m): 0.05897
pH Eo (b): -0.40960
cal. Buffer pH: 8.04100
cal. Buffer temp. 24.03778
Salinity: 35
O2 0 Phase: 60.42000
O2 0 Temp: 25.00000
O2 100 Phase: 27.28000
O2 100 Temp: 23.97000
O2 LED Current: 150.00000
O2 Pressure Cal: 976.00000
Total number of steps: 1
Step Number: 1
Time Threshold: 1800
O2 Threshold:   0
pH Threshold: 0.000
Flow Rate: 5348.000000
Light Level: 0.000000
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.03, ,110.8,219.5,8.1318,27.59, ,0.071739,0.6890,12.18,25.64,3050
1,0.05, ,111.5,221.1,8.1319,27.59, ,0.071743,0.6890,12.23,25.57,3051
1,0.07, ,111.0,220.0,8.1318,27.59, ,0.071740,0.6890,12.20,25.62,3051
1,0.08, ,111.1,220.2,8.1319,27.59, ,0.071747,0.6890,12.20,25.61,3051
1,0.10, ,110.7,219.3,8.1319,27.59, ,0.071747,0.6890,12.19,25.65,3053
1,0.12, ,111.0,220.0,8.1319,27.59, ,0.071746,0.6890,12.18,25.62,3051
1,0.13, ,110.8,219.5,8.1318,27.59, ,0.071738,0.6890,12.18,25.64,3054
1,0.15, ,111.3,220.6,8.1316,27.59, ,0.071729,0.6890,12.18,25.59,3053
1,0.17, ,111.6,221.3,8.1316,27.59, ,0.071728,0.6890,12.23,25.56,3055
1,0.18, ,111.1,220.2,8.1317,27.59, ,0.071737,0.6890,12.22,25.61,3056
1,0.20, ,111.5,221.0,8.1316,27.60, ,0.071727,0.6890,12.19,25.57,3053
1,0.22, ,111.0,219.9,8.1314,27.60, ,0.071718,0.6889,12.19,25.62,3055
1,0.23, ,110.7,219.3,8.1315,27.60, ,0.071723,0.6889,12.20,25.65,3057
1,0.25, ,110.8,219.5,8.1315,27.60, ,0.071723,0.6889,12.19,25.64,3052
1,0.27, ,111.3,220.6,8.1318,27.60, ,0.071741,0.6889,12.21,25.59,3053
1,0.28, ,111.4,220.8,8.1320,27.60, ,0.071757,0.6889,12.20,25.58,3056
1,0.30, ,111.1,220.1,8.1323,27.60, ,0.071773,0.6889,12.19,25.61,3056
1,0.32, ,110.9,219.7,8.1320,27.60, ,0.071757,0.6889,12.20,25.63,3056
1,0.33, ,110.7,219.3,8.1317,27.60, ,0.071737,0.6889,12.20,25.65,3055
1,0.35, ,110.4,218.8,8.1316,27.60, ,0.071733,0.6889,12.22,25.67,3055
1,0.37, ,110.8,219.5,8.1314,27.60, ,0.071722,0.6889,12.21,25.64,3053
1,0.38, ,110.7,219.3,8.1315,27.60, ,0.071727,0.6889,12.21,25.65,3060
1,0.40, ,110.8,219.5,8.1316,27.60, ,0.071732,0.6888,12.19,25.64,3056
1,0.42, ,110.8,219.5,8.1314,27.60, ,0.071719,0.6888,12.19,25.64,3058
1,0.43, ,110.4,218.8,8.1316,27.60, ,0.071731,0.6888,12.20,25.67,3056
1,0.45, ,110.5,219.0,8.1315,27.60, ,0.071729,0.6888,12.22,25.66,3056
1,0.47, ,110.4,218.8,8.1317,27.60, ,0.071737,0.6888,12.21,25.67,3059
1,0.48, ,110.8,219.5,8.1317,27.60, ,0.071739,0.6888,12.21,25.64,3060
1,0.50, ,110.5,219.0,8.1318,27.60, ,0.071745,0.6888,12.23,25.66,3058
1,0.52, ,110.3,218.6,8.1320,27.60, ,0.071757,0.6888,12.22,25.68,3060
1,0.53, ,110.7,219.2,8.1320,27.60, ,0.071756,0.6888,12.21,25.65,3058
1,0.55, ,110.5,219.0,8.1320,27.60, ,0.071759,0.6888,12.19,25.66,3061
1,0.57, ,110.4,218.8,8.1320,27.60, ,0.071759,0.6888,12.18,25.67,3062
1,0.58, ,110.5,219.0,8.1319,27.61, ,0.071751,0.6887,12.19,25.66,3062
1,0.60, ,110.6,219.2,8.1320,27.61, ,0.071762,0.6887,12.18,25.65,3060
1,0.62, ,110.2,218.4,8.1319,27.61, ,0.071756,0.6887,12.19,25.69,3065
1,0.63, ,110.6,219.2,8.1318,27.61, ,0.071749,0.6887,12.21,25.65,3064
1,0.65, ,110.3,218.6,8.1317,27.61, ,0.071739,0.6887,12.20,25.68,3063
1,0.67, ,110.1,218.1,8.1317,27.61, ,0.071742,0.6887,12.20,25.70,3064
1,0.68, ,109.9,217.7,8.1316,27.61, ,0.071737,0.6887,12.20,25.72,3065
1,0.70, ,110.2,218.4,8.1316,27.61, ,0.071735,0.6887,12.18,25.69,3065
1,0.72, ,110.0,217.9,8.1315,27.61, ,0.071730,0.6887,12.23,25.71,3063
1,0.73, ,110.2,218.3,8.1316,27.61, ,0.071737,0.6887,12.20,25.69,3065
1,0.75, ,110.2,218.3,8.1315,27.61, ,0.071733,0.6886,12.19,25.69,3064
1,0.77, ,110.2,218.3,8.1318,27.61, ,0.071748,0.6886,12.20,25.69,3063
1,0.78, ,110.1,218.1,8.1321,27.61, ,0.071765,0.6886,12.20,25.70,3064
1,0.80, ,110.0,217.9,8.1319,27.61, ,0.071758,0.6886,12.18,25.71,3064
