DeviceId:CISME0006669c1e8a
Filename:/msc/Data/d5crr5cert_Oct20_1335.csv
pH Slope(m): 0.05897
pH Eo (b): -0.39247
cal. Buffer pH: 8.04100
cal. Buffer temp. 24.06105
Salinity: 35
O2 0 Phase: 60.42000
O2 0 Temp: 25.00000
O2 100 Phase: 27.38000
O2 100 Temp: 23.99000
O2 LED Current: 150.00000
O2 Pressure Cal: 976.00000
Total number of steps: 1
Step Number: 1
Time Threshold: 1800
O2 Threshold:   0
pH Threshold: 0.000
Flow Rate: 6262.000000
Light Level: 0.000000
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.03, ,109.7,216.8,8.0655,27.73, ,0.085001,0.6876,12.19,25.82,34909
1,0.03, ,110.0,217.5,8.0635,27.73, ,0.084879,0.6876,12.20,25.79,34909
1,0.05, ,109.8,217.1,8.0631,27.73, ,0.084858,0.6876,12.19,25.81,34939
1,0.07, ,109.7,216.8,8.0631,27.73, ,0.084860,0.6876,12.19,25.82,34945
1,0.08, ,109.7,216.8,8.0621,27.73, ,0.084800,0.6876,12.18,25.82,34928
1,0.10, ,109.5,216.6,8.0613,27.73, ,0.084750,0.6876,12.19,25.83,34953
1,0.12, ,109.5,216.6,8.0628,27.73, ,0.084843,0.6876,12.19,25.83,34944
1,0.13, ,109.4,216.4,8.0627,27.73, ,0.084833,0.6876,12.19,25.84,34972
1,0.15, ,109.4,216.4,8.0625,27.73, ,0.084825,0.6876,12.18,25.84,34975
1,0.17, ,109.3,216.2,8.0618,27.73, ,0.084779,0.6876,12.18,25.85,34981
1,0.18, ,109.3,216.2,8.0628,27.73, ,0.084844,0.6876,12.19,25.85,35009
1,0.20, ,109.3,216.2,8.0609,27.73, ,0.084730,0.6876,12.19,25.85,34991
1,0.22, ,109.3,216.2,8.0609,27.73, ,0.084727,0.6876,12.19,25.85,34993
1,0.23, ,109.2,216.0,8.0596,27.73, ,0.084654,0.6875,12.18,25.86,35008
1,0.25, ,109.0,215.6,8.0605,27.73, ,0.084704,0.6875,12.19,25.88,35035
1,0.27, ,109.0,215.6,8.0598,27.73, ,0.084666,0.6875,12.20,25.88,35043
1,0.28, ,109.1,215.8,8.0615,27.73, ,0.084767,0.6875,12.20,25.87,35053
1,0.30, ,109.0,215.6,8.0597,27.73, ,0.084657,0.6875,12.19,25.88,35065
1,0.32, ,108.9,215.3,8.0594,27.73, ,0.084642,0.6875,12.20,25.89,35063
1,0.33, ,108.8,215.1,8.0590,27.73, ,0.084616,0.6875,12.20,25.90,35075
1,0.35, ,108.9,215.3,8.0585,27.73, ,0.084584,0.6875,12.19,25.89,35082
1,0.37, ,108.8,215.1,8.0598,27.73, ,0.084666,0.6875,12.20,25.90,35077
1,0.38, ,108.7,214.9,8.0593,27.73, ,0.084632,0.6875,12.18,25.91,35089
1,0.40, ,108.7,214.9,8.0602,27.73, ,0.084689,0.6875,12.19,25.91,35080
1,0.42, ,108.6,214.7,8.0602,27.73, ,0.084688,0.6875,12.19,25.92,35103
1,0.43, ,108.6,214.7,8.0593,27.73, ,0.084635,0.6875,12.19,25.92,35087
1,0.45, ,108.6,214.7,8.0590,27.73, ,0.084617,0.6875,12.19,25.92,35098
1,0.47, ,108.6,214.7,8.0588,27.73, ,0.084608,0.6875,12.20,25.92,35111
1,0.48, ,108.6,214.7,8.0592,27.73, ,0.084627,0.6875,12.18,25.92,35125
1,0.50, ,108.4,214.3,8.0583,27.73, ,0.084577,0.6875,12.19,25.94,35137
1,0.52, ,108.5,214.5,8.0574,27.73, ,0.084522,0.6875,12.18,25.93,35128
1,0.53, ,108.5,214.5,8.0573,27.73, ,0.084515,0.6875,12.18,25.93,35121
1,0.55, ,108.4,214.3,8.0582,27.73, ,0.084572,0.6875,12.18,25.94,35149
1,0.57, ,108.4,214.3,8.0597,27.73, ,0.084658,0.6875,12.18,25.94,35168
1,0.58, ,108.3,214.1,8.0575,27.73, ,0.084529,0.6875,12.18,25.95,35154
1,0.60, ,108.2,213.9,8.0574,27.73, ,0.084523,0.6874,12.18,25.96,35139
1,0.62, ,108.2,213.9,8.0567,27.73, ,0.084481,0.6874,12.19,25.96,35153
1,0.63, ,108.2,213.9,8.0576,27.73, ,0.084537,0.6874,12.19,25.96,35168
1,0.65, ,108.2,213.8,8.0569,27.73, ,0.084494,0.6874,12.19,25.96,35204
1,0.67, ,107.9,213.4,8.0572,27.73, ,0.084510,0.6874,12.19,25.98,35206
1,0.68, ,108.2,213.8,8.0581,27.74, ,0.084564,0.6874,12.18,25.96,35206
1,0.70, ,107.9,213.4,8.0563,27.74, ,0.084456,0.6874,12.19,25.98,35213
1,0.72, ,107.9,213.4,8.0555,27.74, ,0.084409,0.6874,12.19,25.98,35229
1,0.73, ,108.1,213.6,8.0564,27.74, ,0.084463,0.6874,12.19,25.97,35280
1,0.75, ,107.7,213.0,8.0557,27.74, ,0.084424,0.6874,12.19,26.00,35283
1,0.77, ,107.5,212.6,8.0557,27.74, ,0.084422,0.6874,12.19,26.02,35286
1,0.78, ,107.7,213.0,8.0571,27.74, ,0.084504,0.6874,12.19,26.00,35304
1,0.80, ,107.7,213.0,8.0564,27.74, ,0.084464,0.6874,12.19,26.00,35314
1,0.82, ,107.6,212.8,8.0567,27.74, ,0.084482,0.6874,12.19,26.01,35296
1,0.83, ,107.5,212.6,8.0555,27.74, ,0.084411,0.6874,12.18,26.02,35314
1,0.85, ,107.5,212.6,8.0551,27.74, ,0.084387,0.6874,12.19,26.02,35329
1,0.87, ,107.3,212.2,8.0543,27.74, ,0.084338,0.6874,12.19,26.04,35323
1,0.88, ,107.5,212.6,8.0536,27.74, ,0.084300,0.6874,12.19,26.02,35333
1,0.90, ,107.4,212.4,8.0540,27.74, ,0.084321,0.6873,12.19,26.03,35351
1,0.92, ,107.4,212.4,8.0543,27.74, ,0.084340,0.6873,12.19,26.03,35337
1,0.93, ,107.3,212.2,8.0539,27.74, ,0.084315,0.6873,12.20,26.04,35386
1,0.95, ,107.2,212.0,8.0567,27.74, ,0.084482,0.6874,12.19,26.05,35375
1,0.97, ,107.1,211.8,8.0546,27.74, ,0.084357,0.6873,12.19,26.06,35364
1,0.98, ,107.0,211.5,8.0533,27.74, ,0.084280,0.6873,12.19,26.07,35398
1,1.00, ,107.0,211.5,8.0537,27.74, ,0.084305,0.6873,12.19,26.07,35386
1,1.02, ,107.1,211.7,8.0533,27.74, ,0.084283,0.6873,12.19,26.06,35407
1,1.03, ,107.0,211.5,8.0521,27.74, ,0.084212,0.6873,12.18,26.07,35398
1,1.05, ,106.9,211.3,8.0515,27.74, ,0.084176,0.6873,12.20,26.08,35396
1,1.07, ,106.9,211.3,8.0515,27.74, ,0.084175,0.6873,12.20,26.08,35430
1,1.08, ,107.0,211.5,8.0519,27.74, ,0.084199,0.6873,12.19,26.07,35438
1,1.10, ,106.9,211.3,8.0526,27.74, ,0.084241,0.6873,12.18,26.08,35439
1,1.12, ,106.8,211.1,8.0526,27.74, ,0.084241,0.6873,12.18,26.09,35449
1,1.13, ,106.6,210.7,8.0530,27.74, ,0.084261,0.6873,12.19,26.11,35459
1,1.15, ,106.7,210.9,8.0537,27.74, ,0.084305,0.6873,12.19,26.10,35475
1,1.17, ,106.7,210.9,8.0536,27.74, ,0.084302,0.6873,12.19,26.10,35471
1,1.18, ,106.5,210.5,8.0534,27.74, ,0.084288,0.6873,12.19,26.12,35474
1,1.20, ,106.5,210.5,8.0525,27.74, ,0.084233,0.6873,12.19,26.12,35503
1,1.22, ,106.5,210.5,8.0522,27.74, ,0.084216,0.6873,12.18,26.12,35515
1,1.23, ,106.4,210.3,8.0522,27.74, ,0.084214,0.6872,12.19,26.13,35509
1,1.25, ,106.3,210.1,8.0521,27.74, ,0.084210,0.6872,12.19,26.14,35509
1,1.27, ,106.4,210.3,8.0524,27.74, ,0.084228,0.6872,12.19,26.13,35545
1,1.28, ,106.3,210.1,8.0529,27.74, ,0.084258,0.6872,12.19,26.14,35548
1,1.30, ,106.3,210.1,8.0522,27.74, ,0.084218,0.6872,12.18,26.14,35540
1,1.32, ,106.3,210.1,8.0519,27.74, ,0.084201,0.6872,12.19,26.14,35563
1,1.33, ,106.1,209.7,8.0523,27.74, ,0.084224,0.6872,12.18,26.16,35569
1,1.35, ,106.1,209.7,8.0515,27.75, ,0.084175,0.6872,12.18,26.16,35572
1,1.37, ,106.1,209.7,8.0514,27.74, ,0.084172,0.6872,12.18,26.16,35590
1,1.38, ,105.9,209.3,8.0509,27.75, ,0.084141,0.6872,12.19,26.18,35568
1,1.40, ,106.0,209.5,8.0504,27.75, ,0.084110,0.6872,12.20,26.17,35590
1,1.42, ,105.9,209.3,8.0495,27.75, ,0.084056,0.6872,12.19,26.18,35607
1,1.43, ,105.9,209.3,8.0504,27.75, ,0.084113,0.6872,12.20,26.18,35611
1,1.45, ,106.0,209.5,8.0496,27.75, ,0.084064,0.6872,12.20,26.17,35605
1,1.47, ,105.8,209.1,8.0505,27.75, ,0.084115,0.6872,12.19,26.19,35639
1,1.48, ,105.7,208.9,8.0510,27.75, ,0.084147,0.6872,12.20,26.20,35649
1,1.50, ,105.6,208.8,8.0496,27.75, ,0.084063,0.6872,12.19,26.20,35649
1,1.52, ,105.9,209.2,8.0495,27.75, ,0.084058,0.6871,12.20,26.18,35653
1,1.53, ,105.6,208.8,8.0505,27.75, ,0.084117,0.6871,12.19,26.20,35665
1,1.55, ,105.3,208.2,8.0496,27.75, ,0.084065,0.6871,12.19,26.23,35661
1,1.57, ,105.5,208.6,8.0508,27.75, ,0.084135,0.6871,12.19,26.21,35680
1,1.58, ,105.4,208.4,8.0499,27.75, ,0.084082,0.6871,12.19,26.22,35666
1,1.60, ,105.3,208.2,8.0497,27.75, ,0.084068,0.6871,12.19,26.23,35682
1,1.62, ,105.3,208.2,8.0476,27.75, ,0.083942,0.6871,12.18,26.23,35716
1,1.63, ,105.2,208.0,8.0489,27.75, ,0.084020,0.6871,12.18,26.24,35716
1,1.65, ,105.2,208.0,8.0480,27.75, ,0.083971,0.6871,12.18,26.24,35724
1,1.67, ,105.2,208.0,8.0479,27.75, ,0.083961,0.6871,12.18,26.24,35701
1,1.68, ,105.1,207.8,8.0467,27.75, ,0.083891,0.6871,12.18,26.25,35731
1,1.70, ,105.1,207.8,8.0474,27.75, ,0.083932,0.6871,12.19,26.25,35709
1,1.72, ,104.9,207.4,8.0466,27.75, ,0.083886,0.6871,12.18,26.27,35740
1,1.73, ,104.9,207.4,8.0459,27.75, ,0.083842,0.6871,12.19,26.27,35742
1,1.75, ,105.0,207.6,8.0447,27.75, ,0.083770,0.6871,12.19,26.26,35765
1,1.77, ,104.8,207.2,8.0440,27.75, ,0.083731,0.6871,12.19,26.28,35781
1,1.78, ,104.9,207.4,8.0440,27.75, ,0.083731,0.6871,12.19,26.27,35772
1,1.80, ,104.8,207.2,8.0444,27.75, ,0.083753,0.6871,12.19,26.28,35821
1,1.82, ,104.8,207.2,8.0450,27.75, ,0.083788,0.6871,12.18,26.28,35828
1,1.83, ,104.7,207.0,8.0456,27.75, ,0.083826,0.6870,12.19,26.29,35821
1,1.85, ,104.7,207.0,8.0451,27.75, ,0.083799,0.6870,12.19,26.29,35812
1,1.87, ,104.7,207.0,8.0445,27.75, ,0.083760,0.6870,12.18,26.29,35825
1,1.88, ,104.7,207.0,8.0438,27.75, ,0.083723,0.6870,12.20,26.29,35843
1,1.90, ,104.6,206.8,8.0439,27.75, ,0.083727,0.6870,12.18,26.30,35848
1,1.92, ,104.3,206.2,8.0446,27.75, ,0.083770,0.6870,12.19,26.33,35853
1,1.93, ,104.5,206.6,8.0442,27.75, ,0.083742,0.6870,12.19,26.31,35854
1,1.95, ,104.4,206.4,8.0443,27.75, ,0.083751,0.6870,12.19,26.32,35876
1,1.97, ,104.3,206.2,8.0441,27.75, ,0.083737,0.6870,12.18,26.33,35880
1,1.98, ,104.3,206.2,8.0457,27.75, ,0.083831,0.6870,12.19,26.33,35869
1,2.00, ,104.4,206.4,8.0463,27.76, ,0.083869,0.6870,12.19,26.32,35905
1,2.02, ,104.2,206.0,8.0461,27.76, ,0.083857,0.6870,12.19,26.34,35919
1,2.03, ,104.3,206.2,8.0454,27.76, ,0.083819,0.6870,12.18,26.33,35931
1,2.05, ,104.0,205.6,8.0443,27.76, ,0.083750,0.6870,12.19,26.36,35940
1,2.07, ,104.1,205.8,8.0450,27.76, ,0.083795,0.6870,12.19,26.35,35944
