DeviceId:CISME0006669c1e8a
Filename:/msc/Data/d5r1c1corr_Oct20_1046.csv
pH Slope(m): 0.05897
pH Eo (b): -0.39247
cal. Buffer pH: 8.04100
cal. Buffer temp. 24.06105
Salinity: 35
O2 0 Phase: 60.42000
O2 0 Temp: 25.00000
O2 100 Phase: 27.38000
O2 100 Temp: 23.99000
O2 LED Current: 150.00000
O2 Pressure Cal: 976.00000
Total number of steps: 1
Step Number: 1
Time Threshold: 180
O2 Threshold:   0
pH Threshold: 0.000
Flow Rate: 6262.000000
Light Level: 0.000000
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.03, ,105.4,211.5,8.0537,26.82, ,0.083848,0.7073,12.63,26.37,36995
1,0.05, ,105.4,211.5,8.0523,26.82, ,0.083764,0.7073,12.63,26.37,36982
1,0.07, ,105.3,211.3,8.0519,26.82, ,0.083741,0.7073,12.62,26.38,36987
1,0.08, ,105.6,211.9,8.0507,26.82, ,0.083667,0.7073,12.61,26.35,36993
1,0.10, ,105.4,211.5,8.0533,26.82, ,0.083823,0.7073,12.62,26.37,36964
1,0.12, ,105.5,211.7,8.0516,26.82, ,0.083724,0.7073,12.62,26.36,36977
1,0.13, ,105.5,211.7,8.0520,26.82, ,0.083744,0.7073,12.63,26.36,36951
1,0.15, ,105.5,211.7,8.0535,26.82, ,0.083833,0.7073,12.61,26.36,36942
1,0.17, ,105.6,211.9,8.0526,26.82, ,0.083782,0.7073,12.61,26.35,36962
1,0.18, ,105.5,211.7,8.0524,26.82, ,0.083773,0.7073,12.63,26.36,36906
1,0.20, ,105.7,212.1,8.0515,26.82, ,0.083715,0.7073,12.64,26.34,36914
1,0.22, ,105.6,211.9,8.0529,26.82, ,0.083801,0.7073,12.62,26.35,36927
1,0.23, ,105.5,211.7,8.0537,26.82, ,0.083847,0.7073,12.61,26.36,36906
1,0.25, ,105.5,211.7,8.0528,26.82, ,0.083792,0.7074,12.62,26.36,36912
1,0.27, ,105.5,211.7,8.0539,26.82, ,0.083858,0.7074,12.61,26.36,36919
1,0.28, ,105.7,212.1,8.0521,26.82, ,0.083752,0.7074,12.62,26.34,36911
1,0.30, ,105.6,211.9,8.0535,26.82, ,0.083835,0.7074,12.64,26.35,36929
1,0.32, ,105.7,212.1,8.0529,26.82, ,0.083797,0.7074,12.62,26.34,36928
1,0.33, ,105.6,211.9,8.0522,26.82, ,0.083759,0.7074,12.60,26.35,36911
1,0.35, ,105.6,211.9,8.0525,26.82, ,0.083776,0.7074,12.62,26.35,36926
1,0.37, ,105.7,212.1,8.0538,26.82, ,0.083853,0.7074,12.64,26.34,36947
1,0.38, ,105.6,211.9,8.0529,26.82, ,0.083802,0.7074,12.60,26.35,36943
1,0.40, ,105.6,211.9,8.0529,26.82, ,0.083799,0.7074,12.62,26.35,36944
1,0.42, ,105.6,211.9,8.0523,26.82, ,0.083764,0.7074,12.63,26.35,36917
1,0.43, ,105.6,211.9,8.0511,26.82, ,0.083695,0.7074,12.61,26.35,36905
1,0.45, ,105.6,211.9,8.0516,26.82, ,0.083719,0.7074,12.64,26.35,36916
1,0.47, ,105.7,212.1,8.0520,26.82, ,0.083746,0.7074,12.63,26.34,36913
1,0.48, ,105.6,211.9,8.0515,26.82, ,0.083719,0.7074,12.61,26.35,36945
1,0.50, ,105.7,212.1,8.0525,26.82, ,0.083777,0.7074,12.63,26.34,36910
1,0.52, ,105.5,211.7,8.0521,26.82, ,0.083749,0.7074,12.61,26.36,36871
1,0.53, ,105.7,212.1,8.0521,26.82, ,0.083754,0.7074,12.61,26.34,36941
1,0.55, ,105.6,211.9,8.0526,26.82, ,0.083779,0.7074,12.61,26.35,36914
1,0.57, ,105.6,211.9,8.0533,26.82, ,0.083825,0.7074,12.63,26.35,36907
1,0.58, ,105.7,212.1,8.0543,26.82, ,0.083882,0.7074,12.61,26.34,36898
1,0.60, ,105.6,211.9,8.0534,26.82, ,0.083828,0.7074,12.60,26.35,36920
1,0.62, ,105.7,212.1,8.0529,26.82, ,0.083798,0.7074,12.60,26.34,36906
1,0.63, ,105.7,212.1,8.0533,26.82, ,0.083824,0.7074,12.61,26.34,36920
1,0.65, ,105.6,211.9,8.0530,26.82, ,0.083808,0.7074,12.61,26.35,36920
1,0.67, ,105.7,212.1,8.0532,26.82, ,0.083818,0.7074,12.61,26.34,36920
1,0.68, ,105.6,211.9,8.0527,26.82, ,0.083787,0.7074,12.62,26.35,36927
1,0.70, ,105.7,212.1,8.0523,26.82, ,0.083766,0.7074,12.61,26.34,36997
1,0.72, ,105.7,212.1,8.0533,26.82, ,0.083822,0.7074,12.61,26.34,37000
1,0.73, ,105.6,211.9,8.0511,26.82, ,0.083692,0.7074,12.60,26.35,37022
1,0.75, ,105.7,212.1,8.0526,26.82, ,0.083781,0.7074,12.62,26.34,37028
1,0.77, ,105.6,211.9,8.0515,26.82, ,0.083718,0.7074,12.61,26.35,37002
1,0.78, ,105.7,212.1,8.0528,26.82, ,0.083793,0.7074,12.60,26.34,36977
1,0.80, ,105.7,212.1,8.0521,26.82, ,0.083751,0.7074,12.60,26.34,36981
1,0.82, ,105.7,212.1,8.0518,26.82, ,0.083735,0.7074,12.62,26.34,37005
1,0.83, ,105.6,211.9,8.0524,26.82, ,0.083772,0.7074,12.62,26.35,37027
1,0.85, ,105.6,211.9,8.0525,26.82, ,0.083778,0.7074,12.62,26.35,37000
1,0.87, ,105.6,211.9,8.0515,26.82, ,0.083717,0.7074,12.61,26.35,37005
1,0.88, ,105.7,212.1,8.0509,26.82, ,0.083681,0.7074,12.60,26.34,37005
1,0.90, ,105.6,211.9,8.0522,26.82, ,0.083760,0.7074,12.63,26.35,37010
1,0.92, ,105.6,211.9,8.0528,26.82, ,0.083793,0.7074,12.65,26.35,37029
1,0.93, ,105.3,211.3,8.0526,26.82, ,0.083780,0.7074,12.62,26.38,37033
1,0.95, ,105.5,211.7,8.0526,26.82, ,0.083780,0.7074,12.64,26.36,37035
1,0.97, ,105.5,211.7,8.0532,26.82, ,0.083819,0.7074,12.61,26.36,37024
1,0.98, ,105.5,211.7,8.0532,26.82, ,0.083817,0.7074,12.62,26.36,37053
1,1.00, ,105.5,211.7,8.0522,26.82, ,0.083755,0.7074,12.60,26.36,37068
1,1.02, ,105.4,211.5,8.0519,26.82, ,0.083742,0.7074,12.62,26.37,37046
1,1.03, ,105.4,211.5,8.0531,26.82, ,0.083812,0.7074,12.60,26.37,36994
1,1.05, ,105.2,211.1,8.0516,26.82, ,0.083723,0.7074,12.64,26.39,37011
1,1.07, ,105.4,211.5,8.0536,26.82, ,0.083839,0.7074,12.62,26.37,36994
1,1.07, ,105.3,211.3,8.0531,26.82, ,0.083808,0.7074,12.59,26.38,36954
1,1.08, ,105.2,211.1,8.0529,26.82, ,0.083798,0.7074,12.63,26.39,37027
1,1.12, ,105.2,211.1,8.0537,26.82, ,0.083848,0.7074,12.61,26.39,36977
1,1.12, ,105.4,211.5,8.0537,26.82, ,0.083848,0.7074,12.61,26.37,36961
1,1.13, ,105.4,211.5,8.0521,26.82, ,0.083750,0.7074,12.60,26.37,36995
1,1.15, ,105.5,211.7,8.0526,26.82, ,0.083779,0.7074,12.63,26.36,36973
1,1.17, ,105.6,211.9,8.0538,26.82, ,0.083853,0.7074,12.61,26.35,36928
1,1.18, ,105.5,211.7,8.0530,26.82, ,0.083804,0.7074,12.61,26.36,36920
1,1.20, ,105.5,211.7,8.0527,26.82, ,0.083788,0.7074,12.62,26.36,36970
1,1.22, ,105.4,211.5,8.0530,26.82, ,0.083804,0.7074,12.61,26.37,36976
1,1.23, ,105.6,211.9,8.0543,26.82, ,0.083880,0.7074,12.63,26.35,36974
1,1.25, ,105.5,211.7,8.0536,26.82, ,0.083838,0.7074,12.60,26.36,37001
1,1.27, ,105.5,211.7,8.0538,26.82, ,0.083851,0.7074,12.61,26.36,36950
1,1.28, ,105.5,211.7,8.0534,26.82, ,0.083829,0.7074,12.60,26.36,36874
1,1.30, ,105.5,211.7,8.0517,26.82, ,0.083724,0.7074,12.61,26.36,36937
1,1.32, ,105.4,211.5,8.0528,26.82, ,0.083793,0.7074,12.62,26.37,36951
1,1.33, ,105.3,211.3,8.0516,26.82, ,0.083724,0.7074,12.60,26.38,36961
1,1.35, ,105.4,211.5,8.0536,26.82, ,0.083839,0.7074,12.61,26.37,36973
1,1.37, ,105.3,211.3,8.0541,26.82, ,0.083872,0.7074,12.61,26.38,36936
1,1.38, ,105.5,211.7,8.0545,26.82, ,0.083893,0.7074,12.62,26.36,36921
1,1.40, ,105.2,211.1,8.0544,26.82, ,0.083886,0.7074,12.61,26.39,36917
1,1.42, ,105.4,211.5,8.0540,26.82, ,0.083867,0.7074,12.62,26.37,36868
1,1.43, ,105.4,211.5,8.0539,26.82, ,0.083858,0.7074,12.63,26.37,36945
1,1.45, ,105.5,211.7,8.0546,26.82, ,0.083901,0.7074,12.62,26.36,36926
1,1.47, ,105.6,211.9,8.0532,26.82, ,0.083814,0.7074,12.60,26.35,36884
1,1.48, ,105.6,211.9,8.0531,26.82, ,0.083809,0.7074,12.61,26.35,36934
1,1.50, ,105.5,211.7,8.0532,26.82, ,0.083813,0.7074,12.60,26.36,36935
1,1.52, ,105.5,211.7,8.0533,26.82, ,0.083822,0.7074,12.63,26.36,36920
1,1.53, ,105.4,211.5,8.0552,26.82, ,0.083934,0.7074,12.64,26.37,36924
1,1.55, ,105.5,211.7,8.0541,26.82, ,0.083872,0.7074,12.62,26.36,36927
1,1.57, ,105.6,211.9,8.0523,26.82, ,0.083761,0.7074,12.64,26.35,36888
1,1.58, ,105.5,211.7,8.0529,26.82, ,0.083798,0.7074,12.61,26.36,36933
1,1.60, ,105.6,211.9,8.0533,26.82, ,0.083823,0.7074,12.61,26.35,37013
1,1.62, ,105.6,211.9,8.0541,26.82, ,0.083868,0.7074,12.61,26.35,36967
1,1.63, ,105.8,212.4,8.0515,26.82, ,0.083718,0.7074,12.61,26.33,36944
1,1.65, ,105.7,212.1,8.0539,26.82, ,0.083858,0.7074,12.60,26.34,36866
1,1.67, ,105.6,211.9,8.0520,26.82, ,0.083744,0.7074,12.62,26.35,36926
1,1.68, ,105.7,212.2,8.0527,26.82, ,0.083788,0.7074,12.61,26.34,36973
1,1.70, ,105.6,211.9,8.0533,26.82, ,0.083821,0.7074,12.59,26.35,36897
1,1.72, ,105.5,211.7,8.0533,26.82, ,0.083823,0.7074,12.64,26.36,36854
1,1.73, ,105.6,211.9,8.0522,26.82, ,0.083759,0.7074,12.60,26.35,36983
1,1.75, ,105.5,211.7,8.0540,26.82, ,0.083866,0.7074,12.61,26.36,36989
1,1.77, ,105.4,211.5,8.0532,26.82, ,0.083818,0.7074,12.59,26.37,36961
1,1.78, ,105.6,211.9,8.0515,26.82, ,0.083717,0.7074,12.62,26.35,36987
1,1.80, ,105.4,211.5,8.0521,26.82, ,0.083749,0.7074,12.60,26.37,36992
1,1.82, ,105.5,211.7,8.0524,26.82, ,0.083770,0.7074,12.59,26.36,36977
1,1.83, ,105.4,211.5,8.0526,26.82, ,0.083778,0.7074,12.61,26.37,36978
1,1.85, ,105.2,211.1,8.0524,26.82, ,0.083766,0.7074,12.61,26.39,36947
1,1.87, ,105.4,211.5,8.0525,26.82, ,0.083776,0.7074,12.60,26.37,36971
1,1.88, ,105.2,211.1,8.0533,26.82, ,0.083819,0.7074,12.60,26.39,36997
1,1.90, ,105.4,211.5,8.0525,26.82, ,0.083773,0.7074,12.62,26.37,36989
1,1.92, ,105.3,211.3,8.0525,26.82, ,0.083775,0.7074,12.62,26.38,36973
1,1.93, ,105.4,211.5,8.0516,26.82, ,0.083721,0.7074,12.62,26.37,37003
1,1.95, ,105.4,211.5,8.0521,26.82, ,0.083749,0.7074,12.61,26.37,36967
1,1.97, ,105.4,211.5,8.0518,26.82, ,0.083735,0.7074,12.60,26.37,36955
1,1.98, ,105.2,211.1,8.0512,26.82, ,0.083699,0.7074,12.62,26.39,37036
1,2.00, ,105.3,211.3,8.0510,26.82, ,0.083687,0.7074,12.62,26.38,37019
1,2.02, ,105.4,211.5,8.0512,26.82, ,0.083697,0.7074,12.63,26.37,37017
1,2.03, ,105.4,211.5,8.0534,26.82, ,0.083830,0.7074,12.61,26.37,36991
1,2.05, ,105.2,211.1,8.0525,26.82, ,0.083776,0.7074,12.61,26.39,36984
1,2.07, ,105.3,211.3,8.0529,26.82, ,0.083795,0.7074,12.60,26.38,37001
1,2.08, ,105.3,211.3,8.0523,26.82, ,0.083762,0.7074,12.62,26.38,36944
1,2.10, ,105.3,211.3,8.0510,26.82, ,0.083687,0.7074,12.60,26.38,36984
1,2.12, ,105.2,211.1,8.0515,26.82, ,0.083713,0.7074,12.61,26.39,36923
1,2.13, ,105.2,211.1,8.0524,26.82, ,0.083770,0.7074,12.61,26.39,36949
1,2.15, ,105.1,210.9,8.0514,26.82, ,0.083712,0.7074,12.59,26.40,36997
1,2.17, ,105.1,210.9,8.0517,26.82, ,0.083727,0.7074,12.60,26.40,36944
1,2.18, ,105.1,210.9,8.0532,26.82, ,0.083816,0.7074,12.59,26.40,36976
1,2.20, ,105.3,211.3,8.0505,26.82, ,0.083654,0.7074,12.60,26.38,37030
1,2.22, ,105.3,211.3,8.0524,26.82, ,0.083766,0.7074,12.61,26.38,36976
1,2.23, ,105.3,211.3,8.0514,26.82, ,0.083711,0.7074,12.59,26.38,37015
1,2.25, ,105.1,210.9,8.0521,26.82, ,0.083753,0.7074,12.63,26.40,37001
1,2.27, ,105.1,210.9,8.0520,26.82, ,0.083745,0.7074,12.59,26.40,36901
1,2.28, ,105.2,211.1,8.0528,26.82, ,0.083791,0.7074,12.61,26.39,36967
1,2.30, ,105.2,211.1,8.0524,26.82, ,0.083769,0.7074,12.58,26.39,36959
1,2.32, ,105.1,210.9,8.0519,26.82, ,0.083739,0.7074,12.60,26.40,36946
1,2.33, ,105.3,211.3,8.0536,26.82, ,0.083843,0.7074,12.62,26.38,36913
1,2.35, ,105.4,211.5,8.0529,26.82, ,0.083798,0.7074,12.61,26.37,36935
