DeviceId:CISME0006669c1a4f
Filename:/msc/Data/d5r2b1c2_Oct20_1049.csv
pH Slope(m): 0.05897
pH Eo (b): -0.40960
cal. Buffer pH: 8.04100
cal. Buffer temp. 24.03778
Salinity: 35
O2 0 Phase: 60.42000
O2 0 Temp: 25.00000
O2 100 Phase: 27.28000
O2 100 Temp: 23.97000
O2 LED Current: 150.00000
O2 Pressure Cal: 976.00000
Total number of steps: 1
Step Number: 1
Time Threshold: 180
O2 Threshold:   0
pH Threshold: 0.000
Flow Rate: 5348.000000
Light Level: 0.000000
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.03, ,110.7,222.4,8.1294,26.77, ,0.071174,0.7069,12.56,25.77,2683
1,0.05, ,110.5,222.0,8.1312,26.77, ,0.071285,0.7069,12.56,25.79,2682
1,0.07, ,111.1,223.1,8.1323,26.77, ,0.071350,0.7069,12.55,25.74,2684
1,0.08, ,111.0,222.8,8.1317,26.77, ,0.071311,0.7069,12.53,25.75,2686
1,0.10, ,110.5,222.0,8.1313,26.77, ,0.071287,0.7069,12.54,25.79,2687
1,0.12, ,111.4,223.7,8.1316,26.77, ,0.071308,0.7069,12.56,25.71,2686
1,0.13, ,111.1,223.1,8.1324,26.77, ,0.071352,0.7069,12.55,25.74,2683
1,0.15, ,110.7,222.4,8.1313,26.77, ,0.071288,0.7069,12.57,25.77,2681
1,0.17, ,110.3,221.5,8.1321,26.77, ,0.071336,0.7069,12.54,25.81,2682
1,0.18, ,111.3,223.5,8.1315,26.77, ,0.071301,0.7069,12.56,25.72,2687
1,0.20, ,111.4,223.7,8.1305,26.77, ,0.071244,0.7069,12.57,25.71,2684
1,0.22, ,110.7,222.4,8.1307,26.77, ,0.071255,0.7069,12.56,25.77,2683
1,0.23, ,110.7,222.4,8.1301,26.77, ,0.071217,0.7069,12.56,25.77,2680
1,0.25, ,111.6,224.2,8.1312,26.77, ,0.071280,0.7069,12.56,25.69,2689
1,0.27, ,110.5,222.0,8.1302,26.77, ,0.071222,0.7069,12.57,25.79,2688
1,0.28, ,111.0,222.9,8.1311,26.77, ,0.071275,0.7069,12.57,25.75,2687
1,0.30, ,111.4,223.7,8.1307,26.77, ,0.071252,0.7069,12.58,25.71,2686
1,0.32, ,110.5,222.0,8.1310,26.77, ,0.071273,0.7069,12.55,25.79,2684
1,0.33, ,111.2,223.3,8.1313,26.77, ,0.071289,0.7069,12.56,25.73,2688
1,0.35, ,110.6,222.2,8.1309,26.77, ,0.071265,0.7069,12.56,25.78,2689
1,0.37, ,110.5,222.0,8.1303,26.77, ,0.071231,0.7069,12.54,25.79,2687
1,0.38, ,111.1,223.1,8.1306,26.77, ,0.071246,0.7069,12.56,25.74,2692
1,0.40, ,110.3,221.6,8.1310,26.77, ,0.071270,0.7069,12.57,25.81,2686
1,0.42, ,109.9,220.7,8.1307,26.77, ,0.071252,0.7069,12.56,25.85,2684
1,0.43, ,110.1,221.1,8.1308,26.77, ,0.071257,0.7069,12.57,25.83,2689
1,0.45, ,110.4,221.8,8.1307,26.77, ,0.071252,0.7069,12.54,25.80,2688
1,0.47, ,110.5,222.0,8.1313,26.77, ,0.071288,0.7069,12.56,25.79,2684
1,0.48, ,111.3,223.5,8.1308,26.77, ,0.071257,0.7069,12.57,25.72,2685
1,0.50, ,110.3,221.6,8.1313,26.77, ,0.071291,0.7069,12.55,25.81,2681
1,0.52, ,110.5,222.0,8.1315,26.77, ,0.071302,0.7069,12.57,25.79,2686
1,0.53, ,110.6,222.2,8.1313,26.77, ,0.071286,0.7069,12.56,25.78,2690
1,0.55, ,110.0,220.9,8.1302,26.77, ,0.071220,0.7069,12.57,25.84,2675
1,0.57, ,111.3,223.5,8.1304,26.77, ,0.071233,0.7069,12.54,25.72,2689
1,0.58, ,111.1,223.1,8.1300,26.77, ,0.071208,0.7069,12.57,25.74,2694
1,0.60, ,110.6,222.2,8.1301,26.77, ,0.071214,0.7069,12.56,25.78,2686
1,0.62, ,110.6,222.2,8.1312,26.77, ,0.071285,0.7069,12.55,25.78,2689
1,0.63, ,110.3,221.6,8.1302,26.77, ,0.071224,0.7069,12.56,25.81,2691
1,0.65, ,110.6,222.2,8.1305,26.77, ,0.071243,0.7069,12.56,25.78,2683
1,0.67, ,111.2,223.3,8.1310,26.77, ,0.071269,0.7069,12.56,25.73,2689
1,0.68, ,110.5,222.0,8.1310,26.77, ,0.071267,0.7069,12.53,25.79,2689
1,0.70, ,110.4,221.8,8.1306,26.77, ,0.071248,0.7069,12.55,25.80,2688
1,0.72, ,110.4,221.8,8.1307,26.77, ,0.071252,0.7069,12.55,25.80,2688
1,0.73, ,111.0,222.9,8.1307,26.77, ,0.071254,0.7070,12.55,25.75,2690
1,0.75, ,110.6,222.2,8.1314,26.77, ,0.071291,0.7070,12.55,25.78,2691
1,0.77, ,110.9,222.7,8.1318,26.77, ,0.071319,0.7070,12.57,25.76,2688
1,0.78, ,110.5,222.0,8.1308,26.77, ,0.071257,0.7070,12.56,25.79,2685
1,0.80, ,110.8,222.4,8.1307,26.77, ,0.071250,0.7070,12.56,25.77,2684
1,0.82, ,111.0,222.9,8.1312,26.77, ,0.071283,0.7070,12.56,25.75,2681
1,0.83, ,111.3,223.5,8.1319,26.77, ,0.071323,0.7070,12.55,25.72,2679
1,0.85, ,110.4,221.8,8.1308,26.77, ,0.071256,0.7070,12.56,25.80,2683
1,0.87, ,110.8,222.4,8.1306,26.77, ,0.071243,0.7070,12.55,25.77,2688
1,0.88, ,110.5,222.0,8.1307,26.77, ,0.071254,0.7070,12.57,25.79,2678
1,0.90, ,110.6,222.2,8.1305,26.77, ,0.071238,0.7070,12.56,25.78,2680
1,0.92, ,111.0,222.9,8.1310,26.77, ,0.071270,0.7070,12.54,25.75,2684
1,0.93, ,110.8,222.4,8.1304,26.77, ,0.071232,0.7070,12.55,25.77,2686
1,0.95, ,110.6,222.2,8.1305,26.77, ,0.071237,0.7070,12.54,25.78,2685
1,0.97, ,111.0,222.9,8.1319,26.77, ,0.071322,0.7070,12.56,25.75,2680
