DeviceId:CISME0006669c1e8a
Filename:/msc/Data/d6b1r1_Oct21_1041.csv
pH Slope(m): 0.05897
pH Eo (b): -0.39247
cal. Buffer pH: 8.04100
cal. Buffer temp. 24.06105
Salinity: 35
O2 0 Phase: 60.42000
O2 0 Temp: 25.00000
O2 100 Phase: 27.38000
O2 100 Temp: 23.99000
O2 LED Current: 150.00000
O2 Pressure Cal: 976.00000
Total number of steps: 1
Step Number: 1
Time Threshold: 180
O2 Threshold:   0
pH Threshold: 0.000
Flow Rate: 6262.000000
Light Level: 0.000000
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.03, ,100.0,202.3,8.0307,26.36, ,0.082256,0.7175,12.62,26.99,36921
1,0.05, ,100.1,202.4,8.0295,26.36, ,0.082181,0.7175,12.63,26.98,36920
1,0.07, ,100.0,202.3,8.0282,26.36, ,0.082104,0.7175,12.62,26.99,36922
1,0.08, ,99.9,202.1,8.0276,26.36, ,0.082067,0.7175,12.64,27.00,36922
1,0.10, ,100.0,202.3,8.0271,26.36, ,0.082036,0.7175,12.63,26.99,36919
1,0.12, ,99.9,202.1,8.0261,26.36, ,0.081980,0.7175,12.62,27.00,36921
1,0.13, ,100.0,202.3,8.0277,26.36, ,0.082072,0.7175,12.63,26.99,36921
1,0.15, ,100.0,202.3,8.0279,26.36, ,0.082089,0.7175,12.63,26.99,36919
1,0.17, ,99.9,202.1,8.0285,26.36, ,0.082120,0.7175,12.65,27.00,36914
1,0.18, ,100.1,202.5,8.0288,26.36, ,0.082140,0.7175,12.63,26.98,36911
1,0.20, ,100.0,202.3,8.0284,26.36, ,0.082113,0.7175,12.63,26.99,36912
1,0.22, ,100.1,202.4,8.0279,26.36, ,0.082084,0.7175,12.63,26.98,36907
1,0.23, ,100.0,202.3,8.0275,26.36, ,0.082060,0.7175,12.63,26.99,36909
1,0.25, ,100.1,202.5,8.0280,26.36, ,0.082095,0.7175,12.63,26.98,36909
1,0.27, ,99.9,202.1,8.0285,26.36, ,0.082123,0.7175,12.65,27.00,36904
1,0.28, ,100.0,202.3,8.0289,26.36, ,0.082143,0.7175,12.62,26.99,36908
1,0.30, ,99.9,202.1,8.0278,26.36, ,0.082081,0.7175,12.64,27.00,36908
1,0.32, ,100.0,202.3,8.0266,26.36, ,0.082009,0.7175,12.64,26.99,36905
1,0.33, ,100.1,202.5,8.0279,26.36, ,0.082085,0.7176,12.63,26.98,36906
1,0.35, ,100.0,202.3,8.0288,26.36, ,0.082138,0.7176,12.64,26.99,36908
1,0.37, ,99.9,202.1,8.0287,26.36, ,0.082132,0.7176,12.63,27.00,36904
1,0.40, ,100.1,202.5,8.0278,26.36, ,0.082079,0.7176,12.64,26.98,36901
1,0.42, ,100.2,202.6,8.0274,26.36, ,0.082057,0.7176,12.64,26.97,36899
1,0.43, ,100.1,202.5,8.0274,26.36, ,0.082057,0.7176,12.63,26.98,36894
1,0.45, ,100.1,202.5,8.0296,26.36, ,0.082187,0.7176,12.63,26.98,36894
1,0.47, ,100.1,202.5,8.0296,26.36, ,0.082188,0.7176,12.64,26.98,36889
1,0.48, ,100.1,202.5,8.0295,26.36, ,0.082179,0.7176,12.63,26.98,36888
1,0.50, ,100.1,202.5,8.0282,26.36, ,0.082101,0.7176,12.63,26.98,36888
1,0.52, ,100.2,202.6,8.0279,26.36, ,0.082085,0.7176,12.64,26.97,36889
1,0.53, ,100.2,202.6,8.0275,26.36, ,0.082063,0.7176,12.65,26.97,36888
1,0.55, ,100.1,202.5,8.0276,26.36, ,0.082066,0.7176,12.66,26.98,36885
1,0.57, ,100.2,202.7,8.0276,26.36, ,0.082067,0.7176,12.62,26.97,36889
1,0.58, ,100.2,202.7,8.0285,26.36, ,0.082122,0.7176,12.62,26.97,36889
1,0.60, ,100.1,202.5,8.0282,26.36, ,0.082106,0.7176,12.63,26.98,36892
1,0.62, ,100.1,202.5,8.0278,26.36, ,0.082082,0.7176,12.65,26.98,36887
1,0.63, ,100.0,202.3,8.0281,26.36, ,0.082099,0.7176,12.65,26.99,36896
1,0.65, ,100.0,202.3,8.0279,26.36, ,0.082088,0.7176,12.64,26.99,36900
1,0.67, ,100.1,202.5,8.0278,26.36, ,0.082082,0.7176,12.63,26.98,36901
1,0.68, ,100.0,202.3,8.0275,26.36, ,0.082063,0.7176,12.62,26.99,36900
1,0.70, ,100.0,202.3,8.0287,26.36, ,0.082134,0.7176,12.62,26.99,36905
1,0.72, ,100.0,202.3,8.0281,26.36, ,0.082096,0.7176,12.64,26.99,36902
1,0.73, ,100.0,202.3,8.0276,26.36, ,0.082067,0.7176,12.62,26.99,36902
1,0.75, ,100.2,202.7,8.0279,26.36, ,0.082084,0.7176,12.64,26.97,36906
1,0.77, ,100.1,202.5,8.0281,26.36, ,0.082097,0.7176,12.62,26.98,36909
1,0.78, ,100.1,202.5,8.0293,26.36, ,0.082168,0.7176,12.62,26.98,36905
1,0.80, ,100.0,202.3,8.0284,26.36, ,0.082118,0.7176,12.66,26.99,36912
1,0.82, ,100.1,202.5,8.0291,26.36, ,0.082158,0.7176,12.65,26.98,36905
1,0.83, ,99.9,202.1,8.0290,26.36, ,0.082153,0.7176,12.62,27.00,36904
1,0.85, ,100.1,202.5,8.0292,26.36, ,0.082160,0.7176,12.63,26.98,36901
1,0.87, ,100.1,202.5,8.0291,26.36, ,0.082154,0.7176,12.62,26.98,36906
1,0.88, ,100.1,202.5,8.0298,26.36, ,0.082197,0.7176,12.63,26.98,36898
1,0.90, ,100.0,202.3,8.0293,26.36, ,0.082168,0.7176,12.62,26.99,36895
1,0.92, ,100.1,202.5,8.0300,26.36, ,0.082212,0.7176,12.65,26.98,36894
1,0.93, ,100.2,202.7,8.0296,26.36, ,0.082187,0.7176,12.67,26.97,36880
1,0.95, ,100.2,202.7,8.0293,26.36, ,0.082167,0.7176,12.64,26.97,36887
1,0.97, ,100.2,202.7,8.0297,26.36, ,0.082191,0.7176,12.63,26.97,36885
1,0.98, ,100.2,202.7,8.0291,26.36, ,0.082156,0.7176,12.64,26.97,36879
1,1.00, ,100.3,202.9,8.0294,26.36, ,0.082171,0.7176,12.65,26.96,36876
1,1.02, ,100.3,202.9,8.0297,26.36, ,0.082191,0.7176,12.63,26.96,36868
1,1.03, ,100.3,202.9,8.0295,26.36, ,0.082179,0.7176,12.65,26.96,36864
1,1.05, ,100.2,202.7,8.0286,26.36, ,0.082126,0.7176,12.62,26.97,36865
1,1.07, ,100.4,203.0,8.0286,26.36, ,0.082126,0.7176,12.64,26.95,36860
1,1.08, ,100.4,203.0,8.0270,26.36, ,0.082031,0.7176,12.62,26.95,36862
1,1.10, ,100.3,202.9,8.0280,26.36, ,0.082091,0.7176,12.67,26.96,36862
1,1.12, ,100.3,202.9,8.0283,26.36, ,0.082106,0.7176,12.64,26.96,36868
1,1.13, ,100.3,202.9,8.0280,26.36, ,0.082092,0.7176,12.61,26.96,36868
1,1.15, ,100.3,202.9,8.0291,26.36, ,0.082159,0.7176,12.63,26.96,36872
1,1.17, ,100.2,202.7,8.0292,26.36, ,0.082160,0.7176,12.62,26.97,36875
1,1.18, ,100.2,202.7,8.0284,26.36, ,0.082112,0.7176,12.64,26.97,36879
1,1.20, ,100.2,202.7,8.0285,26.36, ,0.082122,0.7176,12.63,26.97,36879
1,1.22, ,100.2,202.7,8.0288,26.36, ,0.082136,0.7176,12.63,26.97,36880
1,1.23, ,100.3,202.9,8.0291,26.36, ,0.082157,0.7176,12.63,26.96,36879
1,1.25, ,100.2,202.7,8.0286,26.36, ,0.082124,0.7176,12.63,26.97,36881
1,1.27, ,100.2,202.7,8.0285,26.36, ,0.082120,0.7176,12.62,26.97,36883
1,1.28, ,100.3,202.9,8.0274,26.36, ,0.082054,0.7176,12.64,26.96,36883
1,1.30, ,100.1,202.5,8.0280,26.36, ,0.082093,0.7176,12.65,26.98,36883
1,1.32, ,100.3,202.9,8.0276,26.36, ,0.082066,0.7176,12.61,26.96,36878
1,1.33, ,100.3,202.9,8.0289,26.36, ,0.082144,0.7176,12.61,26.96,36877
1,1.35, ,100.3,202.9,8.0285,26.36, ,0.082120,0.7176,12.64,26.96,36870
1,1.37, ,100.3,202.9,8.0290,26.36, ,0.082151,0.7176,12.62,26.96,36864
1,1.38, ,100.4,203.0,8.0279,26.36, ,0.082082,0.7176,12.61,26.95,36863
1,1.40, ,100.4,203.0,8.0294,26.36, ,0.082174,0.7176,12.65,26.95,36861
1,1.42, ,100.4,203.0,8.0295,26.36, ,0.082178,0.7176,12.64,26.95,36856
1,1.43, ,100.5,203.2,8.0286,26.36, ,0.082124,0.7176,12.63,26.94,36855
1,1.45, ,100.3,202.9,8.0282,26.36, ,0.082101,0.7176,12.66,26.96,36855
1,1.47, ,100.3,202.9,8.0276,26.36, ,0.082070,0.7176,12.62,26.96,36861
1,1.48, ,100.5,203.2,8.0272,26.36, ,0.082043,0.7176,12.64,26.94,36858
1,1.50, ,100.4,203.0,8.0286,26.36, ,0.082124,0.7176,12.63,26.95,36863
1,1.52, ,100.4,203.0,8.0285,26.36, ,0.082121,0.7176,12.62,26.95,36863
1,1.53, ,100.5,203.2,8.0292,26.36, ,0.082159,0.7176,12.63,26.94,36861
1,1.55, ,100.3,202.9,8.0284,26.36, ,0.082113,0.7176,12.62,26.96,36870
1,1.57, ,100.3,202.9,8.0284,26.36, ,0.082115,0.7176,12.63,26.96,36863
1,1.58, ,100.3,202.9,8.0278,26.36, ,0.082081,0.7176,12.64,26.96,36865
1,1.60, ,100.3,202.9,8.0272,26.36, ,0.082045,0.7176,12.64,26.96,36872
1,1.62, ,100.3,202.9,8.0287,26.36, ,0.082131,0.7176,12.62,26.96,36870
1,1.63, ,100.3,202.9,8.0286,26.36, ,0.082128,0.7176,12.63,26.96,36865
1,1.65, ,100.4,203.1,8.0282,26.36, ,0.082104,0.7176,12.65,26.95,36862
1,1.67, ,100.3,202.9,8.0269,26.36, ,0.082028,0.7176,12.61,26.96,36864
1,1.68, ,100.3,202.9,8.0283,26.36, ,0.082107,0.7176,12.62,26.96,36863
1,1.70, ,100.4,203.0,8.0285,26.36, ,0.082122,0.7176,12.62,26.95,36866
1,1.72, ,100.2,202.7,8.0277,26.36, ,0.082073,0.7176,12.62,26.97,36868
1,1.73, ,100.3,202.9,8.0284,26.36, ,0.082113,0.7176,12.61,26.96,36867
1,1.75, ,100.4,203.0,8.0282,26.36, ,0.082103,0.7176,12.65,26.95,36869
1,1.77, ,100.3,202.9,8.0278,26.36, ,0.082076,0.7176,12.62,26.96,36868
1,1.78, ,100.3,202.9,8.0273,26.36, ,0.082046,0.7176,12.62,26.96,36869
1,1.80, ,100.3,202.9,8.0272,26.36, ,0.082041,0.7176,12.65,26.96,36870
1,1.82, ,100.3,202.9,8.0279,26.36, ,0.082082,0.7176,12.62,26.96,36877
1,1.83, ,100.3,202.9,8.0278,26.36, ,0.082080,0.7176,12.63,26.96,36869
1,1.85, ,100.3,202.9,8.0278,26.36, ,0.082080,0.7176,12.62,26.96,36870
1,1.87, ,100.2,202.7,8.0284,26.36, ,0.082117,0.7176,12.62,26.97,36866
