DeviceId:CISME0006669c1a4f
Filename:/msc/Data/d6b2r2ci2_Oct21_1050.csv
pH Slope(m): 0.05897
pH Eo (b): -0.40960
cal. Buffer pH: 8.04100
cal. Buffer temp. 24.03778
Salinity: 35
O2 0 Phase: 60.42000
O2 0 Temp: 25.00000
O2 100 Phase: 27.28000
O2 100 Temp: 23.97000
O2 LED Current: 150.00000
O2 Pressure Cal: 976.00000
Total number of steps: 1
Step Number: 1
Time Threshold: 180
O2 Threshold:   0
pH Threshold: 0.000
Flow Rate: 5348.000000
Light Level: 0.000000
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.03, ,107.4,217.1,8.0906,26.36, ,0.068663,0.7159,12.56,26.15,2476
1,0.05, ,108.2,218.8,8.0921,26.36, ,0.068751,0.7159,12.56,26.07,2476
1,0.07, ,107.6,217.5,8.0915,26.37, ,0.068717,0.7158,12.56,26.13,2479
1,0.08, ,107.2,216.7,8.0922,26.37, ,0.068759,0.7158,12.55,26.17,2476
1,0.10, ,107.7,217.7,8.0928,26.37, ,0.068797,0.7158,12.54,26.12,2478
1,0.12, ,108.0,218.4,8.0916,26.37, ,0.068725,0.7158,12.55,26.09,2479
1,0.13, ,107.8,217.9,8.0922,26.37, ,0.068759,0.7158,12.53,26.11,2477
1,0.15, ,107.4,217.1,8.0921,26.37, ,0.068751,0.7158,12.53,26.15,2475
1,0.17, ,108.0,218.4,8.0915,26.37, ,0.068720,0.7158,12.53,26.09,2476
1,0.18, ,107.6,217.5,8.0924,26.37, ,0.068772,0.7158,12.54,26.13,2475
1,0.20, ,107.8,217.9,8.0922,26.37, ,0.068759,0.7158,12.54,26.11,2476
1,0.22, ,107.4,217.1,8.0912,26.37, ,0.068697,0.7158,12.53,26.15,2475
1,0.23, ,107.5,217.3,8.0910,26.37, ,0.068689,0.7158,12.56,26.14,2476
1,0.25, ,107.1,216.4,8.0915,26.37, ,0.068720,0.7157,12.56,26.18,2476
1,0.27, ,107.8,217.9,8.0913,26.37, ,0.068708,0.7157,12.56,26.11,2477
1,0.28, ,107.6,217.5,8.0918,26.37, ,0.068739,0.7157,12.56,26.13,2473
1,0.30, ,108.0,218.3,8.0915,26.37, ,0.068716,0.7157,12.53,26.09,2476
1,0.32, ,108.1,218.5,8.0913,26.37, ,0.068705,0.7157,12.53,26.08,2476
1,0.33, ,107.9,218.1,8.0916,26.37, ,0.068728,0.7157,12.53,26.10,2476
1,0.35, ,107.2,216.6,8.0911,26.37, ,0.068694,0.7157,12.56,26.17,2477
1,0.37, ,108.2,218.7,8.0913,26.37, ,0.068707,0.7157,12.53,26.07,2476
1,0.38, ,108.1,218.5,8.0908,26.37, ,0.068679,0.7157,12.53,26.08,2475
1,0.40, ,107.4,217.0,8.0909,26.37, ,0.068686,0.7156,12.55,26.15,2474
1,0.42, ,107.6,217.5,8.0913,26.37, ,0.068709,0.7156,12.55,26.13,2477
1,0.43, ,108.0,218.3,8.0914,26.37, ,0.068713,0.7156,12.56,26.09,2477
1,0.45, ,108.0,218.3,8.0916,26.38, ,0.068726,0.7156,12.54,26.09,2475
1,0.47, ,107.7,217.7,8.0911,26.38, ,0.068700,0.7156,12.55,26.12,2476
1,0.48, ,107.6,217.4,8.0910,26.38, ,0.068693,0.7156,12.55,26.13,2475
1,0.50, ,108.2,218.7,8.0908,26.38, ,0.068679,0.7156,12.55,26.07,2475
