DeviceId:CISME0006669c1e8a
Filename:/msc/Data/d5r3c1ci1_Oct21_1119.csv
pH Slope(m): 0.05897
pH Eo (b): -0.39247
cal. Buffer pH: 8.04100
cal. Buffer temp. 24.06105
Salinity: 35
O2 0 Phase: 60.42000
O2 0 Temp: 25.00000
O2 100 Phase: 27.38000
O2 100 Temp: 23.99000
O2 LED Current: 150.00000
O2 Pressure Cal: 976.00000
Total number of steps: 1
Step Number: 1
Time Threshold: 2100
O2 Threshold:   0
pH Threshold: 0.000
Flow Rate: 6262.000000
Light Level: 31.000000
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.02, ,104.0,209.0,7.9688,26.71, ,0.078745,0.7097,12.48,26.53,34811
1,0.03, ,103.9,208.8,7.9355,26.71, ,0.076762,0.7097,12.47,26.54,34805
1,0.05, ,103.9,208.8,7.9271,26.71, ,0.076264,0.7097,12.49,26.54,34802
1,0.07, ,103.9,208.8,7.9248,26.72, ,0.076127,0.7097,12.45,26.54,34800
1,0.08, ,104.0,209.0,7.9254,26.72, ,0.076161,0.7097,12.46,26.53,34791
1,0.10, ,104.1,209.2,7.9246,26.72, ,0.076113,0.7097,12.49,26.52,34790
1,0.12, ,104.0,209.0,7.9255,26.72, ,0.076168,0.7097,12.52,26.53,34798
1,0.13, ,104.1,209.2,7.9270,26.72, ,0.076259,0.7097,12.51,26.52,34786
1,0.15, ,104.1,209.2,7.9278,26.72, ,0.076304,0.7097,12.49,26.52,34782
1,0.17, ,104.3,209.6,7.9292,26.72, ,0.076390,0.7097,12.49,26.50,34768
1,0.18, ,104.2,209.4,7.9336,26.72, ,0.076652,0.7097,12.44,26.51,34749
1,0.20, ,104.3,209.6,7.9322,26.72, ,0.076566,0.7097,12.47,26.50,34735
1,0.22, ,104.3,209.6,7.9290,26.72, ,0.076377,0.7096,12.49,26.50,34721
1,0.23, ,104.3,209.6,7.9285,26.72, ,0.076346,0.7096,12.50,26.50,34715
1,0.25, ,104.5,210.0,7.9325,26.72, ,0.076585,0.7096,12.51,26.48,34704
1,0.27, ,104.5,210.0,7.9307,26.72, ,0.076476,0.7096,12.52,26.48,34700
1,0.28, ,104.5,210.0,7.9293,26.72, ,0.076393,0.7096,12.46,26.48,34696
1,0.30, ,104.5,210.0,7.9277,26.72, ,0.076300,0.7096,12.46,26.48,34698
1,0.32, ,104.4,209.8,7.9306,26.72, ,0.076474,0.7096,12.47,26.49,34695
1,0.33, ,104.5,210.0,7.9324,26.72, ,0.076582,0.7096,12.48,26.48,34691
1,0.35, ,104.4,209.8,7.9306,26.72, ,0.076476,0.7096,12.47,26.49,34684
