DeviceId:CISME0006669c1a4f
Filename:/msc/Data/r7b1r2ci2_Oct22_1132.csv
pH Slope(m): 0.05897
pH Eo (b): -0.40960
cal. Buffer pH: 8.04100
cal. Buffer temp. 24.03778
Salinity: 35
O2 0 Phase: 60.42000
O2 0 Temp: 25.00000
O2 100 Phase: 27.28000
O2 100 Temp: 23.97000
O2 LED Current: 150.00000
O2 Pressure Cal: 976.00000
Total number of steps: 1
Step Number: 1
Time Threshold: 600
O2 Threshold:   0
pH Threshold: 0.000
Flow Rate: 5348.000000
Light Level: 0.000000
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.03, ,120.4,237.2,8.1314,27.98, ,0.071911,0.6808,12.55,24.74,2035
1,0.05, ,119.6,235.5,8.1326,27.97, ,0.071985,0.6808,12.56,24.81,2033
1,0.07, ,121.0,238.4,8.1330,27.97, ,0.072007,0.6809,12.55,24.69,2035
1,0.08, ,120.8,237.9,8.1336,27.97, ,0.072038,0.6810,12.54,24.71,2031
1,0.10, ,121.2,238.7,8.1338,27.97, ,0.072049,0.6810,12.54,24.68,2037
1,0.12, ,120.7,237.7,8.1340,27.96, ,0.072064,0.6811,12.53,24.72,2034
1,0.13, ,121.7,239.7,8.1338,27.96, ,0.072047,0.6811,12.54,24.64,2033
1,0.15, ,121.4,239.2,8.1333,27.96, ,0.072020,0.6812,12.57,24.66,2034
1,0.17, ,121.7,239.7,8.1332,27.96, ,0.072009,0.6812,12.55,24.64,2032
1,0.18, ,119.5,235.4,8.1334,27.95, ,0.072021,0.6813,12.56,24.82,2033
1,0.20, ,121.7,239.7,8.1337,27.95, ,0.072035,0.6813,12.56,24.64,2034
1,0.22, ,120.1,236.7,8.1342,27.95, ,0.072066,0.6814,12.55,24.77,2031
1,0.23, ,121.6,239.5,8.1349,27.95, ,0.072107,0.6814,12.53,24.65,2035
1,0.25, ,121.4,239.3,8.1343,27.94, ,0.072072,0.6815,12.57,24.66,2035
1,0.27, ,121.6,239.6,8.1344,27.94, ,0.072072,0.6815,12.56,24.65,2036
1,0.28, ,121.1,238.6,8.1342,27.94, ,0.072063,0.6816,12.55,24.69,2033
1,0.30, ,121.5,239.4,8.1342,27.94, ,0.072060,0.6816,12.56,24.66,2035
