DeviceId:CISME0006669c1e8a
Filename:/msc/Data/d7r3ci1_Oct22_1157.csv
pH Slope(m): 0.05897
pH Eo (b): -0.39247
cal. Buffer pH: 8.04100
cal. Buffer temp. 24.06105
Salinity: 35
O2 0 Phase: 60.42000
O2 0 Temp: 25.00000
O2 100 Phase: 27.38000
O2 100 Temp: 23.99000
O2 LED Current: 150.00000
O2 Pressure Cal: 976.00000
Total number of steps: 1
Step Number: 1
Time Threshold: 2100
O2 Threshold:   0
pH Threshold: 0.000
Flow Rate: 6262.000000
Light Level: 0.000000
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.03, ,114.7,227.9,8.0722,27.46, ,0.085270,0.6934,12.49,25.40,30551
1,0.05, ,114.7,227.9,8.0702,27.46, ,0.085149,0.6934,12.52,25.40,30548
1,0.07, ,114.6,227.6,8.0682,27.46, ,0.085030,0.6934,12.50,25.41,30560
1,0.08, ,114.6,227.6,8.0682,27.46, ,0.085030,0.6934,12.46,25.41,30560
1,0.10, ,114.7,227.9,8.0678,27.46, ,0.085008,0.6934,12.50,25.40,30555
1,0.12, ,114.7,227.9,8.0684,27.46, ,0.085042,0.6934,12.45,25.40,30565
1,0.13, ,114.6,227.6,8.0682,27.46, ,0.085031,0.6934,12.47,25.41,30559
1,0.15, ,114.5,227.4,8.0675,27.46, ,0.084990,0.6934,12.48,25.42,30567
1,0.17, ,114.6,227.6,8.0680,27.46, ,0.085017,0.6934,12.48,25.41,30564
1,0.18, ,114.5,227.4,8.0684,27.46, ,0.085040,0.6934,12.46,25.42,30558
1,0.20, ,114.8,228.1,8.0681,27.46, ,0.085026,0.6934,12.47,25.39,30562
1,0.22, ,114.5,227.4,8.0685,27.46, ,0.085048,0.6934,12.49,25.42,30564
1,0.23, ,114.6,227.6,8.0680,27.46, ,0.085020,0.6934,12.46,25.41,30562
1,0.25, ,114.7,227.9,8.0680,27.46, ,0.085020,0.6934,12.46,25.40,30560
1,0.27, ,114.7,227.9,8.0677,27.46, ,0.085000,0.6934,12.47,25.40,30558
1,0.28, ,114.7,227.9,8.0678,27.46, ,0.085007,0.6934,12.51,25.40,30558
1,0.30, ,114.8,228.1,8.0676,27.46, ,0.084995,0.6934,12.46,25.39,30564
1,0.32, ,114.7,227.9,8.0678,27.46, ,0.085008,0.6934,12.50,25.40,30569
