DeviceId:CISME0006669c1a4f
Filename:/msc/Data/d7r4ci2_Oct22_1214.csv
pH Slope(m): 0.05897
pH Eo (b): -0.40960
cal. Buffer pH: 8.04100
cal. Buffer temp. 24.03778
Salinity: 35
O2 0 Phase: 60.42000
O2 0 Temp: 25.00000
O2 100 Phase: 27.28000
O2 100 Temp: 23.97000
O2 LED Current: 150.00000
O2 Pressure Cal: 976.00000
Total number of steps: 1
Step Number: 1
Time Threshold: 2100
O2 Threshold:   0
pH Threshold: 0.000
Flow Rate: 5348.000000
Light Level: 0.000000
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.03, ,123.6,245.0,8.1572,27.57, ,0.073245,0.6895,12.44,24.54,2034
1,0.05, ,123.4,244.6,8.1584,27.57, ,0.073314,0.6895,12.41,24.56,2033
1,0.07, ,124.2,246.3,8.1582,27.57, ,0.073304,0.6895,12.42,24.49,2034
1,0.08, ,123.6,245.0,8.1580,27.57, ,0.073295,0.6895,12.45,24.54,2033
1,0.10, ,123.6,245.0,8.1581,27.57, ,0.073299,0.6895,12.40,24.54,2033
1,0.12, ,123.7,245.3,8.1576,27.57, ,0.073272,0.6895,12.42,24.53,2035
1,0.13, ,124.4,246.5,8.1579,27.57, ,0.073284,0.6895,12.40,24.48,2033
1,0.15, ,123.9,245.5,8.1576,27.57, ,0.073268,0.6895,12.40,24.52,2033
1,0.17, ,123.7,245.3,8.1578,27.57, ,0.073279,0.6894,12.40,24.53,2033
1,0.18, ,123.2,244.3,8.1583,27.57, ,0.073309,0.6894,12.43,24.57,2033
1,0.20, ,123.7,245.3,8.1577,27.57, ,0.073276,0.6894,12.41,24.53,2033
1,0.22, ,124.5,246.8,8.1579,27.57, ,0.073288,0.6894,12.40,24.47,2033
1,0.23, ,122.9,243.6,8.1581,27.57, ,0.073300,0.6894,12.41,24.60,2035
1,0.25, ,123.2,244.3,8.1578,27.57, ,0.073280,0.6894,12.42,24.57,2032
1,0.27, ,124.7,247.3,8.1579,27.57, ,0.073288,0.6894,12.43,24.45,2034
1,0.28, ,123.9,245.5,8.1579,27.57, ,0.073287,0.6894,12.41,24.52,2035
1,0.30, ,123.2,244.3,8.1580,27.57, ,0.073297,0.6894,12.41,24.57,2036
1,0.32, ,123.4,244.5,8.1577,27.57, ,0.073278,0.6894,12.42,24.56,2036
1,0.33, ,124.4,246.5,8.1576,27.57, ,0.073268,0.6894,12.43,24.48,2035
1,0.35, ,123.6,245.0,8.1574,27.57, ,0.073259,0.6894,12.42,24.54,2034
1,0.37, ,123.5,244.8,8.1576,27.57, ,0.073270,0.6894,12.42,24.55,2031
1,0.38, ,123.0,243.8,8.1578,27.57, ,0.073284,0.6894,12.42,24.59,2033
1,0.40, ,124.6,247.0,8.1579,27.57, ,0.073288,0.6894,12.40,24.46,2030
1,0.42, ,123.4,244.5,8.1583,27.58, ,0.073314,0.6894,12.43,24.56,2033
1,0.43, ,124.4,246.5,8.1580,27.58, ,0.073295,0.6894,12.43,24.48,2034
1,0.45, ,124.2,246.3,8.1580,27.58, ,0.073297,0.6894,12.42,24.49,2033
1,0.47, ,124.5,246.7,8.1579,27.58, ,0.073289,0.6894,12.40,24.47,2033
1,0.48, ,124.5,246.7,8.1579,27.58, ,0.073289,0.6894,12.41,24.47,2032
1,0.50, ,124.0,245.8,8.1582,27.58, ,0.073307,0.6894,12.43,24.51,2032
1,0.52, ,124.2,246.2,8.1583,27.58, ,0.073310,0.6894,12.43,24.49,2032
1,0.52, ,123.5,244.8,8.1585,27.58, ,0.073326,0.6894,12.40,24.55,2032
1,0.53, ,123.7,245.3,8.1582,27.58, ,0.073309,0.6894,12.42,24.53,2034
1,0.55, ,122.9,243.5,8.1584,27.58, ,0.073318,0.6894,12.41,24.60,2032
1,0.57, ,123.7,245.2,8.1589,27.58, ,0.073351,0.6894,12.40,24.53,2032
1,0.58, ,123.2,244.3,8.1586,27.58, ,0.073333,0.6894,12.40,24.57,2031
1,0.60, ,123.5,244.8,8.1587,27.58, ,0.073336,0.6893,12.40,24.55,2031
1,0.62, ,124.0,245.7,8.1590,27.58, ,0.073355,0.6894,12.40,24.51,2032
1,0.63, ,123.0,243.8,8.1590,27.58, ,0.073354,0.6893,12.40,24.59,2032
1,0.65, ,124.1,246.0,8.1585,27.58, ,0.073327,0.6893,12.39,24.50,2030
1,0.67, ,124.6,247.0,8.1580,27.58, ,0.073297,0.6893,12.42,24.46,2030
1,0.68, ,124.5,246.7,8.1580,27.58, ,0.073293,0.6893,12.41,24.47,2031
1,0.70, ,124.2,246.2,8.1581,27.58, ,0.073301,0.6893,12.42,24.49,2030
1,0.72, ,123.0,243.8,8.1580,27.58, ,0.073298,0.6893,12.41,24.59,2030
1,0.73, ,123.5,244.7,8.1582,27.58, ,0.073308,0.6893,12.42,24.55,2032
1,0.75, ,123.3,244.5,8.1583,27.58, ,0.073316,0.6893,12.41,24.56,2033
1,0.77, ,123.1,244.0,8.1584,27.58, ,0.073320,0.6893,12.40,24.58,2029
1,0.78, ,124.1,246.0,8.1585,27.58, ,0.073324,0.6893,12.41,24.50,2036
1,0.80, ,124.5,246.7,8.1591,27.58, ,0.073362,0.6893,12.40,24.47,2033
1,0.82, ,124.0,245.7,8.1589,27.58, ,0.073352,0.6893,12.42,24.51,2034
