DeviceId:CISME0006669c1a4f
Filename:/msc/Data/d7r8rpci2_Oct22_1413.csv
pH Slope(m): 0.05897
pH Eo (b): -0.40960
cal. Buffer pH: 8.04100
cal. Buffer temp. 24.03778
Salinity: 35
O2 0 Phase: 60.42000
O2 0 Temp: 25.00000
O2 100 Phase: 27.28000
O2 100 Temp: 23.97000
O2 LED Current: 150.00000
O2 Pressure Cal: 976.00000
Total number of steps: 2
Step Number: 1
Time Threshold: 1860
O2 Threshold:   0
pH Threshold: 0.000
Flow Rate: 5348.000000
Light Level: 0.000000
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.03, ,129.5,252.6,8.1668,28.59, ,0.074350,0.6678,12.06,23.93,1963
1,0.05, ,129.6,252.8,8.1677,28.59, ,0.074401,0.6678,12.07,23.92,1963
1,0.07, ,130.4,254.4,8.1676,28.59, ,0.074397,0.6678,12.03,23.86,1965
1,0.08, ,130.4,254.4,8.1677,28.59, ,0.074402,0.6678,12.05,23.86,1964
1,0.10, ,130.6,254.7,8.1679,28.59, ,0.074414,0.6678,12.06,23.85,1964
1,0.12, ,130.3,254.1,8.1680,28.59, ,0.074417,0.6678,12.06,23.87,1963
1,0.13, ,129.6,252.8,8.1682,28.59, ,0.074433,0.6678,12.06,23.92,1963
1,0.15, ,130.4,254.4,8.1683,28.59, ,0.074436,0.6678,12.07,23.86,1962
1,0.17, ,130.3,254.1,8.1683,28.59, ,0.074438,0.6678,12.03,23.87,1964
1,0.18, ,130.4,254.4,8.1683,28.59, ,0.074440,0.6678,12.07,23.86,1966
1,0.20, ,129.5,252.6,8.1683,28.59, ,0.074438,0.6678,12.06,23.93,1963
1,0.22, ,130.8,255.2,8.1680,28.59, ,0.074421,0.6678,12.05,23.83,1963
1,0.23, ,129.8,253.1,8.1679,28.59, ,0.074412,0.6678,12.03,23.91,1963
1,0.25, ,130.0,253.6,8.1678,28.59, ,0.074410,0.6678,12.06,23.89,1964
1,0.27, ,130.4,254.4,8.1677,28.59, ,0.074401,0.6678,12.05,23.86,1964
1,0.28, ,130.4,254.4,8.1678,28.59, ,0.074408,0.6678,12.04,23.86,1962
1,0.30, ,129.9,253.3,8.1679,28.59, ,0.074412,0.6678,12.06,23.90,1963
1,0.32, ,130.3,254.1,8.1681,28.59, ,0.074428,0.6678,12.04,23.87,1962
1,0.33, ,130.6,254.6,8.1683,28.59, ,0.074440,0.6678,12.05,23.85,1963
1,0.35, ,130.7,254.9,8.1682,28.59, ,0.074431,0.6678,12.04,23.84,1961
1,0.37, ,130.7,254.9,8.1681,28.59, ,0.074428,0.6678,12.05,23.84,1964
1,0.38, ,131.0,255.4,8.1678,28.59, ,0.074405,0.6678,12.04,23.82,1962
1,0.40, ,129.8,253.1,8.1678,28.59, ,0.074406,0.6678,12.03,23.91,1961
1,0.42, ,130.4,254.4,8.1678,28.59, ,0.074410,0.6678,12.04,23.86,1963
1,0.43, ,130.8,255.2,8.1679,28.59, ,0.074414,0.6677,12.07,23.83,1962
1,0.45, ,130.6,254.6,8.1682,28.59, ,0.074430,0.6677,12.03,23.85,1961
1,0.47, ,131.0,255.4,8.1684,28.59, ,0.074443,0.6677,12.07,23.82,1963
1,0.48, ,130.4,254.4,8.1686,28.59, ,0.074456,0.6677,12.03,23.86,1964
1,0.50, ,130.7,254.9,8.1684,28.59, ,0.074447,0.6677,12.05,23.84,1964
1,0.52, ,129.4,252.3,8.1685,28.59, ,0.074447,0.6677,12.05,23.94,1961
1,0.53, ,130.7,254.9,8.1685,28.59, ,0.074448,0.6677,12.04,23.84,1962
1,0.55, ,130.3,254.1,8.1685,28.59, ,0.074452,0.6677,12.06,23.87,1959
1,0.57, ,131.1,255.7,8.1685,28.59, ,0.074450,0.6677,12.05,23.81,1962
1,0.58, ,130.2,253.9,8.1684,28.59, ,0.074447,0.6677,12.08,23.88,1960
1,0.60, ,130.2,253.9,8.1686,28.59, ,0.074457,0.6677,12.05,23.88,1961
1,0.62, ,130.4,254.4,8.1691,28.59, ,0.074485,0.6677,12.05,23.86,1961
1,0.63, ,130.8,255.2,8.1691,28.59, ,0.074486,0.6677,12.03,23.83,1960
1,0.65, ,130.7,254.9,8.1693,28.59, ,0.074501,0.6677,12.05,23.84,1963
1,0.67, ,131.2,255.9,8.1691,28.59, ,0.074486,0.6677,12.04,23.80,1960
1,0.68, ,130.6,254.6,8.1691,28.59, ,0.074485,0.6677,12.06,23.85,1959
1,0.70, ,129.8,253.1,8.1692,28.60, ,0.074491,0.6677,12.05,23.91,1961
1,0.72, ,131.1,255.7,8.1691,28.60, ,0.074487,0.6677,12.04,23.81,1959
1,0.73, ,131.0,255.4,8.1692,28.60, ,0.074495,0.6677,12.04,23.82,1959
1,0.75, ,130.8,255.2,8.1691,28.60, ,0.074487,0.6677,12.04,23.83,1961
1,0.77, ,131.6,256.7,8.1691,28.60, ,0.074489,0.6677,12.04,23.77,1958
1,0.78, ,130.3,254.1,8.1693,28.60, ,0.074497,0.6677,12.07,23.87,1959
1,0.80, ,131.0,255.4,8.1690,28.60, ,0.074482,0.6677,12.05,23.82,1960
1,0.82, ,130.3,254.1,8.1691,28.60, ,0.074486,0.6677,12.03,23.87,1959
1,0.83, ,130.4,254.4,8.1694,28.60, ,0.074504,0.6677,12.06,23.86,1959
1,0.85, ,131.4,256.2,8.1694,28.60, ,0.074506,0.6677,12.03,23.79,1958
1,0.87, ,130.3,254.1,8.1692,28.60, ,0.074496,0.6677,12.05,23.87,1959
1,0.88, ,130.4,254.4,8.1695,28.60, ,0.074510,0.6677,12.04,23.86,1957
1,0.90, ,130.0,253.6,8.1692,28.60, ,0.074492,0.6677,12.07,23.89,1957
1,0.92, ,131.2,255.9,8.1691,28.60, ,0.074486,0.6677,12.07,23.80,1962
1,0.93, ,130.7,254.9,8.1691,28.60, ,0.074489,0.6677,12.04,23.84,1959
1,0.95, ,130.2,253.8,8.1689,28.60, ,0.074476,0.6677,12.04,23.88,1958
1,0.97, ,131.5,256.5,8.1689,28.60, ,0.074477,0.6677,12.06,23.78,1959
1,0.98, ,131.2,255.9,8.1688,28.60, ,0.074469,0.6677,12.04,23.80,1961
1,1.00, ,132.0,257.5,8.1689,28.60, ,0.074477,0.6677,12.08,23.74,1959
1,1.02, ,131.4,256.2,8.1691,28.60, ,0.074487,0.6677,12.05,23.79,1961
1,1.03, ,130.7,254.9,8.1693,28.60, ,0.074500,0.6677,12.05,23.84,1959
1,1.05, ,131.0,255.4,8.1693,28.60, ,0.074498,0.6677,12.09,23.82,1960
1,1.07, ,131.1,255.7,8.1692,28.60, ,0.074493,0.6677,12.05,23.81,1958
1,1.08, ,131.0,255.4,8.1692,28.60, ,0.074494,0.6677,12.04,23.82,1960
1,1.10, ,130.8,255.1,8.1689,28.60, ,0.074479,0.6677,12.05,23.83,1960
1,1.12, ,131.1,255.7,8.1689,28.60, ,0.074479,0.6677,12.04,23.81,1960
1,1.13, ,130.8,255.1,8.1690,28.60, ,0.074482,0.6677,12.08,23.83,1960
1,1.15, ,131.5,256.4,8.1692,28.60, ,0.074496,0.6677,12.07,23.78,1959
1,1.17, ,131.9,257.2,8.1691,28.60, ,0.074489,0.6677,12.05,23.75,1960
1,1.18, ,130.2,253.8,8.1689,28.60, ,0.074479,0.6677,12.08,23.88,1959
1,1.20, ,131.0,255.4,8.1684,28.60, ,0.074444,0.6677,12.06,23.82,1957
1,1.22, ,131.6,256.7,8.1652,28.60, ,0.074253,0.6677,12.05,23.77,1949
1,1.23, ,131.2,255.9,8.1577,28.60, ,0.073807,0.6677,12.04,23.80,1956
1,1.25, ,130.2,253.8,8.1545,28.60, ,0.073612,0.6677,12.04,23.88,1959
1,1.27, ,130.0,253.6,8.1520,28.60, ,0.073465,0.6677,12.04,23.89,1965
1,1.28, ,129.0,251.5,8.1503,28.60, ,0.073364,0.6676,12.06,23.97,1969
1,1.30, ,128.8,251.2,8.1491,28.60, ,0.073294,0.6676,12.07,23.98,1974
1,1.32, ,128.6,250.7,8.1485,28.60, ,0.073256,0.6676,12.06,24.00,1976
1,1.33, ,128.7,251.0,8.1479,28.60, ,0.073221,0.6676,12.06,23.99,1979
1,1.35, ,128.2,249.9,8.1476,28.60, ,0.073205,0.6676,12.09,24.03,1984
1,1.37, ,127.5,248.7,8.1472,28.60, ,0.073177,0.6676,12.06,24.08,1984
1,1.38, ,128.3,250.2,8.1464,28.60, ,0.073135,0.6675,12.08,24.02,1986
1,1.40, ,127.9,249.4,8.1461,28.61, ,0.073113,0.6675,12.04,24.05,1988
1,1.42, ,126.9,247.4,8.1455,28.61, ,0.073078,0.6675,12.05,24.13,1988
1,1.43, ,126.7,247.1,8.1455,28.61, ,0.073081,0.6675,12.06,24.14,1989
1,1.45, ,126.5,246.6,8.1453,28.61, ,0.073071,0.6674,12.05,24.16,1992
1,1.47, ,126.7,247.1,8.1451,28.61, ,0.073060,0.6674,12.07,24.14,1992
1,1.48, ,127.0,247.6,8.1450,28.61, ,0.073052,0.6674,12.05,24.12,1994
1,1.50, ,127.0,247.6,8.1448,28.61, ,0.073041,0.6674,12.07,24.12,1993
1,1.52, ,126.5,246.6,8.1447,28.61, ,0.073036,0.6673,12.07,24.16,1996
1,1.53, ,125.7,245.0,8.1446,28.61, ,0.073029,0.6673,12.06,24.22,1994
1,1.55, ,127.1,247.8,8.1445,28.62, ,0.073025,0.6673,12.06,24.11,1995
1,1.57, ,126.3,246.3,8.1445,28.62, ,0.073026,0.6673,12.03,24.17,1996
1,1.58, ,125.7,245.0,8.1444,28.62, ,0.073018,0.6672,12.05,24.22,1998
1,1.60, ,125.4,244.5,8.1445,28.62, ,0.073024,0.6672,12.05,24.24,1999
1,1.62, ,126.3,246.3,8.1445,28.62, ,0.073024,0.6672,12.05,24.17,1997
1,1.63, ,126.2,246.0,8.1445,28.62, ,0.073028,0.6672,12.04,24.18,1998
1,1.65, ,126.4,246.5,8.1445,28.62, ,0.073025,0.6672,12.05,24.16,1998
1,1.67, ,125.6,244.7,8.1445,28.62, ,0.073026,0.6671,12.04,24.23,1998
1,1.68, ,126.4,246.5,8.1443,28.62, ,0.073018,0.6671,12.09,24.16,1999
1,1.70, ,126.3,246.2,8.1442,28.62, ,0.073012,0.6671,12.03,24.17,2000
1,1.72, ,125.4,244.5,8.1442,28.63, ,0.073012,0.6671,12.05,24.24,2000
1,1.73, ,125.3,244.2,8.1440,28.63, ,0.073003,0.6671,12.08,24.25,1998
1,1.75, ,126.6,246.7,8.1440,28.63, ,0.073002,0.6670,12.06,24.15,1999
1,1.77, ,125.8,245.2,8.1439,28.63, ,0.072995,0.6670,12.08,24.21,2000
1,1.78, ,125.3,244.2,8.1439,28.63, ,0.072996,0.6670,12.05,24.25,2001
1,1.80, ,125.5,244.7,8.1436,28.63, ,0.072979,0.6670,12.04,24.23,2000
1,1.82, ,125.3,244.2,8.1439,28.63, ,0.072994,0.6670,12.07,24.25,2001
1,1.83, ,125.5,244.7,8.1440,28.63, ,0.073000,0.6670,12.06,24.23,2001
1,1.85, ,125.9,245.4,8.1438,28.63, ,0.072990,0.6669,12.05,24.20,2002
1,1.87, ,125.4,244.4,8.1435,28.63, ,0.072976,0.6669,12.04,24.24,2003
1,1.88, ,125.7,244.9,8.1434,28.63, ,0.072968,0.6669,12.08,24.22,2002
1,1.90, ,126.2,245.9,8.1432,28.63, ,0.072956,0.6669,12.06,24.18,2003
1,1.92, ,125.3,244.1,8.1433,28.63, ,0.072961,0.6669,12.10,24.25,2002
1,1.93, ,124.9,243.4,8.1431,28.64, ,0.072949,0.6669,12.06,24.28,2004
1,1.95, ,125.5,244.6,8.1430,28.64, ,0.072945,0.6668,12.05,24.23,2004
