DeviceId:CISME0006669c1a4f
Filename:/msc/Data/d8r4ci2_Oct23_1254.csv
pH Slope(m): 0.05897
pH Eo (b): -0.40960
cal. Buffer pH: 8.04100
cal. Buffer temp. 24.03778
Salinity: 35
O2 0 Phase: 60.42000
O2 0 Temp: 25.00000
O2 100 Phase: 27.28000
O2 100 Temp: 23.97000
O2 LED Current: 150.00000
O2 Pressure Cal: 976.00000
Total number of steps: 1
Step Number: 1
Time Threshold: 3540
O2 Threshold:   0
pH Threshold: 0.000
Flow Rate: 5348.000000
Light Level: 0.000000
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.03, ,120.3,238.1,8.0864,27.69, ,0.069080,0.6870,12.63,24.79,2050
1,0.03, ,120.6,238.6,8.0877,27.69, ,0.069158,0.6870,12.59,24.77,2050
1,0.05, ,120.8,239.1,8.0878,27.69, ,0.069165,0.6870,12.60,24.75,2050
1,0.07, ,120.6,238.6,8.0880,27.69, ,0.069172,0.6870,12.59,24.77,2050
1,0.08, ,120.1,237.6,8.0881,27.69, ,0.069177,0.6870,12.62,24.81,2052
1,0.10, ,120.5,238.3,8.0878,27.69, ,0.069165,0.6870,12.59,24.78,2052
1,0.12, ,119.6,236.7,8.0879,27.69, ,0.069170,0.6870,12.63,24.85,2050
1,0.13, ,120.7,238.8,8.0880,27.69, ,0.069174,0.6870,12.60,24.76,2049
1,0.15, ,121.4,240.3,8.0883,27.69, ,0.069191,0.6870,12.61,24.70,2051
1,0.17, ,120.8,239.1,8.0885,27.69, ,0.069203,0.6870,12.59,24.75,2050
1,0.18, ,120.8,239.1,8.0885,27.69, ,0.069202,0.6870,12.58,24.75,2049
1,0.20, ,121.2,239.8,8.0885,27.69, ,0.069202,0.6870,12.60,24.72,2050
1,0.22, ,121.8,241.0,8.0884,27.69, ,0.069200,0.6870,12.62,24.67,2048
1,0.23, ,121.1,239.6,8.0885,27.69, ,0.069202,0.6870,12.61,24.73,2049
1,0.25, ,121.2,239.8,8.0886,27.69, ,0.069209,0.6870,12.59,24.72,2051
1,0.27, ,121.5,240.5,8.0888,27.69, ,0.069223,0.6870,12.60,24.69,2049
1,0.28, ,121.3,240.0,8.0888,27.69, ,0.069224,0.6870,12.62,24.71,2048
1,0.30, ,120.7,238.8,8.0889,27.69, ,0.069227,0.6870,12.60,24.76,2047
1,0.32, ,120.8,239.1,8.0891,27.69, ,0.069236,0.6870,12.60,24.75,2047
1,0.33, ,120.8,239.1,8.0891,27.69, ,0.069241,0.6870,12.61,24.75,2049
1,0.35, ,121.3,240.0,8.0893,27.69, ,0.069248,0.6870,12.62,24.71,2049
1,0.37, ,120.8,239.1,8.0891,27.69, ,0.069239,0.6870,12.61,24.75,2047
1,0.38, ,120.8,239.1,8.0893,27.69, ,0.069251,0.6870,12.59,24.75,2050
1,0.40, ,122.2,241.7,8.0893,27.69, ,0.069249,0.6870,12.59,24.64,2048
1,0.42, ,120.5,238.4,8.0895,27.69, ,0.069265,0.6870,12.59,24.78,2050
1,0.43, ,121.3,240.0,8.0896,27.69, ,0.069267,0.6870,12.59,24.71,2048
1,0.45, ,120.7,238.8,8.0897,27.69, ,0.069273,0.6870,12.62,24.76,2048
1,0.47, ,121.4,240.3,8.0898,27.69, ,0.069282,0.6870,12.60,24.70,2048
1,0.48, ,121.1,239.6,8.0900,27.69, ,0.069290,0.6870,12.59,24.73,2050
1,0.50, ,120.8,239.1,8.0897,27.69, ,0.069275,0.6870,12.59,24.75,2050
1,0.52, ,121.1,239.6,8.0897,27.69, ,0.069273,0.6870,12.62,24.73,2046
1,0.53, ,120.8,239.1,8.0895,27.68, ,0.069259,0.6870,12.62,24.75,2050
1,0.55, ,120.5,238.4,8.0895,27.68, ,0.069262,0.6870,12.61,24.78,2051
1,0.57, ,120.5,238.4,8.0895,27.68, ,0.069260,0.6870,12.60,24.78,2049
1,0.58, ,120.9,239.3,8.0894,27.68, ,0.069255,0.6870,12.60,24.74,2052
1,0.60, ,121.1,239.6,8.0895,27.68, ,0.069262,0.6870,12.61,24.73,2049
1,0.62, ,120.6,238.6,8.0896,27.68, ,0.069268,0.6870,12.58,24.77,2048
1,0.63, ,121.3,240.0,8.0893,27.68, ,0.069252,0.6870,12.60,24.71,2051
1,0.65, ,120.0,237.4,8.0894,27.68, ,0.069257,0.6870,12.59,24.82,2050
1,0.67, ,120.9,239.3,8.0895,27.68, ,0.069263,0.6870,12.60,24.74,2050
1,0.68, ,121.3,240.0,8.0895,27.68, ,0.069265,0.6870,12.61,24.71,2051
1,0.70, ,120.3,238.1,8.0898,27.68, ,0.069279,0.6870,12.61,24.79,2050
1,0.72, ,120.7,238.8,8.0898,27.68, ,0.069280,0.6870,12.59,24.76,2047
1,0.73, ,120.8,239.1,8.0895,27.68, ,0.069265,0.6871,12.60,24.75,2053
1,0.75, ,120.8,239.1,8.0896,27.68, ,0.069268,0.6871,12.59,24.75,2050
1,0.77, ,120.8,239.1,8.0894,27.68, ,0.069259,0.6871,12.61,24.75,2052
1,0.78, ,120.1,237.7,8.0896,27.68, ,0.069267,0.6871,12.60,24.81,2051
1,0.80, ,120.6,238.6,8.0898,27.68, ,0.069279,0.6871,12.60,24.77,2050
1,0.82, ,120.7,238.9,8.0898,27.68, ,0.069279,0.6871,12.61,24.76,2050
1,0.83, ,120.6,238.6,8.0899,27.68, ,0.069287,0.6871,12.59,24.77,2049
1,0.85, ,119.6,236.7,8.0896,27.68, ,0.069270,0.6871,12.60,24.85,2053
1,0.87, ,120.1,237.7,8.0898,27.68, ,0.069278,0.6871,12.59,24.81,2052
1,0.88, ,120.2,237.9,8.0899,27.68, ,0.069284,0.6871,12.59,24.80,2049
1,0.90, ,120.8,239.1,8.0900,27.68, ,0.069291,0.6871,12.60,24.75,2054
1,0.92, ,120.7,238.9,8.0899,27.68, ,0.069286,0.6871,12.59,24.76,2051
1,0.93, ,120.6,238.6,8.0901,27.68, ,0.069300,0.6871,12.61,24.77,2052
