DeviceId:CISME0006669c1e8a
Filename:/msc/Data/d8r3ci1_Oct23_1243.csv
pH Slope(m): 0.05897
pH Eo (b): -0.39247
cal. Buffer pH: 8.04100
cal. Buffer temp. 24.06105
Salinity: 35
O2 0 Phase: 60.42000
O2 0 Temp: 25.00000
O2 100 Phase: 27.38000
O2 100 Temp: 23.99000
O2 LED Current: 150.00000
O2 Pressure Cal: 976.00000
Total number of steps: 1
Step Number: 1
Time Threshold: 3540
O2 Threshold:   0
pH Threshold: 0.000
Flow Rate: 6262.000000
Light Level: 0.000000
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.03, ,113.5,223.5,8.0578,27.98, ,0.084670,0.6821,12.62,25.43,31978
1,0.05, ,113.5,223.5,8.0564,27.98, ,0.084584,0.6821,12.67,25.43,31977
1,0.07, ,113.5,223.5,8.0557,27.98, ,0.084546,0.6821,12.66,25.43,31979
1,0.08, ,113.5,223.5,8.0557,27.98, ,0.084540,0.6822,12.65,25.43,31979
1,0.10, ,113.6,223.7,8.0551,27.98, ,0.084506,0.6822,12.63,25.42,31973
1,0.12, ,113.5,223.5,8.0548,27.98, ,0.084491,0.6822,12.64,25.43,31956
1,0.13, ,113.7,224.0,8.0552,27.98, ,0.084512,0.6823,12.62,25.41,31978
1,0.15, ,113.7,224.0,8.0555,27.97, ,0.084529,0.6823,12.65,25.41,31991
1,0.17, ,113.6,223.8,8.0550,27.97, ,0.084501,0.6823,12.63,25.42,31975
1,0.18, ,113.5,223.6,8.0549,27.97, ,0.084489,0.6823,12.62,25.43,31978
1,0.20, ,113.6,223.8,8.0553,27.97, ,0.084514,0.6824,12.62,25.42,31992
1,0.22, ,113.5,223.6,8.0554,27.97, ,0.084522,0.6824,12.63,25.43,31976
1,0.23, ,113.5,223.6,8.0545,27.97, ,0.084463,0.6824,12.62,25.43,31987
1,0.25, ,113.5,223.6,8.0537,27.97, ,0.084418,0.6824,12.63,25.43,31973
1,0.27, ,113.5,223.6,8.0530,27.97, ,0.084375,0.6825,12.64,25.43,31980
1,0.28, ,113.4,223.4,8.0539,27.96, ,0.084430,0.6825,12.60,25.44,31988
1,0.30, ,113.6,223.9,8.0539,27.96, ,0.084429,0.6825,12.61,25.42,32004
1,0.32, ,113.5,223.6,8.0550,27.96, ,0.084495,0.6825,12.62,25.43,31996
1,0.33, ,113.5,223.7,8.0541,27.96, ,0.084435,0.6826,12.62,25.43,32010
1,0.35, ,113.6,223.9,8.0535,27.96, ,0.084402,0.6826,12.62,25.42,31933
1,0.37, ,113.5,223.7,8.0531,27.96, ,0.084378,0.6826,12.62,25.43,31945
1,0.38, ,113.4,223.5,8.0544,27.96, ,0.084451,0.6826,12.60,25.44,31995
1,0.40, ,113.5,223.7,8.0559,27.96, ,0.084542,0.6827,12.63,25.43,31968
1,0.42, ,113.6,223.9,8.0546,27.95, ,0.084467,0.6827,12.60,25.42,31913
1,0.43, ,113.7,223.9,8.0538,27.95, ,0.084418,0.6827,12.61,25.42,31942
1,0.45, ,113.7,223.9,8.0549,27.95, ,0.084484,0.6827,12.64,25.42,31950
1,0.47, ,113.7,223.9,8.0542,27.95, ,0.084442,0.6828,12.61,25.42,31939
1,0.48, ,113.7,223.9,8.0543,27.95, ,0.084443,0.6828,12.61,25.42,31954
1,0.50, ,113.5,223.7,8.0557,27.95, ,0.084530,0.6828,12.63,25.43,31991
1,0.52, ,113.5,223.7,8.0563,27.95, ,0.084564,0.6828,12.62,25.43,31932
1,0.53, ,113.4,223.5,8.0544,27.95, ,0.084451,0.6829,12.61,25.44,31935
1,0.55, ,113.7,224.0,8.0550,27.95, ,0.084484,0.6829,12.62,25.42,31961
1,0.57, ,113.6,223.8,8.0546,27.94, ,0.084460,0.6829,12.62,25.43,31988
1,0.58, ,113.6,223.8,8.0538,27.94, ,0.084409,0.6829,12.63,25.43,31948
1,0.60, ,113.7,224.0,8.0538,27.94, ,0.084409,0.6830,12.64,25.42,31962
1,0.62, ,113.8,224.2,8.0539,27.94, ,0.084419,0.6830,12.61,25.41,31969
1,0.63, ,113.8,224.2,8.0558,27.94, ,0.084532,0.6830,12.62,25.41,31961
1,0.65, ,113.7,224.0,8.0551,27.94, ,0.084485,0.6830,12.65,25.42,31947
1,0.67, ,113.7,224.0,8.0556,27.94, ,0.084517,0.6831,12.61,25.42,31979
1,0.68, ,113.5,223.6,8.0560,27.94, ,0.084542,0.6831,12.61,25.44,31992
1,0.70, ,113.8,224.3,8.0555,27.94, ,0.084508,0.6831,12.61,25.41,31958
1,0.72, ,113.6,223.8,8.0544,27.93, ,0.084441,0.6831,12.60,25.43,31919
1,0.73, ,113.7,224.1,8.0554,27.93, ,0.084499,0.6832,12.60,25.42,31990
1,0.75, ,113.6,223.8,8.0550,27.93, ,0.084477,0.6832,12.61,25.43,31991
1,0.77, ,113.7,224.1,8.0550,27.93, ,0.084478,0.6832,12.64,25.42,31974
1,0.78, ,113.6,223.9,8.0545,27.93, ,0.084444,0.6832,12.63,25.43,31987
1,0.80, ,113.6,223.9,8.0561,27.93, ,0.084539,0.6833,12.61,25.43,31985
1,0.82, ,113.6,223.9,8.0559,27.93, ,0.084528,0.6833,12.61,25.43,31953
1,0.83, ,113.7,224.1,8.0543,27.93, ,0.084433,0.6833,12.63,25.42,31953
1,0.85, ,113.7,224.1,8.0552,27.93, ,0.084489,0.6833,12.61,25.42,31986
1,0.87, ,113.7,224.1,8.0552,27.93, ,0.084486,0.6833,12.60,25.42,31994
1,0.88, ,113.7,224.1,8.0541,27.92, ,0.084421,0.6834,12.61,25.42,31933
1,0.90, ,113.5,223.7,8.0537,27.92, ,0.084396,0.6834,12.61,25.44,31953
1,0.92, ,113.7,224.1,8.0538,27.92, ,0.084399,0.6834,12.62,25.42,31949
1,0.93, ,113.7,224.1,8.0547,27.92, ,0.084452,0.6834,12.63,25.42,31987
1,0.95, ,113.7,224.2,8.0549,27.92, ,0.084468,0.6835,12.62,25.42,31991
1,0.97, ,113.7,224.2,8.0550,27.92, ,0.084470,0.6835,12.62,25.42,31987
