DeviceId:CISME0006669c1e8a
Filename:/msc/Data/d8corrr3ci_Oct23_1323.csv
pH Slope(m): 0.05897
pH Eo (b): -0.39247
cal. Buffer pH: 8.04100
cal. Buffer temp. 24.06105
Salinity: 35
O2 0 Phase: 60.42000
O2 0 Temp: 25.00000
O2 100 Phase: 27.38000
O2 100 Temp: 23.99000
O2 LED Current: 150.00000
O2 Pressure Cal: 976.00000
Total number of steps: 1
Step Number: 1
Time Threshold: 2400
O2 Threshold:   0
pH Threshold: 0.000
Flow Rate: 6262.000000
Light Level: 0.000000
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.03, ,116.7,229.6,8.0734,28.07, ,0.085648,0.6802,12.50,25.13,32127
1,0.05, ,116.7,229.6,8.0735,28.07, ,0.085652,0.6802,12.50,25.13,32124
1,0.07, ,116.9,229.8,8.0732,28.07, ,0.085634,0.6801,12.49,25.12,32117
1,0.08, ,116.7,229.6,8.0729,28.07, ,0.085616,0.6802,12.49,25.13,32120
1,0.10, ,116.7,229.6,8.0737,28.07, ,0.085664,0.6801,12.50,25.13,32111
1,0.12, ,117.0,230.0,8.0724,28.07, ,0.085591,0.6801,12.50,25.11,32110
1,0.13, ,116.9,229.8,8.0731,28.07, ,0.085632,0.6802,12.50,25.12,32119
1,0.15, ,116.7,229.6,8.0721,28.07, ,0.085568,0.6801,12.50,25.13,32114
1,0.17, ,116.9,229.8,8.0709,28.07, ,0.085498,0.6801,12.50,25.12,32119
1,0.18, ,117.0,230.0,8.0708,28.07, ,0.085491,0.6801,12.50,25.11,32116
1,0.20, ,116.7,229.6,8.0710,28.07, ,0.085507,0.6801,12.49,25.13,32120
1,0.22, ,116.6,229.3,8.0717,28.07, ,0.085545,0.6801,12.49,25.14,32132
1,0.23, ,116.7,229.6,8.0717,28.07, ,0.085544,0.6801,12.50,25.13,32139
1,0.25, ,116.6,229.3,8.0715,28.07, ,0.085533,0.6801,12.50,25.14,32163
1,0.27, ,116.7,229.6,8.0717,28.07, ,0.085546,0.6801,12.49,25.13,32173
1,0.28, ,116.7,229.6,8.0722,28.07, ,0.085574,0.6801,12.49,25.13,32166
1,0.30, ,116.6,229.3,8.0724,28.07, ,0.085586,0.6801,12.50,25.14,32170
1,0.32, ,116.7,229.6,8.0723,28.07, ,0.085581,0.6801,12.50,25.13,32154
1,0.33, ,116.7,229.6,8.0725,28.07, ,0.085596,0.6801,12.50,25.13,32164
1,0.35, ,116.7,229.6,8.0716,28.07, ,0.085539,0.6801,12.49,25.13,32162
1,0.37, ,116.6,229.3,8.0722,28.07, ,0.085575,0.6801,12.49,25.14,32171
1,0.38, ,116.7,229.6,8.0724,28.07, ,0.085590,0.6801,12.48,25.13,32168
1,0.40, ,116.9,229.8,8.0730,28.07, ,0.085623,0.6801,12.50,25.12,32164
1,0.42, ,116.7,229.6,8.0724,28.07, ,0.085585,0.6801,12.50,25.13,32153
1,0.43, ,116.7,229.6,8.0722,28.07, ,0.085576,0.6801,12.48,25.13,32164
1,0.45, ,116.9,229.8,8.0729,28.07, ,0.085618,0.6801,12.49,25.12,32194
1,0.47, ,117.0,230.0,8.0734,28.07, ,0.085647,0.6802,12.50,25.11,32194
1,0.48, ,116.9,229.8,8.0729,28.07, ,0.085617,0.6801,12.50,25.12,32201
1,0.50, ,116.9,229.8,8.0740,28.07, ,0.085683,0.6801,12.50,25.12,32203
1,0.52, ,116.9,229.8,8.0761,28.07, ,0.085812,0.6801,12.50,25.12,32221
1,0.53, ,116.6,229.3,8.0736,28.08, ,0.085662,0.6801,12.49,25.14,32210
1,0.55, ,116.7,229.6,8.0732,28.07, ,0.085636,0.6801,12.50,25.13,32218
1,0.57, ,116.9,229.8,8.0739,28.07, ,0.085676,0.6801,12.49,25.12,32225
1,0.58, ,116.7,229.6,8.0745,28.07, ,0.085712,0.6802,12.50,25.13,32226
1,0.60, ,116.7,229.6,8.0730,28.08, ,0.085626,0.6801,12.50,25.13,32214
1,0.62, ,116.7,229.6,8.0731,28.07, ,0.085630,0.6801,12.50,25.13,32220
1,0.63, ,116.9,229.8,8.0732,28.08, ,0.085638,0.6801,12.50,25.12,32225
1,0.65, ,116.7,229.6,8.0740,28.07, ,0.085687,0.6801,12.50,25.13,32251
1,0.67, ,116.7,229.6,8.0746,28.08, ,0.085722,0.6801,12.50,25.13,32248
1,0.68, ,116.6,229.3,8.0743,28.08, ,0.085704,0.6801,12.50,25.14,32258
1,0.70, ,116.6,229.3,8.0743,28.08, ,0.085702,0.6801,12.49,25.14,32259
1,0.72, ,116.6,229.3,8.0739,28.08, ,0.085676,0.6801,12.49,25.14,32254
1,0.73, ,116.6,229.3,8.0728,28.07, ,0.085614,0.6801,12.49,25.14,32261
1,0.75, ,116.6,229.3,8.0726,28.08, ,0.085601,0.6801,12.48,25.14,32260
1,0.77, ,116.7,229.6,8.0728,28.08, ,0.085610,0.6801,12.49,25.13,32270
1,0.78, ,116.6,229.3,8.0728,28.08, ,0.085610,0.6801,12.49,25.14,32221
1,0.80, ,116.6,229.3,8.0708,28.08, ,0.085495,0.6801,12.49,25.14,32220
1,0.82, ,116.4,228.9,8.0711,28.08, ,0.085511,0.6801,12.50,25.16,32218
1,0.83, ,116.4,228.9,8.0696,28.08, ,0.085424,0.6801,12.49,25.16,32260
1,0.85, ,116.3,228.7,8.0673,28.08, ,0.085285,0.6801,12.50,25.17,32306
1,0.87, ,115.9,228.0,8.0666,28.07, ,0.085242,0.6802,12.49,25.20,32323
1,0.88, ,115.7,227.5,8.0654,28.08, ,0.085168,0.6801,12.49,25.22,32359
1,0.90, ,115.6,227.3,8.0664,28.08, ,0.085228,0.6801,12.50,25.23,32366
1,0.92, ,115.6,227.3,8.0677,28.07, ,0.085310,0.6801,12.50,25.23,32374
1,0.93, ,115.5,227.1,8.0683,28.07, ,0.085342,0.6801,12.50,25.24,32387
1,0.95, ,115.6,227.3,8.0691,28.08, ,0.085393,0.6801,12.49,25.23,32399
1,0.97, ,115.6,227.3,8.0679,28.08, ,0.085321,0.6801,12.50,25.23,32405
1,0.98, ,115.5,227.1,8.0699,28.08, ,0.085441,0.6801,12.49,25.24,32409
1,1.00, ,115.4,226.8,8.0717,28.08, ,0.085548,0.6801,12.49,25.25,32422
1,1.02, ,115.2,226.6,8.0703,28.08, ,0.085464,0.6801,12.50,25.26,32429
1,1.03, ,115.4,226.8,8.0696,28.08, ,0.085419,0.6801,12.49,25.25,32427
1,1.05, ,115.5,227.1,8.0690,28.08, ,0.085387,0.6801,12.50,25.24,32417
1,1.07, ,115.2,226.6,8.0684,28.08, ,0.085347,0.6801,12.50,25.26,32423
1,1.08, ,115.4,226.8,8.0684,28.08, ,0.085348,0.6801,12.50,25.25,32426
1,1.10, ,115.4,226.8,8.0693,28.08, ,0.085405,0.6801,12.50,25.25,32427
1,1.12, ,115.4,226.8,8.0724,28.08, ,0.085592,0.6801,12.50,25.25,32377
1,1.13, ,115.4,226.8,8.0714,28.08, ,0.085528,0.6801,12.50,25.25,32403
1,1.15, ,115.5,227.1,8.0694,28.08, ,0.085410,0.6801,12.50,25.24,32419
1,1.17, ,115.4,226.8,8.0689,28.08, ,0.085378,0.6801,12.50,25.25,32424
1,1.18, ,115.4,226.8,8.0691,28.08, ,0.085395,0.6801,12.50,25.25,32413
1,1.20, ,115.6,227.3,8.0706,28.08, ,0.085483,0.6801,12.50,25.23,32389
1,1.22, ,115.5,227.1,8.0679,28.08, ,0.085321,0.6801,12.50,25.24,32384
1,1.23, ,115.6,227.3,8.0668,28.08, ,0.085254,0.6801,12.50,25.23,32428
1,1.25, ,115.4,226.8,8.0649,28.08, ,0.085138,0.6801,12.50,25.25,32442
1,1.27, ,115.2,226.6,8.0641,28.08, ,0.085094,0.6801,12.50,25.26,32457
1,1.28, ,115.0,226.2,8.0642,28.08, ,0.085096,0.6801,12.49,25.28,32474
1,1.30, ,114.9,225.9,8.0641,28.08, ,0.085094,0.6801,12.49,25.29,32487
1,1.32, ,114.8,225.7,8.0637,28.08, ,0.085070,0.6801,12.50,25.30,32507
1,1.33, ,114.8,225.7,8.0639,28.08, ,0.085083,0.6801,12.50,25.30,32521
1,1.35, ,114.8,225.7,8.0644,28.08, ,0.085112,0.6801,12.49,25.30,32551
1,1.37, ,114.6,225.3,8.0641,28.08, ,0.085093,0.6801,12.50,25.32,32559
1,1.38, ,114.5,225.1,8.0636,28.08, ,0.085063,0.6801,12.50,25.33,32554
1,1.40, ,114.3,224.8,8.0620,28.08, ,0.084966,0.6801,12.50,25.34,32564
1,1.42, ,114.3,224.8,8.0616,28.08, ,0.084947,0.6801,12.50,25.34,32588
1,1.43, ,114.1,224.4,8.0614,28.08, ,0.084934,0.6801,12.49,25.36,32601
1,1.45, ,114.2,224.6,8.0604,28.08, ,0.084870,0.6801,12.50,25.35,32613
1,1.47, ,114.1,224.4,8.0629,28.08, ,0.085025,0.6800,12.50,25.36,32623
1,1.48, ,114.0,224.1,8.0626,28.08, ,0.085004,0.6800,12.49,25.37,32639
1,1.50, ,113.9,223.9,8.0622,28.08, ,0.084983,0.6800,12.49,25.38,32643
1,1.52, ,114.0,224.1,8.0615,28.08, ,0.084942,0.6800,12.50,25.37,32653
1,1.53, ,113.8,223.7,8.0603,28.08, ,0.084865,0.6800,12.49,25.39,32662
1,1.55, ,113.5,223.3,8.0594,28.08, ,0.084816,0.6800,12.50,25.41,32663
1,1.57, ,113.7,223.5,8.0596,28.08, ,0.084829,0.6800,12.50,25.40,32679
1,1.58, ,113.7,223.5,8.0601,28.08, ,0.084857,0.6800,12.49,25.40,32706
1,1.60, ,113.4,223.0,8.0611,28.08, ,0.084914,0.6800,12.50,25.42,32720
1,1.62, ,113.4,223.0,8.0607,28.08, ,0.084893,0.6800,12.50,25.42,32733
1,1.63, ,113.3,222.8,8.0626,28.08, ,0.085008,0.6800,12.49,25.43,32744
1,1.65, ,113.2,222.6,8.0585,28.08, ,0.084759,0.6800,12.50,25.44,32751
1,1.67, ,113.3,222.8,8.0583,28.08, ,0.084749,0.6800,12.50,25.43,32767
1,1.68, ,113.1,222.4,8.0577,28.08, ,0.084710,0.6800,12.50,25.45,32778
1,1.70, ,113.0,222.1,8.0574,28.08, ,0.084693,0.6800,12.49,25.46,32776
1,1.72, ,113.0,222.1,8.0582,28.08, ,0.084747,0.6799,12.50,25.46,32779
