DeviceId:CISME0006669c1a4f
Filename:/msc/Data/d8corrr4ci_Oct23_1326.csv
pH Slope(m): 0.05897
pH Eo (b): -0.40960
cal. Buffer pH: 8.04100
cal. Buffer temp. 24.03778
Salinity: 35
O2 0 Phase: 60.42000
O2 0 Temp: 25.00000
O2 100 Phase: 27.28000
O2 100 Temp: 23.97000
O2 LED Current: 150.00000
O2 Pressure Cal: 976.00000
Total number of steps: 1
Step Number: 1
Time Threshold: 2400
O2 Threshold:   0
pH Threshold: 0.000
Flow Rate: 5348.000000
Light Level: 0.000000
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.03, ,123.9,243.7,8.1362,28.04, ,0.072227,0.6795,12.47,24.45,1977
1,0.05, ,123.9,243.7,8.1363,28.04, ,0.072237,0.6795,12.51,24.45,1979
1,0.07, ,124.7,245.5,8.1357,28.04, ,0.072201,0.6795,12.50,24.38,1977
1,0.08, ,124.5,245.0,8.1356,28.04, ,0.072193,0.6795,12.47,24.40,1977
1,0.10, ,124.1,244.2,8.1352,28.04, ,0.072170,0.6795,12.47,24.43,1977
1,0.12, ,124.4,244.7,8.1363,28.04, ,0.072234,0.6795,12.51,24.41,1979
1,0.13, ,123.5,243.0,8.1351,28.04, ,0.072165,0.6795,12.49,24.48,1981
1,0.15, ,123.9,243.7,8.1352,28.04, ,0.072171,0.6795,12.46,24.45,1981
1,0.17, ,124.1,244.2,8.1354,28.04, ,0.072182,0.6795,12.46,24.43,1978
1,0.18, ,124.5,245.0,8.1357,28.04, ,0.072200,0.6795,12.46,24.40,1977
1,0.20, ,123.9,243.7,8.1361,28.04, ,0.072227,0.6795,12.48,24.45,1979
1,0.22, ,123.6,243.2,8.1357,28.04, ,0.072203,0.6795,12.50,24.47,1980
1,0.23, ,123.7,243.5,8.1364,28.04, ,0.072242,0.6795,12.47,24.46,1980
1,0.25, ,123.7,243.5,8.1365,28.04, ,0.072248,0.6795,12.48,24.46,1978
