DeviceId:CISME0006669c1a4f
Filename:/msc/Data/dq11r3_Oct26_1443.csv
pH Slope(m): 0.05897
pH Eo (b): -0.40960
cal. Buffer pH: 8.04100
cal. Buffer temp. 24.03778
Salinity: 35
O2 0 Phase: 60.42000
O2 0 Temp: 25.00000
O2 100 Phase: 27.28000
O2 100 Temp: 23.97000
O2 LED Current: 150.00000
O2 Pressure Cal: 976.00000
Total number of steps: 1
Step Number: 1
Time Threshold: 2400
O2 Threshold:   0
pH Threshold: 0.000
Flow Rate: 5348.000000
Light Level: 0.000000
Step No., Time(m), Total T(m), O2 percent Sat., O2 (umol/kg), ISFET pH, ISFET Temp,, pH raw (V), ISFET Temp raw (V), Battery (V), Phase O2, Amplitude O2
1,0.03, ,116.2,232.0,8.1557,27.12, ,0.072920,0.6993,12.55,25.23,2603
1,0.05, ,117.4,234.5,8.1565,27.12, ,0.072969,0.6993,12.55,25.12,2602
1,0.07, ,115.5,230.6,8.1565,27.12, ,0.072965,0.6993,12.59,25.29,2600
1,0.08, ,116.1,231.8,8.1566,27.12, ,0.072974,0.6993,12.59,25.24,2603
1,0.10, ,116.8,233.2,8.1565,27.12, ,0.072969,0.6993,12.56,25.18,2602
1,0.12, ,116.6,232.9,8.1566,27.12, ,0.072974,0.6993,12.57,25.19,2602
1,0.13, ,116.5,232.7,8.1564,27.12, ,0.072962,0.6993,12.55,25.20,2604
1,0.15, ,116.6,232.9,8.1564,27.12, ,0.072963,0.6993,12.57,25.19,2602
1,0.17, ,116.5,232.7,8.1564,27.12, ,0.072960,0.6993,12.56,25.20,2599
1,0.18, ,116.3,232.2,8.1567,27.12, ,0.072978,0.6993,12.59,25.22,2604
1,0.20, ,116.3,232.2,8.1566,27.12, ,0.072976,0.6993,12.56,25.22,2602
1,0.22, ,117.0,233.6,8.1571,27.12, ,0.073000,0.6993,12.56,25.16,2602
1,0.23, ,116.4,232.5,8.1569,27.12, ,0.072994,0.6993,12.61,25.21,2601
1,0.25, ,116.5,232.7,8.1570,27.12, ,0.072995,0.6993,12.56,25.20,2602
1,0.27, ,116.5,232.7,8.1568,27.12, ,0.072986,0.6993,12.58,25.20,2601
1,0.28, ,116.4,232.5,8.1569,27.12, ,0.072992,0.6993,12.58,25.21,2606
1,0.30, ,116.6,232.9,8.1570,27.12, ,0.073000,0.6993,12.56,25.19,2602
1,0.32, ,116.4,232.5,8.1572,27.12, ,0.073010,0.6993,12.57,25.21,2600
1,0.33, ,116.6,232.9,8.1571,27.12, ,0.073002,0.6993,12.57,25.19,2600
1,0.35, ,116.8,233.2,8.1570,27.12, ,0.072995,0.6993,12.56,25.18,2598
1,0.37, ,116.3,232.2,8.1570,27.12, ,0.072996,0.6993,12.56,25.22,2600
1,0.38, ,116.6,232.9,8.1567,27.12, ,0.072979,0.6994,12.57,25.19,2603
1,0.40, ,116.4,232.5,8.1569,27.12, ,0.072993,0.6994,12.59,25.21,2601
1,0.42, ,116.4,232.5,8.1571,27.12, ,0.073000,0.6994,12.58,25.21,2601
1,0.43, ,117.0,233.6,8.1570,27.11, ,0.072996,0.6994,12.58,25.16,2603
1,0.45, ,116.2,232.0,8.1572,27.11, ,0.073010,0.6994,12.58,25.23,2603
1,0.47, ,117.6,234.8,8.1574,27.11, ,0.073023,0.6994,12.55,25.11,2600
1,0.48, ,117.1,233.9,8.1575,27.11, ,0.073025,0.6994,12.56,25.15,2604
1,0.50, ,117.0,233.6,8.1578,27.11, ,0.073041,0.6994,12.57,25.16,2598
1,0.52, ,115.8,231.3,8.1577,27.11, ,0.073038,0.6994,12.55,25.26,2601
1,0.53, ,117.0,233.6,8.1578,27.11, ,0.073045,0.6994,12.59,25.16,2601
1,0.55, ,116.8,233.2,8.1579,27.11, ,0.073050,0.6994,12.56,25.18,2600
1,0.57, ,116.6,232.9,8.1580,27.11, ,0.073054,0.6994,12.57,25.19,2603
1,0.58, ,116.2,232.0,8.1580,27.11, ,0.073058,0.6994,12.55,25.23,2600
1,0.60, ,116.8,233.2,8.1581,27.11, ,0.073062,0.6994,12.57,25.18,2599
1,0.62, ,116.3,232.3,8.1584,27.11, ,0.073079,0.6994,12.57,25.22,2599
1,0.63, ,116.6,232.9,8.1584,27.11, ,0.073080,0.6994,12.58,25.19,2603
1,0.65, ,116.5,232.7,8.1581,27.11, ,0.073063,0.6994,12.57,25.20,2600
1,0.67, ,117.1,233.9,8.1581,27.11, ,0.073061,0.6994,12.59,25.15,2600
1,0.68, ,116.2,232.0,8.1581,27.11, ,0.073064,0.6994,12.57,25.23,2604
1,0.70, ,116.8,233.2,8.1583,27.11, ,0.073070,0.6994,12.56,25.18,2601
1,0.72, ,116.4,232.5,8.1583,27.11, ,0.073073,0.6994,12.56,25.21,2603
1,0.73, ,117.0,233.6,8.1581,27.11, ,0.073063,0.6994,12.58,25.16,2605
1,0.75, ,116.4,232.5,8.1580,27.11, ,0.073054,0.6994,12.58,25.21,2606
1,0.77, ,116.0,231.6,8.1582,27.11, ,0.073065,0.6994,12.57,25.25,2602
1,0.78, ,116.8,233.2,8.1584,27.11, ,0.073080,0.6994,12.56,25.18,2600
1,0.80, ,115.7,231.1,8.1584,27.11, ,0.073076,0.6994,12.56,25.27,2608
1,0.82, ,116.5,232.7,8.1555,27.11, ,0.072905,0.6994,12.56,25.20,2609
1,0.83, ,115.8,231.3,8.1532,27.11, ,0.072767,0.6994,12.55,25.26,2612
1,0.85, ,115.5,230.7,8.1512,27.11, ,0.072649,0.6994,12.58,25.29,2614
1,0.87, ,115.5,230.7,8.1497,27.11, ,0.072561,0.6994,12.57,25.29,2615
1,0.88, ,115.5,230.7,8.1486,27.11, ,0.072495,0.6994,12.55,25.29,2617
1,0.90, ,115.3,230.2,8.1478,27.11, ,0.072447,0.6994,12.56,25.31,2610
1,0.92, ,115.2,230.0,8.1467,27.11, ,0.072382,0.6994,12.56,25.32,2616
1,0.93, ,115.5,230.7,8.1459,27.11, ,0.072332,0.6994,12.55,25.29,2613
1,0.95, ,114.7,229.1,8.1453,27.11, ,0.072296,0.6994,12.57,25.36,2616
1,0.97, ,115.6,230.9,8.1447,27.11, ,0.072264,0.6995,12.58,25.28,2621
1,0.98, ,115.3,230.2,8.1442,27.11, ,0.072229,0.6995,12.55,25.31,2622
1,1.00, ,115.2,230.0,8.1438,27.11, ,0.072208,0.6995,12.56,25.32,2621
1,1.02, ,114.5,228.6,8.1432,27.11, ,0.072172,0.6995,12.58,25.38,2621
1,1.03, ,115.2,230.0,8.1426,27.11, ,0.072133,0.6995,12.59,25.32,2624
1,1.05, ,115.3,230.2,8.1421,27.11, ,0.072106,0.6995,12.57,25.31,2624
1,1.07, ,115.2,230.0,8.1414,27.11, ,0.072065,0.6995,12.55,25.32,2623
1,1.08, ,114.9,229.6,8.1409,27.11, ,0.072035,0.6995,12.56,25.34,2621
1,1.10, ,115.5,230.7,8.1405,27.11, ,0.072012,0.6995,12.56,25.29,2622
1,1.12, ,114.1,228.0,8.1403,27.11, ,0.072001,0.6995,12.57,25.41,2625
1,1.13, ,114.7,229.1,8.1400,27.11, ,0.071981,0.6995,12.54,25.36,2627
1,1.15, ,114.4,228.4,8.1395,27.11, ,0.071951,0.6995,12.55,25.39,2625
1,1.17, ,114.3,228.2,8.1391,27.11, ,0.071928,0.6995,12.56,25.40,2625
1,1.18, ,114.4,228.4,8.1388,27.11, ,0.071909,0.6995,12.58,25.39,2627
1,1.20, ,114.9,229.6,8.1383,27.11, ,0.071881,0.6995,12.57,25.34,2620
1,1.22, ,114.4,228.4,8.1382,27.11, ,0.071874,0.6995,12.56,25.39,2624
1,1.23, ,114.6,228.9,8.1379,27.11, ,0.071856,0.6995,12.58,25.37,2621
1,1.25, ,114.5,228.7,8.1377,27.11, ,0.071842,0.6995,12.55,25.38,2619
1,1.27, ,114.3,228.2,8.1374,27.11, ,0.071826,0.6995,12.54,25.40,2625
1,1.28, ,114.6,228.9,8.1373,27.11, ,0.071818,0.6995,12.58,25.37,2624
1,1.30, ,114.5,228.7,8.1371,27.11, ,0.071807,0.6995,12.55,25.38,2621
1,1.32, ,114.9,229.6,8.1368,27.11, ,0.071788,0.6996,12.55,25.34,2625
1,1.33, ,114.4,228.4,8.1366,27.11, ,0.071776,0.6996,12.57,25.39,2625
1,1.35, ,114.0,227.8,8.1366,27.11, ,0.071778,0.6996,12.59,25.42,2623
1,1.37, ,114.0,227.8,8.1364,27.11, ,0.071766,0.6996,12.56,25.42,2625
1,1.38, ,114.8,229.4,8.1362,27.11, ,0.071751,0.6996,12.55,25.35,2626
1,1.40, ,114.3,228.2,8.1359,27.11, ,0.071732,0.6996,12.58,25.40,2627
1,1.42, ,114.6,228.9,8.1357,27.11, ,0.071724,0.6996,12.59,25.37,2628
1,1.43, ,114.0,227.8,8.1356,27.11, ,0.071715,0.6996,12.56,25.42,2623
1,1.45, ,114.1,228.0,8.1353,27.11, ,0.071700,0.6996,12.55,25.41,2628
1,1.47, ,114.5,228.7,8.1355,27.11, ,0.071710,0.6996,12.55,25.38,2627
1,1.48, ,113.8,227.3,8.1353,27.11, ,0.071700,0.6996,12.59,25.44,2626
1,1.50, ,114.0,227.8,8.1348,27.10, ,0.071671,0.6996,12.56,25.42,2628
1,1.52, ,114.1,228.0,8.1348,27.11, ,0.071670,0.6996,12.57,25.41,2629
1,1.53, ,114.3,228.2,8.1349,27.11, ,0.071673,0.6996,12.56,25.40,2627
1,1.55, ,114.4,228.5,8.1345,27.11, ,0.071649,0.6996,12.57,25.39,2629
1,1.57, ,114.1,228.0,8.1343,27.11, ,0.071638,0.6996,12.55,25.41,2629
1,1.58, ,114.4,228.5,8.1340,27.11, ,0.071623,0.6996,12.57,25.39,2627
1,1.60, ,114.0,227.8,8.1339,27.11, ,0.071615,0.6996,12.56,25.42,2629
1,1.62, ,114.1,228.0,8.1340,27.11, ,0.071621,0.6996,12.56,25.41,2626
1,1.63, ,114.0,227.8,8.1340,27.11, ,0.071619,0.6996,12.55,25.42,2631
1,1.65, ,114.3,228.2,8.1341,27.11, ,0.071626,0.6996,12.59,25.40,2632
1,1.67, ,114.4,228.5,8.1338,27.11, ,0.071609,0.6996,12.58,25.39,2631
1,1.68, ,113.9,227.5,8.1335,27.11, ,0.071590,0.6996,12.56,25.43,2628
1,1.70, ,114.7,229.1,8.1334,27.11, ,0.071583,0.6996,12.56,25.36,2630
1,1.72, ,113.0,225.8,8.1331,27.11, ,0.071567,0.6996,12.57,25.51,2632
1,1.73, ,113.8,227.3,8.1328,27.11, ,0.071549,0.6996,12.56,25.44,2630
